,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Louisville,Amer,31-6,+30.41,118.9,88.5,67.2,-.045,107.0,102.7,1257.0
1,2,Arizona,P12,33-5,+30.11,116.5,86.4,62.8,+.014,109.9,100.6,1112.0
2,3,Florida,SEC,36-3,+28.57,116.5,88.0,61.3,+.053,109.4,100.4,1196.0
3,4,Virginia,ACC,30-7,+26.46,114.8,88.3,59.5,+.012,109.4,100.8,1438.0
4,5,Wisconsin,B10,30-8,+25.89,122.0,96.1,62.4,+.019,110.2,98.8,1458.0
5,6,Wichita St.,MVC,35-1,+25.36,117.8,92.4,63.5,-.009,105.8,104.8,1455.0
6,7,Kansas,B12,25-10,+24.60,119.3,94.7,66.6,-.051,112.2,100.0,1242.0
7,8,Duke,ACC,26-9,+24.25,124.7,100.4,64.6,-.035,109.2,100.5,1181.0
8,9,Michigan St.,B10,29-9,+23.92,118.6,94.7,64.4,-.003,110.2,99.7,1277.0
9,10,Tennessee,SEC,24-13,+23.69,117.9,94.2,61.6,-.099,108.9,100.8,1397.0
10,11,Villanova,BE,29-5,+23.68,116.3,92.6,66.0,+.075,110.1,102.6,1437.0
11,12,Michigan,B10,28-9,+23.44,123.9,100.5,61.0,+.047,110.3,98.6,1276.0
12,13,Kentucky,SEC,29-11,+22.55,118.3,95.8,64.0,-.025,110.5,99.8,1246.0
13,14,UCLA,P12,28-9,+22.53,118.7,96.1,68.4,-.019,109.1,101.5,1417.0
14,15,Connecticut,Amer,32-8,+22.13,113.6,91.5,63.2,+.080,109.7,100.3,1163.0
15,16,Pittsburgh,ACC,26-10,+21.89,116.9,95.0,62.2,-.038,108.0,100.4,1338.0
16,17,Creighton,BE,27-8,+21.72,124.2,102.5,63.6,+.024,108.5,101.0,1166.0
17,18,Syracuse,ACC,28-6,+21.62,114.6,93.0,59.6,+.016,109.4,102.2,1393.0
18,19,Ohio St.,B10,25-10,+21.30,109.3,88.0,64.0,-.043,109.2,101.4,1326.0
19,20,Iowa St.,B12,28-8,+21.07,118.9,97.8,70.2,+.064,111.1,100.4,1235.0
20,21,Oklahoma St.,B12,21-13,+20.98,115.9,95.0,67.2,-.110,109.9,100.8,1329.0
21,22,Iowa,B10,20-13,+20.44,120.2,99.8,68.6,-.116,108.6,100.2,1234.0
22,23,San Diego St.,MWC,31-5,+20.38,110.4,90.0,62.3,+.067,108.0,102.8,1361.0
23,24,Gonzaga,WCC,29-7,+20.14,114.0,93.8,65.0,+.016,109.0,103.9,1211.0
24,25,VCU,A10,26-9,+19.80,109.2,89.4,68.9,-.058,107.4,102.0,1433.0
25,26,Baylor,B12,26-12,+19.39,118.9,99.5,61.3,+.012,111.0,100.6,1124.0
26,27,Cincinnati,Amer,27-7,+19.24,109.7,90.4,61.1,+.036,107.3,102.6,1153.0
27,28,Oregon,P12,24-10,+19.02,118.9,99.9,67.5,-.037,109.1,101.8,1332.0
28,29,North Carolina,ACC,24-10,+18.44,112.6,94.2,69.2,+.000,110.5,101.6,1314.0
29,30,Oklahoma,B12,23-10,+17.90,117.9,100.0,69.6,-.022,110.2,101.0,1328.0
30,31,SMU,Amer,27-10,+17.66,111.3,93.7,64.5,-.043,106.3,102.2,1374.0
31,32,Harvard,Ivy,27-5,+17.58,112.9,95.3,64.1,+.020,104.5,104.3,1217.0
32,33,New Mexico,MWC,27-7,+17.15,113.5,96.3,64.4,+.032,107.7,102.9,1307.0
33,34,Stanford,P12,23-13,+16.06,112.4,96.4,65.3,+.016,110.2,100.7,1390.0
34,35,Saint Louis,A10,27-7,+15.72,105.7,90.0,65.6,+.040,107.2,102.2,1387.0
35,36,Memphis,Amer,24-10,+15.22,112.4,97.1,67.5,+.048,108.3,101.1,1272.0
36,37,Louisiana Tech,CUSA,29-8,+15.10,110.4,95.3,69.6,+.002,103.5,105.2,1256.0
37,38,Florida St.,ACC,22-14,+14.86,112.2,97.4,65.2,-.005,109.4,100.1,1199.0
38,39,Arizona St.,P12,21-12,+14.82,111.2,96.4,67.4,+.003,108.6,101.1,1113.0
39,40,Utah,P12,21-12,+14.81,110.7,95.9,63.6,-.052,107.8,102.3,1428.0
42,41,Texas,B12,24-11,+14.52,111.8,97.3,66.8,+.092,110.9,101.3,1400.0
43,42,Dayton,A10,26-11,+14.25,113.8,99.6,63.8,+.038,107.7,101.4,1173.0
44,43,Maryland,ACC,17-15,+14.20,109.4,95.2,67.4,-.074,109.0,100.4,1268.0
45,44,Arkansas,SEC,22-12,+14.14,111.1,96.9,70.7,-.033,107.5,102.5,1116.0
46,45,Kansas St.,B12,20-13,+14.10,107.8,93.7,63.3,+.001,110.5,102.3,1243.0
47,46,Minnesota,B10,25-13,+13.93,113.8,99.9,63.3,+.044,108.9,100.7,1278.0
48,47,George Washington,A10,24-9,+13.82,110.8,97.0,65.3,+.056,107.3,101.7,1203.0
49,48,Providence,BE,23-12,+13.81,114.6,100.8,62.9,+.051,109.2,100.8,1344.0
50,49,BYU,WCC,23-12,+13.77,114.5,100.7,70.8,-.004,109.6,103.0,1140.0
51,50,Massachusetts,A10,24-9,+13.46,110.0,96.5,70.3,+.065,108.0,100.6,1269.0
52,51,Clemson,ACC,23-13,+13.35,107.1,93.7,58.7,+.008,108.5,102.6,1155.0
53,52,Xavier,BE,21-13,+13.11,112.9,99.8,64.2,+.017,109.1,101.2,1462.0
54,53,Illinois,B10,20-15,+13.10,106.5,93.4,61.2,+.007,109.8,100.4,1228.0
55,54,St. John's,BE,20-13,+13.10,108.5,95.4,66.6,-.046,108.7,103.3,1385.0
56,55,Saint Joseph's,A10,24-10,+12.93,112.3,99.4,64.3,+.079,107.5,101.3,1386.0
57,56,Nebraska,B10,19-13,+12.64,108.8,96.1,64.7,+.047,108.4,99.1,1304.0
58,57,Georgetown,BE,18-15,+12.39,113.0,100.6,63.3,-.023,109.8,101.5,1207.0
59,58,West Virginia,B12,17-16,+12.29,115.5,103.2,66.3,-.066,110.3,101.5,1452.0
60,59,LSU,SEC,20-14,+12.12,110.7,98.5,68.6,-.010,107.9,100.7,1261.0
61,60,California,P12,21-14,+12.00,111.7,99.7,64.6,+.016,109.0,101.5,1143.0
62,61,North Dakota St.,Sum,26-7,+11.76,115.5,103.7,62.3,+.089,106.8,105.4,1295.0
63,62,N.C. State,ACC,22-14,+11.60,114.0,102.4,64.7,+.065,108.4,100.7,1301.0
64,63,Indiana,B10,17-15,+11.55,107.8,96.2,67.1,-.069,108.8,101.8,1231.0
65,64,Southern Miss,CUSA,29-7,+11.51,110.9,99.4,62.9,+.103,104.4,104.3,1379.0
66,65,Saint Mary's,WCC,23-12,+11.39,112.6,101.2,61.4,+.013,108.1,104.2,1388.0
67,66,Georgia St.,SB,25-9,+11.28,115.6,104.3,64.3,-.025,103.5,105.7,1209.0
68,67,Colorado,P12,23-12,+11.20,107.7,96.5,64.8,+.120,109.5,100.8,1160.0
69,68,Marquette,BE,17-15,+11.05,109.7,98.6,64.5,-.051,109.0,101.2,1266.0
70,69,Missouri,SEC,23-12,+10.84,114.1,103.2,64.8,+.062,107.5,101.4,1281.0
71,70,Stephen F. Austin,Slnd,32-3,+10.83,112.3,101.5,61.2,+.073,102.0,109.2,1372.0
72,71,Green Bay,Horz,24-7,+10.77,108.7,98.0,65.5,+.037,104.7,104.6,1453.0
73,72,New Mexico St.,WAC,26-10,+10.54,112.9,102.4,65.2,-.030,103.0,106.7,1308.0
74,73,Boise St.,MWC,21-13,+10.53,114.6,104.1,63.9,-.056,107.0,103.7,1129.0
75,74,Manhattan,MAAC,25-8,+10.21,107.2,97.0,67.7,-.008,105.6,105.8,1264.0
76,75,Vermont,AE,22-11,+10.16,109.9,99.7,62.1,-.064,101.8,105.7,1436.0
77,76,Iona,MAAC,22-11,+10.14,118.6,108.5,68.6,-.024,105.5,104.6,1233.0
78,77,Miami FL,ACC,17-16,+9.88,109.2,99.3,57.0,-.045,107.2,101.5,1274.0
79,78,Georgia,SEC,20-14,+9.40,109.0,99.6,62.8,+.033,107.2,102.2,1208.0
80,79,UNLV,MWC,20-13,+9.15,108.2,99.0,65.2,-.048,105.5,105.0,1424.0
81,80,Texas Tech,B12,14-18,+9.01,111.4,102.4,59.9,-.053,110.7,101.1,1403.0
84,81,Penn St.,B10,16-18,+9.00,110.3,101.3,64.4,-.049,107.7,100.1,1336.0
85,82,Tulsa,CUSA,21-13,+8.93,106.1,97.2,66.8,-.023,104.9,104.3,1409.0
86,83,Mississippi,SEC,19-14,+8.87,111.2,102.3,68.1,-.006,106.5,101.3,1279.0
87,84,St. Bonaventure,A10,18-15,+8.75,111.2,102.4,65.8,-.066,106.9,102.7,1382.0
88,85,Cleveland St.,Horz,21-12,+8.67,110.6,102.0,62.4,-.052,105.4,104.8,1156.0
89,86,Alabama,SEC,13-19,+8.54,107.8,99.2,62.0,-.091,110.3,101.2,1104.0
90,87,Mercer,ASun,27-9,+8.34,110.8,102.4,63.6,+.022,103.6,108.0,1273.0
91,88,San Francisco,WCC,21-12,+8.26,112.5,104.3,63.6,+.051,108.0,104.0,1362.0
92,89,Middle Tennessee,CUSA,24-9,+8.24,105.3,97.0,62.6,+.047,103.3,105.1,1292.0
93,90,UC Irvine,BW,23-12,+8.16,103.9,95.7,62.8,-.020,105.9,107.0,1414.0
94,91,Richmond,A10,19-14,+7.99,105.3,97.3,61.8,+.026,107.5,102.5,1350.0
95,92,North Carolina Central,MEAC,28-6,+7.98,108.6,100.7,62.3,+.040,98.1,108.5,1300.0
96,93,Purdue,B10,15-17,+7.89,108.4,100.5,67.2,-.040,108.7,100.8,1345.0
97,94,Seton Hall,BE,17-17,+7.86,108.8,100.9,64.2,-.060,108.3,103.6,1371.0
98,95,Northern Iowa,MVC,16-15,+7.86,113.0,105.1,64.1,-.080,106.1,102.7,1320.0
99,96,Notre Dame,ACC,15-17,+7.70,113.5,105.8,62.7,-.063,108.7,102.2,1323.0
100,97,Belmont,OVC,26-10,+7.10,113.9,106.8,67.7,+.058,104.9,106.3,1125.0
101,98,Washington,P12,17-15,+6.78,111.8,105.0,66.7,+.037,107.9,102.0,1449.0
102,99,Butler,BE,14-17,+6.74,106.0,99.3,61.9,-.056,108.8,102.0,1139.0
103,100,Princeton,Ivy,21-9,+6.46,106.4,99.9,63.2,+.014,104.1,106.2,1343.0
104,101,Buffalo,MAC,19-10,+6.36,109.7,103.4,66.6,-.033,101.7,104.1,1138.0
105,102,UC Santa Barbara,BW,21-9,+6.25,110.6,104.4,62.1,+.056,104.8,105.2,1364.0
106,103,UTEP,CUSA,23-11,+6.02,105.3,99.3,63.0,+.015,104.1,106.3,1431.0
107,104,Toledo,MAC,27-7,+5.97,115.0,109.1,67.0,+.111,102.7,104.4,1405.0
108,105,La Salle,A10,15-16,+5.88,106.3,100.4,62.7,+.002,108.0,102.1,1247.0
109,106,Delaware,CAA,25-10,+5.83,112.0,106.2,70.4,+.064,105.2,105.9,1174.0
110,107,Oregon St.,P12,16-16,+5.81,112.5,106.7,65.5,+.005,108.6,102.8,1333.0
111,108,Indiana St.,MVC,23-11,+5.61,106.8,101.2,65.3,+.082,106.0,104.4,1232.0
112,109,Vanderbilt,SEC,15-16,+5.49,104.1,98.6,61.9,+.019,107.6,101.4,1435.0
113,110,Texas A&M,SEC,18-16,+5.41,101.4,95.9,61.8,-.013,105.5,103.5,1401.0
114,111,Portland,WCC,15-16,+5.40,109.2,103.8,64.9,-.110,106.3,105.5,1339.0
115,112,South Carolina,SEC,14-20,+5.30,107.5,102.2,65.4,-.052,108.3,100.9,1376.0
117,114,Georgia Tech,ACC,16-17,+5.17,104.8,99.6,64.2,-.002,108.5,102.2,1210.0
118,115,Rhode Island,A10,14-18,+5.06,104.4,99.3,64.1,-.067,106.8,102.0,1348.0
119,116,Fresno St.,MWC,21-18,+5.05,110.2,105.2,65.7,+.013,106.2,102.3,1201.0
