,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
354,339,Cal Poly,BW,3-19,-17.58,88.3,105.9,67.4,+.006,102.3,101.5,1142.0
355,340,Incarnate Word,Slnd,8-13,-17.67,94.1,111.7,64.9,-.044,98.1,105.9,1230.0
356,341,Central Connecticut,NEC,5-16,-17.72,93.4,111.1,70.8,+.003,99.1,105.5,1148.0
357,342,Alcorn St.,SWAC,6-12,-17.86,92.6,110.5,69.5,-.023,94.9,105.2,1108.0
358,343,Maine,AE,2-7,-18.34,86.6,105.0,65.0,+.028,100.9,102.1,1263.0
359,344,Texas A&M Corpus Chris,Slnd,5-19,-18.60,89.8,108.4,70.0,-.093,98.7,103.4,1394.0
360,345,Houston Baptist,Slnd,5-18,-18.64,93.5,112.2,73.0,-.001,100.9,103.8,1223.0
361,346,Denver,Sum,2-19,-18.85,94.0,112.8,71.3,-.105,100.4,105.7,1176.0
362,347,Tennessee Martin,OVC,8-16,-19.78,93.0,112.7,67.8,+.122,100.9,104.2,1404.0
363,348,Alabama A&M,SWAC,6-9,-20.46,85.1,105.6,67.9,+.018,92.8,106.3,1105.0
364,349,Bethune Cookman,MEAC,0-0,-20.66,91.1,111.8,72.6,+.000,0.0,200.0,1126.0
365,350,Arkansas Pine Bluff,SWAC,4-20,-22.90,91.2,114.1,67.3,-.083,97.2,101.9,1115.0
366,351,South Carolina St.,MEAC,1-17,-23.56,87.9,111.5,72.2,-.109,98.4,103.1,1354.0
367,352,Delaware St.,MEAC,3-16,-24.38,90.7,115.0,73.8,-.064,98.3,104.0,1175.0
368,353,Idaho,BSky,1-20,-24.58,90.0,114.6,67.1,-.012,101.9,104.0,1225.0
369,354,Alabama St.,SWAC,4-14,-25.53,84.7,110.3,71.1,-.049,90.7,106.7,1106.0
370,355,Maryland Eastern Shore,MEAC,0-0,-25.73,84.9,110.7,68.1,+.000,0.0,200.0,1271.0
371,356,Chicago St.,WAC,0-9,-28.28,89.0,117.3,67.9,-.006,106.5,98.6,1152.0
372,357,Mississippi Valley St.,SWAC,2-21,-40.90,79.3,120.2,71.4,+.041,96.7,102.4,1290.0
