,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Kansas,B12,23-3,+31.04,115.1,84.1,68.0,+.017,106.8,94.2,1242.0
1,2,Duke,ACC,22-3,+27.60,116.1,88.5,72.2,+.010,105.5,98.7,1181.0
2,3,Baylor,B12,24-1,+27.40,112.4,85.0,66.2,+.043,105.6,97.1,1124.0
3,4,Gonzaga,WCC,26-1,+27.35,120.2,92.9,72.7,+.054,102.0,101.3,1211.0
4,5,San Diego St.,MWC,26-0,+27.24,116.2,88.9,65.1,+.022,103.9,102.0,1361.0
5,6,Dayton,A10,24-2,+24.19,118.2,94.0,68.4,+.001,103.8,101.0,1173.0
6,7,West Virginia,B12,19-7,+23.63,107.5,83.8,70.6,-.020,106.5,95.9,1452.0
7,8,Maryland,B10,22-4,+22.46,111.0,88.5,67.6,+.035,106.5,97.1,1268.0
8,9,Ohio St.,B10,17-8,+21.98,112.4,90.5,66.8,-.046,106.5,96.8,1326.0
9,10,Michigan St.,B10,17-9,+21.95,112.6,90.6,70.1,-.047,107.2,96.0,1277.0
10,11,Arizona,P12,18-7,+21.19,113.2,92.1,69.3,-.039,105.5,98.5,1112.0
11,12,Louisville,ACC,21-5,+21.19,114.7,93.5,67.3,+.017,104.5,98.2,1257.0
12,13,Penn St.,B10,20-6,+20.83,111.7,90.9,71.7,+.047,106.9,97.2,1336.0
13,14,Creighton,BE,21-6,+20.65,116.9,96.3,69.1,+.076,107.1,96.3,1166.0
14,15,Michigan,B10,16-9,+20.58,112.4,91.8,69.0,-.053,109.4,97.9,1276.0
15,16,Seton Hall,BE,18-7,+20.34,109.9,89.5,70.8,-.006,107.3,96.4,1371.0
16,17,Texas Tech,B12,16-9,+20.25,109.6,89.3,68.1,-.093,104.9,98.0,1403.0
17,18,Colorado,P12,20-6,+20.11,110.3,90.1,68.6,+.029,104.7,97.8,1160.0
18,19,BYU,WCC,21-7,+19.98,116.8,96.8,69.9,-.020,104.9,99.6,1140.0
19,20,Houston,Amer,20-6,+19.51,112.4,92.9,66.5,-.034,103.7,98.6,1222.0
20,21,Florida St.,ACC,22-4,+19.37,110.4,91.0,70.5,+.079,105.3,98.5,1199.0
21,22,Iowa,B10,18-8,+19.29,116.6,97.3,70.8,+.034,107.7,96.2,1234.0
22,23,Villanova,BE,19-6,+19.00,114.2,95.2,66.4,+.080,107.1,97.1,1437.0
23,24,Oregon,P12,20-6,+18.81,115.5,96.6,65.7,+.030,105.0,97.0,1332.0
24,25,Purdue,B10,14-13,+18.71,110.2,91.5,64.5,-.107,107.4,95.7,1345.0
25,26,Marquette,BE,17-8,+18.28,112.2,93.9,71.4,+.008,107.0,96.9,1266.0
26,27,Butler,BE,19-7,+17.82,112.0,94.2,64.2,+.034,106.6,97.4,1139.0
27,28,Wisconsin,B10,16-10,+17.70,109.0,91.3,63.5,-.008,108.2,96.9,1458.0
28,29,Rutgers,B10,18-8,+17.69,107.4,89.7,67.7,-.024,106.0,98.1,1353.0
29,30,Kentucky,SEC,21-5,+17.69,111.7,94.0,68.1,+.002,104.6,99.6,1246.0
30,31,Illinois,B10,17-9,+17.67,109.4,91.8,67.0,-.005,106.9,96.4,1228.0
31,32,Minnesota,B10,12-12,+16.97,110.7,93.7,66.4,-.092,108.2,95.3,1278.0
32,33,Auburn,SEC,22-3,+16.12,111.9,95.8,69.1,+.158,106.4,100.5,1120.0
33,34,Florida,SEC,17-9,+15.85,111.7,95.8,66.1,-.010,105.9,98.4,1196.0
34,35,Saint Mary's,WCC,21-6,+15.50,114.6,99.1,64.4,+.032,103.8,100.8,1388.0
35,36,LSU,SEC,18-8,+15.40,117.8,102.4,70.4,-.022,104.6,97.9,1261.0
36,37,Wichita St.,Amer,19-6,+15.24,105.3,90.1,69.9,+.053,102.8,99.0,1455.0
37,38,Oklahoma,B12,16-10,+15.20,108.9,93.7,69.9,+.032,106.8,95.3,1328.0
38,39,Cincinnati,Amer,17-8,+15.05,108.5,93.4,68.5,-.028,104.0,98.0,1153.0
39,40,Utah St.,MWC,21-7,+15.04,108.5,93.5,67.5,+.031,105.7,101.7,1429.0
42,41,Northern Iowa,MVC,22-4,+14.80,114.2,99.4,66.6,+.007,102.0,100.4,1320.0
43,42,Xavier,BE,17-9,+14.65,106.0,91.4,68.1,+.020,107.2,98.0,1462.0
44,43,Rhode Island,A10,19-6,+14.33,106.0,91.7,71.7,+.046,104.3,100.2,1348.0
45,44,Stanford,P12,16-9,+14.14,103.6,89.5,68.6,-.100,102.4,99.5,1390.0
46,45,Georgetown,BE,15-10,+13.90,112.8,98.9,70.8,-.008,106.7,97.1,1207.0
47,46,Alabama,SEC,14-11,+13.90,110.7,96.8,75.8,-.084,106.8,98.5,1104.0
48,47,Indiana,B10,16-9,+13.79,109.2,95.4,68.2,+.044,107.0,97.6,1231.0
49,48,Mississippi St.,SEC,16-9,+13.77,112.6,98.8,66.7,-.019,105.4,99.9,1280.0
50,49,Yale,Ivy,18-6,+13.66,106.9,93.3,67.7,-.084,101.8,101.5,1463.0
51,50,Arkansas,SEC,16-10,+13.54,105.6,92.1,71.1,-.054,106.2,99.7,1116.0
52,51,Richmond,A10,19-6,+13.01,108.5,95.4,69.3,+.056,103.5,101.6,1350.0
53,52,Virginia,ACC,17-7,+13.01,98.5,85.5,59.4,+.063,104.3,98.5,1438.0
54,53,VCU,A10,17-9,+12.70,104.8,92.1,70.2,-.039,103.6,100.2,1433.0
55,54,Syracuse,ACC,14-11,+12.33,112.5,100.2,68.5,-.069,104.6,98.7,1393.0
56,55,USC,P12,19-7,+12.32,104.8,92.5,70.0,+.090,104.1,98.8,1425.0
57,56,East Tennessee St.,SC,23-4,+12.07,108.5,96.5,66.4,+.057,102.1,103.9,1190.0
58,57,Arizona St.,P12,17-8,+12.04,104.6,92.5,73.6,+.088,105.7,97.9,1113.0
59,58,Providence,BE,14-12,+11.86,105.4,93.5,68.7,-.042,105.9,97.6,1344.0
60,59,Liberty,ASun,24-3,+11.83,104.7,92.9,61.6,+.025,98.2,105.8,1251.0
61,60,N.C. State,ACC,16-9,+11.82,109.4,97.5,70.0,-.015,103.9,98.3,1301.0
62,61,Connecticut,Amer,14-11,+11.71,105.0,93.3,68.2,-.102,103.3,98.9,1163.0
63,62,UNC Greensboro,SC,21-6,+11.58,104.1,92.5,67.6,-.007,101.2,103.5,1422.0
64,63,Tennessee,SEC,15-11,+11.53,104.9,93.4,65.5,-.036,104.3,98.1,1397.0
65,64,Washington,P12,12-14,+11.51,104.0,92.5,69.4,-.162,104.6,98.0,1449.0
66,65,Notre Dame,ACC,16-10,+11.50,110.9,99.4,68.6,-.023,104.0,99.6,1323.0
67,66,Vermont,AE,21-6,+11.49,105.6,94.1,66.7,-.024,98.8,102.9,1436.0
68,67,Memphis,Amer,17-8,+11.31,102.0,90.7,73.6,+.013,102.9,99.5,1272.0
69,68,Oklahoma St.,B12,13-13,+10.92,105.6,94.7,68.6,-.008,106.4,94.8,1329.0
70,69,Akron,MAC,20-6,+10.86,109.2,98.4,69.9,-.010,99.9,101.5,1103.0
71,70,Iowa St.,B12,11-15,+10.85,110.7,99.9,70.5,-.088,106.4,94.7,1235.0
72,71,North Texas,CUSA,18-9,+10.76,111.9,101.1,63.5,-.024,101.5,99.7,1317.0
73,72,Clemson,ACC,13-12,+10.74,102.9,92.2,66.2,-.048,106.0,98.1,1155.0
74,73,South Carolina,SEC,16-9,+10.67,104.2,93.6,73.0,+.016,102.9,98.4,1376.0
75,74,Davidson,A10,13-12,+10.67,111.9,101.2,65.4,-.127,101.9,99.3,1172.0
76,75,SMU,Amer,18-6,+10.64,115.0,104.4,64.9,+.050,101.1,100.5,1374.0
77,76,Nevada,MWC,17-10,+10.61,109.4,98.8,71.0,-.004,104.5,101.7,1305.0
78,77,Furman,SC,22-5,+10.45,107.3,96.9,68.6,+.056,102.4,103.4,1202.0
79,78,St. John's,BE,14-12,+10.27,105.1,94.9,73.6,-.068,104.1,97.9,1385.0
80,79,Louisiana Tech,CUSA,19-7,+10.09,107.1,97.0,66.9,-.031,100.8,103.1,1256.0
81,80,DePaul,BE,13-12,+9.96,103.9,93.9,71.2,-.051,106.6,98.2,1177.0
84,81,Tulsa,Amer,17-8,+9.64,103.7,94.1,66.2,+.042,102.2,100.3,1409.0
85,82,Georgia Tech,ACC,12-13,+9.55,101.8,92.3,69.8,-.045,106.6,97.2,1210.0
86,83,Texas,B12,14-11,+9.35,102.4,93.0,66.4,+.057,106.2,97.1,1400.0
87,84,Northern Colorado,BSky,17-8,+9.23,108.4,99.2,65.7,-.053,100.8,103.0,1294.0
88,85,Oregon St.,P12,15-10,+8.97,110.0,101.0,66.4,-.021,103.1,100.1,1333.0
89,86,Boise St.,MWC,17-10,+8.75,106.4,97.7,70.0,+.025,104.0,100.7,1129.0
90,87,Mississippi,SEC,13-13,+8.65,103.8,95.1,68.4,-.052,105.0,99.1,1279.0
91,88,TCU,B12,14-11,+8.55,104.0,95.4,65.8,+.031,103.8,96.4,1395.0
92,89,San Francisco,WCC,17-10,+8.30,108.0,99.7,69.6,-.014,103.6,101.0,1362.0
93,90,Duquesne,A10,18-6,+8.18,105.4,97.2,68.0,+.057,101.6,102.9,1182.0
94,91,Saint Louis,A10,18-8,+8.12,104.7,96.6,67.6,+.029,102.2,100.8,1387.0
95,92,Virginia Tech,ACC,15-10,+8.06,105.6,97.5,65.6,-.001,103.5,99.8,1439.0
96,93,North Carolina,ACC,10-16,+8.02,105.2,97.2,71.1,-.088,106.3,97.0,1314.0
97,94,Colorado St.,MWC,18-10,+7.72,108.9,101.2,69.9,+.063,104.3,100.7,1161.0
98,95,Loyola Chicago,MVC,18-9,+7.62,103.0,95.3,65.5,+.005,101.7,102.2,1260.0
99,96,Kansas St.,B12,9-16,+7.56,101.9,94.3,67.4,-.139,104.9,95.6,1243.0
100,97,Wake Forest,ACC,11-14,+7.36,106.1,98.7,70.4,-.036,105.2,97.2,1448.0
101,98,Pittsburgh,ACC,15-12,+7.18,105.1,97.9,65.0,+.019,104.1,98.0,1338.0
102,99,UCLA,P12,15-11,+6.95,108.1,101.1,65.6,+.030,104.2,98.9,1417.0
103,100,Texas St.,SB,17-10,+6.93,104.7,97.8,66.0,-.064,101.5,102.6,1402.0
104,101,Belmont,OVC,20-7,+6.66,106.6,99.9,71.6,-.029,99.2,106.2,1125.0
105,102,Missouri,SEC,13-13,+6.28,104.3,98.1,67.2,-.041,104.4,97.9,1281.0
106,103,Georgia St.,SB,18-9,+6.26,106.6,100.3,73.4,-.027,102.2,102.2,1209.0
107,104,Miami FL,ACC,13-12,+6.20,108.9,102.7,69.1,+.060,105.5,96.6,1274.0
108,105,Georgia,SEC,12-13,+6.15,106.6,100.5,71.2,-.052,105.3,98.4,1208.0
109,106,Stephen F. Austin,Slnd,22-3,+6.07,103.9,97.8,71.8,+.051,98.7,105.7,1372.0
110,107,UC Irvine,BW,17-10,+6.02,104.5,98.5,68.5,-.063,100.8,101.8,1414.0
111,108,Bradley,MVC,18-9,+5.98,104.8,98.8,67.3,+.022,101.3,102.5,1133.0
112,109,Harvard,Ivy,16-7,+5.92,105.6,99.7,69.3,+.016,101.4,102.0,1217.0
113,110,Temple,Amer,13-12,+5.87,99.7,93.8,71.0,-.007,104.6,99.2,1396.0
114,111,Western Kentucky,CUSA,18-8,+5.59,107.2,101.6,68.3,+.036,101.6,101.4,1443.0
115,112,UNLV,MWC,14-14,+5.45,107.1,101.6,67.1,-.028,104.0,100.7,1424.0
116,113,St. Bonaventure,A10,17-9,+5.39,106.8,101.4,65.5,+.070,101.8,100.9,1382.0
117,114,South Dakota St.,Sum,20-8,+5.38,109.3,103.9,68.0,-.002,100.2,105.3,1355.0
118,115,Wright St.,Horz,23-5,+5.21,105.9,100.7,72.7,-.001,98.6,107.1,1460.0
119,116,New Mexico St.,WAC,21-6,+5.18,106.1,100.9,64.2,+.072,98.9,103.7,1308.0
120,117,Utah,P12,14-11,+5.18,104.8,99.7,67.0,+.065,106.5,98.8,1428.0
121,118,UT Arlington,SB,12-15,+5.10,102.8,97.7,68.8,-.135,104.9,101.6,1426.0
122,119,Indiana St.,MVC,14-11,+5.10,105.7,100.6,67.0,-.008,103.3,101.0,1232.0
123,120,Colgate,Pat,20-7,+4.73,106.2,101.5,68.9,+.063,101.6,105.9,1159.0
126,121,Hofstra,CAA,20-7,+4.57,106.8,102.2,69.3,+.069,100.4,104.7,1220.0
127,122,North Dakota St.,Sum,19-7,+4.34,107.0,102.6,65.9,+.014,100.9,104.8,1295.0
128,123,Pacific,WCC,20-9,+4.33,102.0,97.7,65.2,+.054,101.8,104.0,1334.0
129,124,Northwestern,B10,6-19,+4.32,105.8,101.5,66.6,-.130,106.5,95.2,1321.0
130,125,UCF,Amer,13-11,+4.16,101.9,97.7,68.1,+.010,102.7,100.3,1416.0
131,126,Washington St.,P12,14-12,+4.07,101.3,97.3,70.8,-.004,102.1,99.9,1450.0
132,127,South Florida,Amer,11-14,+4.00,99.1,95.1,65.0,-.077,102.2,98.8,1378.0
133,128,Kent St.,MAC,17-9,+3.97,104.7,100.8,68.9,+.019,101.4,102.7,1245.0
134,129,Ball St.,MAC,14-12,+3.76,97.3,93.6,68.4,-.106,100.9,102.8,1123.0
135,130,Little Rock,SB,18-9,+3.75,105.0,101.3,69.5,+.064,101.7,102.1,1114.0
136,131,Winthrop,BSth,19-9,+3.68,104.4,100.7,71.7,-.058,99.7,106.0,1457.0
137,132,Montana,BSky,16-10,+3.29,103.3,100.1,68.8,+.051,101.1,102.7,1285.0
138,133,Missouri St.,MVC,13-14,+3.19,102.7,99.5,67.4,-.067,102.8,102.3,1283.0
139,134,Murray St.,OVC,19-7,+3.15,103.5,100.4,69.3,-.018,98.4,106.9,1293.0
