,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Louisville,BE,35-5,+32.92,117.7,84.8,65.8,-.016,107.4,97.2,1257.0
1,2,Florida,SEC,29-8,+31.18,117.2,86.0,61.9,-.089,105.6,98.6,1196.0
2,3,Indiana,B10,29-7,+29.31,120.8,91.5,66.0,-.021,106.7,97.8,1231.0
3,4,Michigan,B10,31-8,+27.86,121.9,94.0,64.0,-.007,108.2,97.0,1276.0
4,5,Gonzaga,WCC,32-3,+27.81,120.5,92.7,63.3,+.026,105.4,101.0,1211.0
5,6,Duke,ACC,30-6,+26.98,119.1,92.1,66.7,+.033,108.4,98.5,1181.0
6,7,Ohio St.,B10,29-8,+25.42,115.1,89.7,63.6,+.020,107.3,97.1,1326.0
7,8,Kansas,B12,31-6,+25.23,112.7,87.5,66.4,+.010,106.8,99.8,1242.0
8,9,Syracuse,BE,30-10,+24.83,113.1,88.3,63.1,-.004,106.8,97.4,1393.0
9,10,Michigan St.,B10,27-9,+24.17,112.6,88.5,63.1,+.001,108.8,96.9,1277.0
10,11,Pittsburgh,BE,24-9,+24.08,115.6,91.5,59.3,-.058,104.9,100.4,1338.0
11,12,Wisconsin,B10,23-12,+22.57,108.3,85.7,60.4,-.033,108.8,97.7,1458.0
12,13,Miami FL,ACC,29-7,+22.37,113.6,91.3,61.9,+.028,107.7,99.3,1274.0
13,14,Arizona,P12,27-8,+21.88,115.4,93.5,65.5,-.012,106.4,98.5,1112.0
14,15,Creighton,MVC,28-8,+21.75,118.3,96.5,63.8,-.009,105.5,99.7,1166.0
15,16,Georgetown,BE,25-7,+21.24,107.6,86.4,61.2,+.038,106.3,98.9,1207.0
16,17,Wichita St.,MVC,30-9,+20.31,111.8,91.5,63.8,-.002,106.9,100.2,1455.0
17,18,VCU,A10,27-9,+20.28,114.0,93.7,66.4,+.002,105.8,100.7,1433.0
18,19,Saint Louis,A10,28-7,+20.01,108.6,88.6,63.8,+.000,104.5,100.6,1387.0
19,20,Minnesota,B10,21-13,+19.85,114.8,95.0,62.3,-.036,108.5,97.3,1278.0
20,21,Saint Mary's,WCC,28-7,+19.33,116.1,96.8,62.9,+.023,104.9,101.7,1388.0
21,22,Colorado St.,MWC,26-9,+19.12,117.9,98.8,63.8,+.020,105.8,98.6,1161.0
22,23,New Mexico,MWC,29-6,+19.02,109.9,90.9,63.7,+.073,106.4,98.4,1307.0
23,24,Oklahoma St.,B12,24-9,+18.69,109.0,90.3,66.1,-.016,106.8,100.4,1329.0
24,25,Missouri,SEC,23-11,+18.53,114.9,96.4,66.3,-.032,105.1,99.5,1281.0
25,26,Marquette,BE,26-9,+18.32,113.2,94.9,63.3,+.090,105.9,96.6,1266.0
26,27,Kansas St.,B12,27-8,+18.16,113.5,95.3,61.4,+.051,106.1,99.3,1243.0
27,28,Baylor,B12,23-14,+17.89,114.3,96.4,66.4,-.090,106.0,99.1,1124.0
28,29,Iowa,B10,25-13,+17.83,109.8,91.9,66.3,-.029,106.0,99.0,1234.0
29,30,Iowa St.,B12,23-12,+17.63,117.5,99.8,68.3,-.046,105.5,98.7,1235.0
30,31,San Diego St.,MWC,23-11,+17.43,107.7,90.3,65.5,-.049,106.6,98.9,1361.0
31,32,North Carolina,ACC,25-11,+17.14,112.2,95.1,69.6,+.038,106.6,98.0,1314.0
32,33,N.C. State,ACC,24-11,+16.99,116.8,99.8,66.8,-.032,106.1,99.5,1301.0
33,34,Mississippi,SEC,27-9,+16.95,112.3,95.3,69.2,-.011,103.4,100.2,1279.0
34,35,Oregon,P12,28-9,+16.78,106.6,89.8,67.9,+.052,105.1,99.2,1332.0
35,36,Notre Dame,BE,25-10,+16.65,114.6,97.9,60.3,+.046,105.1,98.6,1323.0
36,37,Memphis,CUSA,31-5,+16.33,107.3,91.0,68.3,+.056,104.8,102.9,1272.0
37,38,UNLV,MWC,25-10,+16.07,106.0,90.0,67.9,-.015,106.1,99.9,1424.0
38,39,Illinois,B10,23-13,+15.82,110.6,94.8,64.6,+.042,108.1,97.3,1228.0
39,40,Cincinnati,BE,22-12,+15.57,105.9,90.4,63.0,-.012,105.6,98.3,1153.0
42,41,Virginia,ACC,23-12,+15.51,107.5,92.0,59.3,-.067,103.0,100.6,1438.0
43,42,Butler,A10,27-9,+15.41,110.5,95.1,63.6,+.087,106.8,99.3,1139.0
44,43,Belmont,OVC,26-7,+14.92,111.6,96.6,65.9,+.013,103.8,104.6,1125.0
45,44,Middle Tennessee,SB,28-6,+14.77,107.3,92.5,63.4,+.052,100.7,103.0,1292.0
46,45,Colorado,P12,21-12,+14.62,106.5,91.9,63.7,+.029,107.3,98.1,1160.0
47,46,UCLA,P12,25-10,+14.53,111.1,96.6,68.1,+.068,105.9,97.9,1417.0
48,47,Denver,WAC,22-10,+14.30,110.0,95.7,57.5,-.044,102.8,102.9,1176.0
49,48,Stanford,P12,19-15,+14.18,109.9,95.7,66.7,-.075,106.3,98.5,1390.0
50,49,Connecticut,BE,20-10,+14.05,109.9,95.9,63.8,+.011,105.6,98.1,1163.0
51,50,La Salle,A10,24-10,+13.89,111.8,98.0,64.6,+.051,105.8,100.1,1247.0
52,51,Oklahoma,B12,20-12,+13.80,111.1,97.3,65.2,+.004,106.4,98.6,1328.0
53,52,Maryland,ACC,25-13,+13.62,107.1,93.4,66.2,-.032,105.3,101.2,1268.0
54,53,Villanova,BE,20-14,+13.57,106.3,92.7,66.4,+.011,106.5,97.1,1437.0
55,54,Boise St.,MWC,21-11,+13.54,113.2,99.7,64.8,+.004,105.9,99.2,1129.0
56,55,Kentucky,SEC,21-12,+13.25,111.4,98.1,65.4,-.006,104.8,99.9,1246.0
57,56,California,P12,21-12,+13.11,107.3,94.2,64.9,+.041,106.0,97.6,1143.0
58,57,BYU,WCC,24-12,+13.04,110.2,97.2,69.9,-.016,105.9,102.8,1140.0
59,58,Bucknell,Pat,28-6,+12.72,107.3,94.6,61.9,-.014,102.4,104.1,1137.0
60,59,Temple,A10,24-10,+12.67,111.3,98.6,65.6,+.038,105.7,100.2,1396.0
61,60,Stony Brook,AE,25-8,+12.25,106.7,94.4,62.9,-.034,100.3,103.0,1392.0
62,61,Southern Miss,CUSA,27-10,+12.19,110.4,98.2,63.3,+.026,103.6,101.1,1379.0
63,62,Akron,MAC,26-7,+11.52,106.8,95.2,65.2,+.085,102.4,102.7,1103.0
64,63,Illinois St.,MVC,18-15,+11.49,109.7,98.2,68.8,-.094,105.0,100.8,1229.0
65,64,Alabama,SEC,23-13,+11.47,103.6,92.2,60.5,+.001,104.8,100.3,1104.0
66,65,Valparaiso,Horz,26-8,+11.42,110.7,99.3,64.3,+.021,101.5,103.0,1434.0
67,66,Davidson,SC,26-8,+11.36,112.1,100.7,63.9,-.002,100.3,105.4,1172.0
68,67,Dayton,A10,17-14,+11.31,112.7,101.4,64.7,-.100,103.7,100.1,1173.0
69,68,Northern Iowa,MVC,21-15,+10.84,106.8,96.0,61.8,-.034,105.6,100.2,1320.0
70,69,Providence,BE,19-15,+10.75,107.9,97.2,64.9,-.027,104.7,98.9,1344.0
71,70,Stephen F. Austin,Slnd,27-5,+10.68,100.4,89.7,59.5,-.021,99.3,105.7,1372.0
72,71,Weber St.,BSky,30-7,+10.65,109.1,98.4,64.1,-.016,100.5,107.3,1451.0
73,72,Arizona St.,P12,22-13,+10.50,108.3,97.8,64.8,-.014,104.8,100.9,1113.0
74,73,Tennessee,SEC,20-13,+10.47,109.1,98.6,62.4,+.006,104.3,98.7,1397.0
75,74,Purdue,B10,16-18,+10.33,107.0,96.6,65.6,-.060,106.3,98.3,1345.0
76,75,North Dakota St.,Sum,24-10,+10.03,105.5,95.4,59.6,-.015,102.4,106.1,1295.0
77,76,Santa Clara,WCC,26-12,+9.72,110.9,101.2,67.5,+.046,102.9,101.8,1365.0
78,77,Detroit,Horz,20-13,+9.65,113.7,104.1,69.0,-.044,103.2,100.5,1178.0
79,78,Xavier,A10,17-14,+9.55,106.0,96.4,61.8,-.055,105.5,100.1,1462.0
80,79,Saint Joseph's,A10,18-14,+9.35,109.0,99.6,61.6,-.026,105.2,100.9,1386.0
81,80,Arkansas,SEC,19-13,+9.29,106.7,97.4,69.6,+.004,103.7,99.5,1116.0
84,81,Washington,P12,18-16,+9.16,107.7,98.5,64.3,-.000,106.3,98.6,1449.0
85,82,Ohio,MAC,24-10,+9.06,106.6,97.5,66.5,+.020,101.2,103.0,1325.0
86,83,Richmond,A10,19-15,+8.08,110.0,102.0,62.4,-.017,104.5,101.1,1350.0
87,84,Evansville,MVC,21-15,+8.08,106.4,98.3,64.6,-.011,105.3,101.4,1191.0
88,85,Louisiana Tech,WAC,27-7,+8.05,101.8,93.7,68.7,+.082,101.9,104.3,1256.0
89,86,Massachusetts,A10,21-12,+7.91,107.4,99.5,69.8,+.080,105.2,100.3,1269.0
90,87,Princeton,Ivy,17-11,+7.88,108.8,100.9,59.4,-.071,101.7,103.0,1343.0
91,88,New Mexico St.,WAC,24-11,+7.68,104.7,97.1,63.8,+.039,102.7,102.3,1308.0
92,89,Iona,MAAC,20-14,+7.45,114.4,106.9,69.7,-.070,102.4,101.4,1233.0
93,90,Washington St.,P12,13-19,+7.45,107.6,100.2,60.7,-.135,104.9,100.0,1450.0
94,91,Lehigh,Pat,21-10,+7.32,108.9,101.6,65.8,-.003,101.5,104.6,1250.0
95,92,Indiana St.,MVC,18-15,+7.31,103.0,95.7,64.0,+.041,107.2,99.9,1232.0
96,93,Harvard,Ivy,20-10,+7.07,108.1,101.1,63.3,+.037,102.8,102.2,1217.0
97,94,Texas,B12,16-18,+7.02,102.5,95.5,64.7,-.023,105.3,99.1,1400.0
98,95,Texas A&M,SEC,18-15,+6.83,105.2,98.4,59.8,-.013,103.8,99.8,1401.0
99,96,South Dakota St.,Sum,25-10,+6.79,112.0,105.2,62.6,+.030,102.0,105.3,1355.0
100,97,Oregon St.,P12,14-18,+6.77,109.4,102.7,67.1,-.120,104.3,99.1,1333.0
101,98,Vanderbilt,SEC,16-17,+6.77,102.6,95.8,59.7,-.026,104.9,99.9,1435.0
102,99,Air Force,MWC,18-14,+6.74,111.7,104.9,63.2,+.034,105.7,98.5,1102.0
103,100,Wyoming,MWC,20-14,+6.53,103.0,96.5,60.0,+.045,105.5,100.0,1461.0
104,101,USC,P12,14-18,+6.39,103.4,97.0,65.8,-.014,106.9,97.7,1425.0
105,102,LSU,SEC,19-12,+6.38,105.6,99.3,67.7,+.060,103.3,100.2,1261.0
106,103,St. John's,BE,17-16,+6.38,100.4,94.0,66.3,+.058,106.5,99.2,1385.0
107,104,Georgia Tech,ACC,16-15,+6.37,99.9,93.5,65.2,-.038,105.7,101.8,1210.0
108,105,Florida Gulf Coast,ASun,26-11,+6.27,104.9,98.6,67.9,+.039,101.3,104.1,1195.0
109,106,Rutgers,BE,15-16,+6.07,107.5,101.4,63.1,+.015,105.2,98.2,1353.0
110,107,Boston College,ACC,16-17,+6.04,109.9,103.9,62.6,+.026,105.8,99.4,1130.0
111,108,Utah St.,WAC,21-10,+5.53,109.7,104.2,60.6,+.024,101.5,103.6,1429.0
112,109,Fresno St.,MWC,11-19,+5.46,100.0,94.5,60.5,-.062,107.7,98.6,1201.0
113,110,Eastern Kentucky,OVC,25-10,+5.39,110.7,105.3,63.9,+.028,101.1,104.8,1184.0
114,111,George Washington,A10,13-17,+5.34,100.4,95.1,66.5,-.085,105.6,101.2,1203.0
115,112,Clemson,ACC,13-18,+5.33,101.2,95.8,61.0,-.111,105.7,101.4,1155.0
116,113,Georgia,SEC,15-17,+5.27,101.9,96.7,60.9,-.002,104.5,99.7,1208.0
117,114,UTEP,CUSA,18-14,+5.25,103.7,98.5,59.9,+.000,103.9,102.5,1431.0
118,115,Utah,P12,15-18,+5.13,104.7,99.5,60.9,-.027,105.9,98.8,1428.0
119,116,Canisius,MAAC,20-14,+5.06,111.2,106.2,65.1,-.015,102.2,102.3,1145.0
120,117,Seton Hall,BE,15-18,+4.94,104.3,99.4,63.5,-.026,105.0,98.7,1371.0
121,118,Drake,MVC,15-17,+4.55,107.2,102.6,67.4,+.002,106.5,100.6,1179.0
122,119,St. Bonaventure,A10,14-15,+4.53,109.7,105.2,65.1,-.040,105.9,102.2,1382.0
123,120,Florida St.,ACC,18-16,+4.45,107.1,102.7,64.2,+.085,105.6,98.7,1199.0
126,121,Kent St.,MAC,21-14,+4.43,107.8,103.4,65.6,-.019,101.4,102.3,1245.0
127,122,Wright St.,Horz,23-13,+4.33,98.0,93.7,61.8,+.008,102.7,104.2,1460.0
128,123,West Virginia,B12,13-19,+4.22,105.0,100.8,63.0,-.042,107.2,100.4,1452.0
129,124,Loyola MD,MAAC,23-12,+4.13,104.6,100.4,62.7,+.047,101.3,102.8,1259.0
130,125,East Carolina,CUSA,23-12,+4.02,108.9,104.9,67.5,+.045,102.3,102.2,1187.0
131,126,Green Bay,Horz,18-16,+3.99,104.5,100.5,62.5,-.050,103.0,103.0,1453.0
132,127,Mercer,ASun,24-12,+3.96,104.0,100.1,61.3,+.027,100.4,104.9,1273.0
133,128,Pacific,BW,22-13,+3.96,106.1,102.2,62.2,+.074,104.2,103.3,1334.0
134,129,Charlotte,A10,21-12,+3.90,101.4,97.5,66.4,+.133,105.0,102.2,1150.0
135,130,UCF,CUSA,20-11,+3.39,106.8,103.5,64.5,+.050,101.8,102.4,1416.0
