,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Virginia,ACC,35-3,+34.22,123.4,89.2,59.4,+.050,109.2,98.1,1438.0
1,2,Gonzaga,WCC,33-4,+32.85,124.5,91.6,70.2,-.001,106.9,102.5,1211.0
2,3,Michigan St.,B10,32-7,+30.81,121.0,90.2,66.9,+.001,110.6,96.9,1277.0
3,4,Duke,ACC,32-6,+30.62,120.0,89.3,72.1,+.018,110.7,97.8,1181.0
4,5,Texas Tech,B12,31-7,+30.03,114.1,84.1,66.6,+.004,109.8,98.7,1403.0
5,6,Michigan,B10,30-7,+28.32,114.5,86.2,64.8,-.001,109.2,98.0,1276.0
6,7,North Carolina,ACC,29-7,+27.69,119.7,92.0,74.3,+.024,110.7,98.1,1314.0
7,8,Kentucky,SEC,30-7,+27.57,117.6,90.1,65.6,+.033,110.7,99.4,1246.0
8,9,Purdue,B10,26-10,+26.81,122.5,95.6,65.9,-.015,110.3,97.1,1345.0
9,10,Tennessee,SEC,31-6,+26.24,122.7,96.5,67.8,+.034,109.7,99.0,1397.0
10,11,Auburn,SEC,30-10,+25.00,120.9,95.9,67.9,+.008,110.7,98.5,1120.0
11,12,Houston,Amer,33-4,+24.13,115.3,91.2,66.1,+.039,105.7,101.3,1222.0
12,13,Virginia Tech,ACC,26-9,+24.07,118.1,94.0,63.7,-.005,108.3,99.9,1439.0
13,14,Florida St.,ACC,29-8,+22.39,112.8,90.4,68.6,+.046,109.8,99.3,1199.0
14,15,Iowa St.,B12,23-12,+22.09,118.9,96.8,67.7,-.063,109.3,98.5,1235.0
15,16,Wisconsin,B10,23-11,+21.94,110.4,88.5,63.9,-.018,110.3,97.3,1458.0
16,17,Kansas,B12,26-10,+21.57,113.9,92.3,70.1,+.076,111.8,97.7,1242.0
17,18,Wofford,SC,30-5,+20.69,118.1,97.4,65.7,+.046,106.0,104.2,1459.0
18,19,LSU,SEC,28-7,+20.22,117.7,97.5,70.0,+.063,109.3,99.3,1261.0
19,20,Kansas St.,B12,25-9,+20.06,108.4,88.4,63.4,+.049,109.3,99.1,1243.0
20,21,Mississippi St.,SEC,23-11,+20.04,117.7,97.6,67.8,-.038,110.1,100.0,1280.0
21,22,Buffalo,MAC,32-4,+19.85,115.2,95.4,73.6,+.056,105.5,102.4,1138.0
22,23,Louisville,ACC,20-14,+19.35,113.7,94.4,67.2,-.060,110.4,98.4,1257.0
23,24,Maryland,B10,23-11,+19.29,113.4,94.1,66.0,-.004,109.8,99.1,1268.0
24,25,Texas,B12,21-16,+19.11,113.5,94.4,64.7,-.080,110.3,98.3,1400.0
25,26,Florida,SEC,20-16,+18.30,110.5,92.2,62.9,-.063,110.7,98.7,1196.0
26,27,Nevada,MWC,29-5,+18.18,114.0,95.9,69.3,+.033,105.4,103.9,1305.0
27,28,Oregon,P12,25-13,+17.86,109.5,91.7,64.2,-.048,107.7,102.3,1332.0
28,29,Cincinnati,Amer,28-7,+17.50,112.3,94.8,63.4,+.050,107.1,102.0,1153.0
29,30,Villanova,BE,26-10,+17.33,116.5,99.2,63.6,+.044,108.8,100.8,1437.0
30,31,Saint Mary's,WCC,22-12,+17.31,114.7,97.4,62.7,-.045,106.6,103.0,1388.0
31,32,Oklahoma,B12,20-14,+16.94,111.1,94.1,68.6,+.023,110.3,97.1,1328.0
32,33,Marquette,BE,24-10,+16.52,113.2,96.7,68.8,+.010,107.4,100.7,1266.0
33,34,UCF,Amer,24-9,+16.51,112.1,95.6,65.0,+.011,105.9,100.9,1416.0
34,35,Baylor,B12,20-14,+16.48,115.3,98.8,65.2,-.029,108.8,98.3,1124.0
35,36,Clemson,ACC,20-14,+16.14,108.0,91.8,66.2,-.066,108.2,99.7,1155.0
36,37,Iowa,B10,23-12,+16.02,117.4,101.3,69.5,+.050,108.9,98.3,1234.0
37,38,Utah St.,MWC,28-7,+15.41,112.6,97.2,68.1,+.012,104.5,104.4,1429.0
38,39,Syracuse,ACC,20-14,+15.13,110.5,95.3,66.1,-.004,108.6,99.2,1393.0
39,40,TCU,B12,23-14,+15.04,110.3,95.2,68.9,+.020,109.1,99.5,1395.0
42,41,N.C. State,ACC,24-12,+14.98,113.1,98.1,71.0,-.004,106.8,101.0,1301.0
43,42,VCU,A10,25-8,+14.89,104.3,89.5,68.4,+.007,105.2,103.8,1433.0
44,43,Penn St.,B10,14-18,+14.89,109.4,94.5,67.6,-.102,110.2,97.7,1336.0
45,44,Ohio St.,B10,20-15,+14.66,109.1,94.4,65.8,+.013,110.4,98.8,1326.0
46,45,Lipscomb,ASun,29-8,+14.55,111.7,97.2,73.3,-.013,103.9,103.8,1252.0
47,46,Minnesota,B10,22-14,+14.35,111.4,97.0,67.4,+.086,110.2,98.0,1278.0
48,47,Nebraska,B10,19-17,+14.35,113.5,99.1,66.4,-.046,109.7,97.2,1304.0
49,48,Washington,P12,27-9,+14.28,107.7,93.5,66.0,+.088,107.6,101.5,1449.0
50,49,Belmont,OVC,27-6,+14.09,115.6,101.5,71.3,+.025,103.6,105.6,1125.0
51,50,Mississippi,SEC,20-13,+13.98,113.2,99.2,68.5,-.007,109.1,100.4,1279.0
52,51,Murray St.,OVC,28-5,+13.83,112.5,98.6,69.4,+.054,103.1,106.4,1293.0
53,52,Indiana,B10,19-16,+13.73,109.1,95.4,66.9,-.034,109.4,98.8,1231.0
54,53,New Mexico St.,WAC,30-5,+13.62,113.0,99.3,65.9,+.042,102.8,106.2,1308.0
55,54,Arkansas,SEC,18-16,+12.92,110.1,97.2,70.4,-.048,108.2,99.7,1116.0
56,55,Creighton,BE,20-15,+12.67,112.0,99.3,68.7,-.034,109.0,100.9,1166.0
57,56,Memphis,Amer,22-14,+11.78,109.2,97.4,74.2,-.032,106.0,101.6,1272.0
58,57,Arizona St.,P12,23-11,+11.55,109.7,98.2,70.8,+.051,107.3,101.7,1113.0
59,58,Liberty,ASun,29-7,+11.54,111.1,99.6,62.3,+.009,102.5,105.8,1251.0
60,59,Furman,SC,25-8,+11.52,108.9,97.4,66.6,+.016,105.2,106.4,1202.0
61,60,Seton Hall,BE,20-14,+11.50,109.0,97.5,69.1,+.023,109.2,100.7,1371.0
62,61,Toledo,MAC,25-8,+11.29,109.8,98.5,67.8,+.044,104.9,104.2,1405.0
63,62,Dayton,A10,21-12,+11.27,112.1,100.8,64.7,-.047,104.4,103.1,1173.0
64,63,Colorado,P12,23-13,+10.75,106.8,96.1,68.1,-.028,106.0,103.7,1160.0
65,64,Alabama,SEC,18-16,+10.68,108.2,97.5,68.7,+.024,109.7,99.6,1104.0
66,65,Xavier,BE,19-16,+10.60,111.1,100.5,65.2,-.004,108.7,101.2,1462.0
67,66,Wichita St.,Amer,22-15,+10.10,106.6,96.5,68.3,+.036,107.0,100.7,1455.0
68,67,San Francisco,WCC,21-10,+9.93,112.0,102.1,66.6,-.022,104.1,104.6,1362.0
69,68,Missouri,SEC,15-17,+9.78,107.0,97.2,64.8,-.017,109.8,100.2,1281.0
70,69,Temple,Amer,23-10,+9.72,109.2,99.5,68.9,+.064,106.3,101.8,1396.0
71,70,South Carolina,SEC,16-16,+9.55,108.1,98.6,70.2,+.022,109.5,99.0,1376.0
72,71,Fresno St.,MWC,23-9,+9.36,108.4,99.0,67.9,-.011,103.6,105.6,1201.0
73,72,Butler,BE,16-17,+9.24,111.3,102.1,66.0,-.043,108.6,100.8,1139.0
74,73,UC Irvine,BW,31-6,+9.16,107.4,98.2,65.3,+.110,102.5,105.8,1414.0
75,74,Northwestern,B10,13-19,+9.06,102.9,93.8,66.0,-.111,108.3,99.4,1321.0
76,75,Miami FL,ACC,14-18,+9.03,109.9,100.8,67.0,-.072,108.1,100.1,1274.0
77,76,Vermont,AE,27-7,+8.86,108.5,99.6,65.5,+.043,100.7,106.2,1436.0
78,77,Yale,Ivy,22-8,+8.79,111.6,102.8,71.0,+.041,103.0,104.2,1463.0
79,78,Rutgers,B10,14-17,+8.76,105.6,96.8,67.7,-.020,109.2,99.0,1353.0
80,79,Providence,BE,18-16,+8.65,105.0,96.3,67.9,-.018,108.5,102.4,1344.0
81,80,East Tennessee St.,SC,24-10,+8.48,109.9,101.4,67.2,+.011,105.4,106.6,1190.0
84,81,Oregon St.,P12,18-13,+8.33,111.7,103.4,65.7,-.040,105.5,102.1,1333.0
85,82,USC,P12,16-17,+8.25,109.8,101.5,69.6,-.096,105.6,101.9,1425.0
86,83,Oklahoma St.,B12,12-20,+8.16,109.5,101.3,66.1,-.010,110.4,97.3,1329.0
87,84,Illinois,B10,12-21,+7.97,109.1,101.1,70.6,-.052,109.6,97.5,1228.0
88,85,Davidson,A10,24-10,+7.78,108.2,100.4,64.7,+.054,104.6,103.9,1172.0
89,86,BYU,WCC,19-13,+7.72,112.0,104.3,70.9,+.027,106.0,103.1,1140.0
90,87,UNC Greensboro,SC,29-7,+7.63,106.4,98.8,67.8,+.167,105.7,106.0,1422.0
91,88,St. John's,BE,21-13,+7.61,108.6,101.0,70.8,+.060,106.9,101.9,1385.0
92,89,Northeastern,CAA,23-11,+7.59,111.0,103.4,66.2,+.050,106.3,106.9,1318.0
93,90,San Diego,WCC,21-15,+7.58,105.9,98.3,66.9,-.006,106.1,102.8,1360.0
94,91,Texas A&M,SEC,14-18,+7.49,107.2,99.7,67.4,-.021,109.0,99.7,1401.0
95,92,South Dakota St.,Sum,24-9,+7.46,112.7,105.3,71.0,-.034,102.5,108.3,1355.0
96,93,Hofstra,CAA,27-8,+7.37,116.4,109.0,67.5,+.017,102.4,108.0,1220.0
97,94,Arizona,P12,17-15,+7.35,105.5,98.2,66.7,-.013,107.8,102.2,1112.0
98,95,West Virginia,B12,15-21,+7.15,109.8,102.7,70.6,+.018,109.4,97.8,1452.0
99,96,Northern Kentucky,Horz,26-9,+7.14,109.4,102.3,68.2,-.001,103.6,107.0,1297.0
100,97,Notre Dame,ACC,14-19,+6.95,108.0,101.1,65.2,-.055,108.0,100.3,1323.0
101,98,Connecticut,Amer,16-17,+6.78,109.0,102.2,68.6,-.070,105.6,101.8,1163.0
102,99,South Florida,Amer,24-14,+6.63,102.6,95.9,67.5,-.024,104.9,104.4,1378.0
103,100,Georgetown,BE,19-14,+6.45,108.9,102.5,71.9,+.040,107.7,102.7,1207.0
104,101,Pittsburgh,ACC,14-19,+6.35,104.9,98.5,67.0,-.094,107.7,101.0,1338.0
105,102,UCLA,P12,17-16,+6.34,109.0,102.7,72.5,+.007,107.8,102.2,1417.0
106,103,Georgia Southern,SB,21-12,+6.33,108.5,102.2,73.2,-.009,105.5,104.7,1204.0
107,104,Utah Valley,WAC,25-10,+6.22,108.5,102.3,68.8,+.037,103.9,105.9,1430.0
108,105,Bowling Green,MAC,22-12,+6.04,108.4,102.3,70.5,+.035,105.3,104.2,1132.0
109,106,Saint Louis,A10,23-13,+6.02,102.2,96.2,66.4,+.044,104.4,103.9,1387.0
110,107,SMU,Amer,15-17,+5.98,112.7,106.7,65.0,-.070,105.3,101.8,1374.0
111,108,Akron,MAC,17-16,+5.87,100.0,94.1,66.2,-.105,105.4,104.3,1103.0
112,109,Utah,P12,17-14,+5.85,114.8,108.9,66.4,+.031,106.1,101.3,1428.0
113,110,Jacksonville St.,OVC,24-9,+5.81,105.4,99.6,67.6,+.003,102.2,106.5,1240.0
114,111,Grand Canyon,WAC,20-14,+5.49,107.6,102.1,67.8,-.038,104.1,104.9,1213.0
115,112,Stanford,P12,15-16,+5.47,103.7,98.2,69.9,-.027,106.8,102.4,1390.0
116,113,Old Dominion,CUSA,26-9,+5.45,101.4,96.0,64.5,+.058,102.5,104.7,1330.0
117,114,Harvard,Ivy,19-12,+5.32,105.7,100.4,67.3,+.048,105.4,102.9,1217.0
118,115,Georgia Tech,ACC,14-18,+5.26,101.7,96.5,66.8,-.023,107.7,99.7,1210.0
119,116,Western Kentucky,CUSA,20-14,+5.20,105.1,99.9,67.7,-.000,104.1,102.8,1443.0
120,117,Wright St.,Horz,21-14,+5.02,107.1,102.0,65.2,-.040,105.1,106.5,1460.0
121,118,DePaul,BE,19-17,+5.02,111.7,106.7,70.1,-.018,105.6,102.3,1177.0
122,119,Tulsa,Amer,18-14,+4.94,105.4,100.4,68.8,+.040,105.8,102.4,1409.0
123,120,Southern Miss,CUSA,20-13,+4.93,107.1,102.2,64.8,-.005,103.4,103.4,1379.0
126,121,St. Bonaventure,A10,18-16,+4.92,102.1,97.2,64.0,-.044,103.4,103.8,1382.0
127,122,Radford,BSth,22-11,+4.88,109.3,104.4,64.4,-.007,104.5,105.3,1347.0
128,123,Charleston,CAA,24-9,+4.87,108.5,103.7,65.4,+.019,104.9,108.8,1158.0
129,124,Georgia St.,SB,24-10,+4.85,107.7,102.8,70.0,+.143,105.2,104.1,1209.0
130,125,San Diego St.,MWC,21-13,+4.83,103.9,99.0,66.7,+.056,105.3,104.1,1361.0
131,126,Colgate,Pat,24-11,+4.60,110.5,105.9,66.4,+.012,102.4,106.3,1159.0
132,127,Boston College,ACC,14-17,+4.52,107.2,102.7,67.3,+.019,107.3,100.7,1130.0
133,128,Austin Peay,OVC,22-11,+4.29,111.1,106.8,69.0,-.009,103.3,106.9,1122.0
134,129,Central Michigan,MAC,23-12,+4.27,110.4,106.1,71.3,+.022,103.7,104.1,1141.0
135,130,Penn,Ivy,19-12,+4.21,104.1,99.9,66.9,+.020,103.6,103.5,1335.0
136,131,Loyola Chicago,MVC,20-14,+4.18,104.2,100.0,62.7,-.019,102.5,104.1,1260.0
137,132,Georgia,SEC,11-21,+4.13,106.1,102.0,68.4,-.077,109.1,100.1,1208.0
138,133,Ball St.,MAC,16-17,+3.91,102.5,98.6,70.3,-.088,105.0,103.4,1123.0
139,134,Loyola Marymount,WCC,22-12,+3.84,103.6,99.8,62.7,+.066,104.3,104.2,1258.0
140,135,Drake,MVC,24-10,+3.76,106.5,102.8,69.3,+.081,102.4,104.0,1179.0
141,136,Northern Illinois,MAC,17-17,+3.72,109.0,105.3,65.9,-.071,104.7,103.2,1296.0
142,137,Montana,BSky,26-9,+3.53,107.4,103.9,66.9,+.059,102.4,108.4,1285.0
143,138,Texas St.,SB,24-10,+3.53,102.4,98.8,65.1,+.022,103.4,106.5,1402.0
144,139,Boise St.,MWC,13-20,+3.13,107.4,104.2,65.5,-.192,104.0,103.9,1129.0
