,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Villanova,BE,36-4,+33.76,127.8,94.0,68.7,-.018,111.3,100.0,1437.0
1,2,Virginia,ACC,31-3,+29.53,115.2,85.6,59.4,+.048,110.0,100.7,1438.0
2,3,Duke,ACC,29-8,+28.86,122.4,93.6,69.7,-.034,110.4,99.8,1181.0
3,4,Cincinnati,Amer,31-5,+26.60,113.4,86.8,64.5,-.019,106.9,103.4,1153.0
4,5,Purdue,B10,30-7,+26.27,122.7,96.4,67.2,+.006,109.1,100.1,1345.0
5,6,Michigan St.,B10,30-5,+25.41,119.2,93.8,67.0,+.038,108.6,101.9,1277.0
6,7,Michigan,B10,33-8,+24.20,114.7,90.5,64.9,+.052,111.4,101.1,1276.0
7,8,North Carolina,ACC,26-11,+23.59,120.3,96.7,71.2,-.011,111.6,98.3,1314.0
8,9,Kansas,B12,31-8,+23.49,120.9,97.4,68.8,+.076,111.7,99.3,1242.0
9,10,Gonzaga,WCC,32-5,+23.03,118.1,95.1,69.4,+.009,106.4,104.8,1211.0
10,11,Texas Tech,B12,27-10,+22.59,113.3,90.8,66.7,-.007,110.7,100.4,1403.0
11,12,West Virginia,B12,26-11,+22.44,119.4,96.9,69.2,-.014,109.9,99.3,1452.0
12,13,Tennessee,SEC,26-9,+22.27,114.6,92.4,66.0,+.019,111.2,100.2,1397.0
13,14,Clemson,ACC,25-10,+21.65,114.2,92.6,66.1,-.009,110.6,100.4,1155.0
14,15,Xavier,BE,29-6,+21.51,120.1,98.6,70.5,+.091,109.9,100.6,1462.0
15,16,Ohio St.,B10,25-9,+21.16,116.0,94.9,67.0,+.020,109.8,101.1,1326.0
16,17,Kentucky,SEC,26-11,+20.44,115.8,95.4,68.8,-.008,110.8,99.8,1246.0
17,18,Houston,Amer,27-8,+20.24,114.6,94.4,68.4,-.015,106.6,102.7,1222.0
18,19,Penn St.,B10,26-13,+19.18,114.3,95.1,67.3,-.050,109.7,102.1,1336.0
19,20,Butler,BE,21-14,+19.05,116.2,97.2,67.6,-.047,112.0,100.8,1139.0
20,21,Wichita St.,Amer,25-8,+19.03,121.0,101.9,68.6,-.026,107.3,102.2,1455.0
21,22,Florida,SEC,21-13,+18.96,114.5,95.5,67.1,-.059,110.2,99.5,1196.0
22,23,Auburn,SEC,26-8,+18.69,115.4,96.7,72.6,+.034,108.8,101.3,1120.0
23,24,TCU,B12,21-12,+18.47,119.7,101.2,68.6,-.067,110.7,101.0,1395.0
24,25,Nevada,MWC,29-8,+18.39,120.2,101.8,69.4,-.026,107.0,101.8,1305.0
25,26,Seton Hall,BE,22-12,+18.04,116.9,98.8,69.5,-.028,110.5,100.4,1371.0
26,27,Florida St.,ACC,23-12,+17.77,114.3,96.5,71.2,-.029,109.6,100.3,1199.0
27,28,Arizona,P12,27-8,+17.70,118.0,100.4,67.1,+.036,108.5,102.5,1112.0
28,29,Texas A&M,SEC,22-13,+16.96,111.3,94.4,69.5,+.014,111.8,100.1,1401.0
29,30,Creighton,BE,21-12,+16.91,115.5,98.6,70.8,-.028,110.8,101.4,1166.0
30,31,Loyola Chicago,MVC,32-6,+16.39,111.4,95.0,65.5,+.077,104.8,102.3,1260.0
31,32,Saint Mary's,WCC,30-6,+16.13,119.4,103.2,63.5,+.006,103.8,105.9,1388.0
32,33,Virginia Tech,ACC,21-12,+16.03,115.3,99.3,68.7,-.018,109.2,101.3,1439.0
33,34,Baylor,B12,19-15,+16.02,111.5,95.5,66.7,-.079,110.9,100.9,1124.0
34,35,Notre Dame,ACC,21-15,+15.79,114.9,99.1,65.4,-.058,109.8,101.2,1323.0
35,36,Texas,B12,19-15,+15.43,109.5,94.1,65.2,-.030,111.4,99.6,1400.0
36,37,Miami FL,ACC,22-10,+15.43,112.9,97.4,67.0,+.017,109.1,101.0,1274.0
37,38,Louisville,ACC,22-14,+15.41,112.2,96.8,69.7,-.005,109.6,100.7,1257.0
38,39,Maryland,B10,19-13,+15.03,114.1,99.1,66.3,-.046,108.8,100.6,1268.0
39,40,Missouri,SEC,20-13,+14.83,111.9,97.0,65.7,-.025,109.8,100.2,1281.0
42,41,Syracuse,ACC,23-14,+14.82,107.0,92.2,62.9,+.021,111.3,101.5,1393.0
43,42,Kansas St.,B12,25-12,+14.77,110.1,95.3,65.6,+.071,111.0,101.6,1243.0
44,43,Davidson,A10,21-12,+14.70,117.0,102.3,64.5,-.063,105.6,103.5,1172.0
45,44,Arkansas,SEC,23-12,+14.69,116.3,101.7,69.7,+.059,110.5,100.6,1116.0
46,45,Middle Tennessee,CUSA,25-8,+14.68,111.3,96.6,66.5,+.008,107.5,103.9,1292.0
47,46,N.C. State,ACC,21-12,+14.52,116.3,101.8,71.4,-.001,108.6,100.9,1301.0
48,47,Western Kentucky,CUSA,27-11,+14.45,114.5,100.1,68.8,-.003,106.9,103.2,1443.0
49,48,Oklahoma,B12,18-14,+14.16,114.6,100.5,75.5,-.008,111.3,99.6,1328.0
50,49,Arizona St.,P12,20-12,+14.13,116.7,102.6,71.3,-.083,107.4,101.9,1113.0
51,50,San Diego St.,MWC,22-11,+14.09,110.5,96.4,68.8,-.032,107.2,103.8,1361.0
52,51,USC,P12,24-12,+14.06,114.5,100.5,67.7,-.017,108.2,103.1,1425.0
53,52,Rhode Island,A10,26-8,+13.93,111.1,97.2,68.4,+.063,107.6,104.1,1348.0
54,53,Marquette,BE,21-14,+13.68,119.2,105.6,69.5,+.020,110.9,100.9,1266.0
55,54,Mississippi St.,SEC,25-12,+13.61,110.5,96.9,67.3,+.042,108.5,101.5,1280.0
56,55,Nebraska,B10,22-11,+13.54,110.6,97.1,67.4,+.055,108.4,101.3,1304.0
57,56,UCLA,P12,21-12,+13.52,115.0,101.4,70.3,-.027,108.1,101.7,1417.0
58,57,Alabama,SEC,20-16,+13.41,108.7,95.2,68.7,+.017,110.9,99.7,1104.0
59,58,Utah,P12,23-12,+12.99,111.8,98.9,65.6,+.031,109.1,102.7,1428.0
60,59,Oklahoma St.,B12,21-15,+12.93,111.6,98.6,68.9,-.001,110.6,101.4,1329.0
61,60,New Mexico St.,WAC,28-6,+12.92,107.9,95.0,68.5,+.027,104.0,105.4,1308.0
62,61,Boise St.,MWC,23-9,+12.90,109.9,97.0,68.8,-.006,106.6,104.3,1129.0
63,62,Murray St.,OVC,26-6,+12.19,112.9,100.7,67.2,-.000,102.9,106.4,1293.0
64,63,Providence,BE,21-14,+12.17,108.9,96.7,67.1,+.074,111.6,101.1,1344.0
65,64,Old Dominion,CUSA,25-7,+12.14,108.8,96.6,64.5,+.041,104.4,105.6,1330.0
66,65,Georgia,SEC,18-15,+11.64,107.5,95.9,64.4,+.010,111.0,100.9,1208.0
67,66,LSU,SEC,18-15,+11.62,114.8,103.2,68.7,-.018,110.0,101.4,1261.0
68,67,Buffalo,MAC,27-9,+11.53,114.7,103.2,72.7,+.006,105.1,105.2,1138.0
69,68,St. Bonaventure,A10,26-8,+11.21,110.8,99.5,69.4,+.078,107.0,104.2,1382.0
71,70,Wisconsin,B10,15-18,+10.68,109.7,99.1,62.7,-.068,110.9,101.0,1458.0
72,71,Indiana,B10,16-15,+10.44,109.4,99.0,66.6,-.025,109.7,101.8,1231.0
73,72,Montana,BSky,26-8,+10.40,108.8,98.4,68.0,-.000,104.0,106.0,1285.0
74,73,BYU,WCC,24-11,+10.32,108.3,98.0,67.9,+.006,106.4,105.9,1140.0
75,74,St. John's,BE,16-17,+10.31,106.5,96.2,69.4,-.016,111.5,100.4,1385.0
76,75,Oregon,P12,23-13,+10.24,111.1,100.9,67.3,+.004,107.9,104.4,1332.0
77,76,Vermont,AE,27-8,+10.22,113.8,103.5,64.1,-.009,102.5,105.4,1436.0
78,77,Boston College,ACC,19-16,+10.21,113.1,102.9,70.2,+.004,109.1,100.6,1130.0
79,78,South Dakota St.,Sum,28-7,+10.20,113.8,103.6,70.5,+.097,105.8,105.9,1355.0
80,79,Fresno St.,MWC,21-11,+10.07,109.7,99.6,66.6,-.057,105.8,105.0,1201.0
81,80,South Carolina,SEC,17-16,+9.91,105.6,95.7,68.7,+.003,109.9,100.3,1376.0
84,81,South Dakota,Sum,26-9,+9.85,109.0,99.2,70.9,-.048,104.7,107.6,1377.0
