,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Virginia,ACC,26-2,+32.30,115.7,83.4,59.1,+.009,110.8,102.6,1438.0
1,2,Villanova,BE,26-4,+30.39,126.9,96.6,68.9,-.016,111.9,101.4,1437.0
2,3,Duke,ACC,24-6,+29.08,124.4,95.3,70.4,-.023,110.9,100.7,1181.0
3,4,Purdue,B10,26-5,+27.57,123.1,95.5,67.6,-.000,109.8,101.9,1345.0
4,5,Michigan St.,B10,28-3,+27.42,120.9,93.5,67.5,+.048,109.5,103.8,1277.0
5,6,Cincinnati,Amer,25-4,+26.99,114.9,87.9,65.5,-.034,106.5,104.8,1153.0
6,7,Gonzaga,WCC,27-4,+23.85,120.6,96.7,69.2,-.004,107.0,106.1,1211.0
7,8,North Carolina,ACC,22-8,+23.82,123.1,99.3,71.5,-.015,112.3,99.9,1314.0
8,9,Kansas,B12,24-6,+23.01,121.2,98.2,68.8,+.057,112.1,101.2,1242.0
9,10,West Virginia,B12,22-8,+22.28,119.6,97.3,69.6,-.005,109.9,100.9,1452.0
10,11,Texas Tech,B12,22-8,+22.25,114.1,91.8,67.0,-.025,110.6,102.1,1403.0
11,12,Auburn,SEC,24-6,+22.17,120.2,98.0,72.4,-.031,109.8,102.1,1120.0
12,13,Tennessee,SEC,22-7,+22.16,114.2,92.0,67.1,+.041,112.9,101.3,1397.0
13,14,Xavier,BE,26-4,+21.49,122.3,100.8,70.8,+.129,111.2,101.6,1462.0
14,15,Ohio St.,B10,24-7,+20.95,116.3,95.4,66.9,+.046,110.2,102.5,1326.0
15,16,Michigan,B10,24-7,+20.91,115.9,95.0,64.4,+.025,110.5,103.3,1276.0
16,17,Wichita St.,Amer,23-5,+20.52,122.3,101.8,69.3,+.005,108.5,104.2,1455.0
17,18,Clemson,ACC,22-7,+20.48,113.7,93.2,65.9,+.026,111.6,102.5,1155.0
18,19,Nevada,MWC,26-5,+19.72,121.2,101.4,69.9,-.041,107.4,103.7,1305.0
19,20,Houston,Amer,23-6,+19.56,115.4,95.8,68.6,-.003,107.2,104.9,1222.0
20,21,TCU,B12,21-9,+19.13,121.9,102.8,69.0,-.030,112.1,102.7,1395.0
21,22,Kentucky,SEC,21-9,+19.11,115.2,96.1,69.6,-.007,111.6,101.1,1246.0
22,23,Saint Mary's,WCC,27-4,+19.10,121.3,102.2,63.9,-.017,105.0,106.3,1388.0
23,24,Florida,SEC,19-11,+18.70,115.0,96.3,67.3,-.046,111.2,100.6,1196.0
