,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
24,25,Butler,BE,19-11,+18.63,116.2,97.6,68.3,-.043,111.7,102.3,1139.0
25,26,Arizona,P12,22-7,+18.45,120.7,102.2,68.0,+.016,109.6,102.9,1112.0
26,27,Creighton,BE,21-9,+17.88,117.6,99.7,71.3,+.014,111.5,102.6,1166.0
27,28,Seton Hall,BE,20-10,+17.12,116.3,99.2,69.8,-.010,111.0,101.6,1371.0
28,29,Baylor,B12,18-12,+17.11,112.1,94.9,66.3,-.056,112.5,102.1,1124.0
29,30,Texas A&M;,SEC,19-11,+17.10,111.9,94.8,69.1,-.003,113.1,101.7,1401.0
30,31,Notre Dame,ACC,18-12,+17.06,117.1,100.0,65.0,-.069,111.2,102.5,1323.0
31,32,Virginia Tech,ACC,21-9,+16.95,116.1,99.2,69.1,+.029,110.0,102.5,1439.0
32,33,Penn St.,B10,19-12,+16.81,113.0,96.2,68.4,-.094,109.3,103.6,1336.0
33,34,Louisville,ACC,19-10,+16.65,112.7,96.1,70.4,-.001,110.4,102.6,1257.0
34,35,Miami FL,ACC,21-8,+16.37,114.5,98.1,67.6,+.020,109.7,102.1,1274.0
35,36,Florida St.,ACC,19-10,+16.21,116.8,100.6,71.8,-.031,109.5,101.7,1199.0
36,37,Arkansas,SEC,21-9,+16.18,117.3,101.2,70.6,+.059,111.5,102.2,1116.0
37,38,Arizona St.,P12,19-9,+15.84,117.8,101.9,71.6,-.054,109.5,102.9,1113.0
38,39,North Carolina St.,ACC,20-9,+15.63,116.5,100.9,71.8,+.032,109.5,102.2,1301.0
39,40,Missouri,SEC,19-11,+15.40,114.0,98.6,65.9,-.011,110.7,100.9,1281.0
42,41,USC,P12,21-9,+15.38,117.3,101.9,68.0,-.011,109.2,103.8,1425.0
43,42,Middle Tennessee,CUSA,23-5,+15.04,111.9,96.9,66.8,+.025,108.1,105.0,1292.0
44,43,Texas,B12,17-13,+14.97,108.3,93.3,65.7,-.025,112.4,100.9,1400.0
45,44,Maryland,B10,19-12,+14.93,115.2,100.3,66.6,-.034,109.6,101.7,1268.0
46,45,Loyola Chicago,MVC,25-5,+14.88,113.0,98.1,65.9,+.052,104.2,104.2,1260.0
47,46,Oklahoma,B12,17-12,+14.68,117.1,102.5,76.2,+.012,112.7,100.1,1328.0
48,47,Kansas St.,B12,20-10,+14.60,113.1,98.5,65.7,+.046,111.5,103.1,1243.0
49,48,Rhode Island,A10,23-5,+14.51,112.7,98.1,69.2,+.065,107.1,105.4,1348.0
50,49,Marquette,BE,17-12,+14.18,119.6,105.5,69.6,-.015,112.3,102.1,1266.0
51,50,Nebraska,B10,22-9,+13.91,111.7,97.8,67.7,+.060,108.8,102.8,1304.0
52,51,Boise St.,MWC,22-7,+13.76,110.5,96.8,68.3,+.022,107.8,105.4,1129.0
53,52,Western Kentucky,CUSA,22-7,+13.73,114.7,100.9,69.5,-.028,106.0,105.4,1443.0
54,53,Syracuse,ACC,18-12,+13.56,108.3,94.7,63.9,-.017,111.3,103.2,1393.0
56,55,Davidson,A10,17-11,+13.47,117.3,103.8,65.2,-.090,105.7,104.9,1172.0
57,56,UCLA,P12,19-10,+13.45,116.8,103.4,70.9,-.024,108.7,102.7,1417.0
58,57,New Mexico St.,WAC,24-5,+13.42,108.4,94.9,68.0,+.029,105.4,106.0,1308.0
59,58,Alabama,SEC,17-13,+13.36,108.5,95.2,69.2,-.009,111.2,101.1,1104.0
60,59,Mississippi St.,SEC,21-9,+12.90,110.8,97.9,67.8,+.028,108.2,103.5,1280.0
61,60,San Diego St.,MWC,18-10,+12.27,111.9,99.6,68.7,-.047,106.9,104.7,1361.0
62,61,Old Dominion,CUSA,22-6,+12.10,110.8,98.7,64.9,+.040,105.3,106.8,1330.0
63,62,Oklahoma St.,B12,17-13,+12.07,112.6,100.5,69.2,-.011,111.7,102.1,1329.0
64,63,Utah,P12,18-10,+11.85,112.2,100.3,66.2,+.027,110.2,103.7,1428.0
65,64,Murray St.,OVC,24-5,+11.76,114.4,102.7,67.5,-.017,103.0,107.7,1293.0
66,65,Vermont,AE,25-6,+11.72,115.8,104.1,64.1,-.037,103.9,106.4,1436.0
67,66,LSU,SEC,16-13,+11.66,115.6,104.0,68.6,-.017,111.1,102.3,1261.0
68,67,St. Bonaventure,A10,23-6,+11.61,112.2,100.6,69.9,+.071,107.3,105.4,1382.0
69,68,South Dakota,Sum,24-7,+11.60,110.4,98.8,70.3,-.043,105.9,108.2,1377.0
70,69,Oregon,P12,19-10,+11.51,112.3,100.8,67.5,-.007,108.7,105.5,1332.0
71,70,Fresno St.,MWC,21-9,+11.26,111.7,100.5,66.9,-.050,106.4,105.7,1201.0
72,71,Georgia,SEC,16-13,+11.16,108.0,96.9,65.0,+.010,112.0,102.1,1208.0
73,72,Providence,BE,18-12,+10.93,110.4,99.5,68.0,+.067,112.0,102.4,1344.0
74,73,Indiana,B10,16-14,+10.91,110.2,99.2,66.7,-.015,111.0,102.7,1231.0
75,74,St. John's,BE,15-15,+10.79,107.9,97.1,69.3,-.022,112.5,101.2,1385.0
76,75,BYU,WCC,22-9,+10.35,108.4,98.1,67.5,+.006,106.9,107.2,1140.0
77,76,Boston College,ACC,17-13,+10.24,113.9,103.7,69.2,+.005,109.5,102.2,1130.0
78,77,South Carolina,SEC,16-14,+10.07,106.9,96.9,68.5,+.008,110.4,100.8,1376.0
79,78,SMU,Amer,16-14,+10.02,111.3,101.3,64.2,-.104,106.9,104.0,1374.0
80,79,Montana,BSky,21-7,+9.94,109.7,99.7,68.3,-.023,104.6,106.6,1285.0
81,80,South Dakota St.,Sum,25-6,+9.88,115.8,106.0,70.2,+.107,106.9,106.7,1355.0
84,81,Wisconsin,B10,14-17,+9.81,110.5,100.7,63.4,-.070,111.4,101.8,1458.0
85,82,Belmont,OVC,23-8,+9.43,113.8,104.4,67.3,-.012,103.7,107.3,1125.0
86,83,Temple,Amer,16-13,+9.13,109.8,100.7,67.5,+.041,109.5,101.0,1396.0
87,84,Northern Kentucky,Horz,22-8,+8.64,108.7,100.0,68.4,-.058,103.5,108.1,1297.0
88,85,Wake Forest,ACC,11-18,+8.50,113.0,104.5,69.2,-.112,110.7,101.4,1448.0
89,86,Buffalo,MAC,22-8,+8.45,114.1,105.6,73.6,-.003,105.3,106.1,1138.0
90,87,UNC Greensboro,SC,24-7,+8.38,107.0,98.6,65.9,-.022,104.2,109.3,1422.0
91,88,Northwestern,B10,15-16,+8.26,109.7,101.4,64.3,-.060,109.9,101.4,1321.0
92,89,Utah Valley,WAC,20-9,+8.22,112.7,104.4,67.6,+.007,103.7,104.9,1430.0
93,90,Stanford,P12,16-13,+8.20,108.9,100.7,70.3,+.017,110.1,104.1,1390.0
94,91,Vanderbilt,SEC,11-19,+8.08,116.6,108.5,65.7,-.089,112.0,100.3,1435.0
95,92,Furman,SC,22-9,+7.72,110.0,102.3,68.8,+.003,104.5,108.6,1202.0
96,93,Washington,P12,19-10,+7.57,106.5,98.9,70.0,+.100,109.4,104.6,1449.0
97,94,East Tennessee St.,SC,23-8,+7.50,107.1,99.6,68.1,-.007,104.8,108.9,1190.0
98,95,Iowa,B10,14-18,+7.48,117.6,110.1,70.6,-.080,110.0,102.2,1234.0
99,96,Mississippi,SEC,12-18,+7.45,112.6,105.2,69.8,-.038,111.0,100.3,1279.0
100,97,Georgetown,BE,15-13,+7.44,109.9,102.4,70.4,-.044,108.7,103.8,1207.0
101,98,UNLV,MWC,19-11,+7.35,112.4,105.1,72.9,-.002,106.8,105.9,1424.0
102,99,Iowa St.,B12,13-16,+6.83,111.7,104.9,69.1,+.003,111.5,100.9,1235.0
103,100,UCF,Amer,17-11,+6.64,100.0,93.4,65.1,+.064,107.8,104.4,1416.0
104,101,DePaul,BE,11-18,+6.51,105.9,99.4,70.4,-.082,111.8,102.1,1177.0
105,102,Illinois,B10,14-18,+6.43,110.3,103.9,70.2,-.093,109.3,101.7,1228.0
106,103,Georgia St.,SB,20-9,+6.40,108.9,102.5,67.5,-.031,104.5,107.3,1209.0
107,104,Oregon St.,P12,14-14,+6.37,108.6,102.2,66.1,-.085,108.3,105.4,1333.0
108,105,Northeastern,CAA,21-9,+6.14,108.4,102.3,67.3,+.054,107.5,108.2,1318.0
109,106,Bucknell,Pat,22-9,+6.05,109.0,103.0,71.9,+.020,104.1,107.7,1137.0
110,107,Idaho,BSky,20-8,+5.93,110.6,104.7,66.1,+.028,104.9,106.9,1225.0
111,108,Toledo,MAC,21-9,+5.69,115.7,110.0,69.0,+.055,104.7,107.3,1405.0
112,109,Grand Canyon,WAC,19-10,+5.55,102.7,97.1,69.0,-.078,100.5,107.6,1213.0
113,110,Tulsa,Amer,17-11,+5.49,109.7,104.2,67.3,+.047,107.3,105.5,1409.0
114,111,Wyoming,MWC,19-11,+5.40,105.0,99.6,74.5,+.088,108.7,104.8,1461.0
115,112,New Mexico,MWC,16-14,+5.25,113.4,108.2,71.8,-.033,106.9,104.1,1307.0
116,113,Northern Colorado,BSky,19-10,+5.03,106.9,101.8,71.7,-.026,105.9,106.8,1294.0
117,114,Colorado,P12,16-13,+4.94,104.9,99.9,67.9,+.076,111.0,105.1,1160.0
118,115,Missouri St.,MVC,17-14,+4.91,108.2,103.3,66.0,-.048,105.2,103.8,1283.0
119,116,Minnesota,B10,15-17,+4.88,109.6,104.8,70.0,-.020,109.7,102.5,1278.0
120,117,UC Santa Barbara,BW,21-7,+4.63,113.4,108.7,67.3,+.087,103.7,105.6,1364.0
121,118,Georgia Tech,ACC,11-18,+4.45,105.6,101.1,65.2,-.042,109.6,100.9,1210.0
122,119,College of Charleston,CAA,23-7,+4.30,110.5,106.2,65.0,+.043,105.3,109.7,1158.0
123,120,UAB,CUSA,17-12,+4.30,108.1,103.8,67.3,-.077,104.8,107.1,1412.0
126,121,Canisius,MAAC,21-10,+4.20,108.7,104.5,69.0,-.005,103.8,107.9,1145.0
127,122,Saint Joseph's,A10,14-15,+4.11,105.2,101.1,71.2,-.050,106.3,105.2,1386.0
128,123,Florida Gulf Coast,ASun,22-10,+4.02,108.2,104.2,71.5,-.047,103.1,110.0,1195.0
129,124,San Diego,WCC,18-12,+3.98,104.0,100.0,66.9,-.011,105.8,105.6,1360.0
130,125,UC Irvine,BW,16-15,+3.91,101.5,97.6,67.3,-.043,107.6,105.4,1414.0
131,126,Stephen F. Austin,Slnd,24-6,+3.91,105.6,101.6,72.2,+.030,101.2,109.4,1372.0
132,127,Bradley,MVC,19-12,+3.86,105.0,101.1,66.5,+.041,105.8,104.7,1133.0
133,128,Marshall,CUSA,20-9,+3.74,108.8,105.0,75.7,+.023,104.7,107.9,1267.0
134,129,Northern Iowa,MVC,15-15,+3.62,104.0,100.4,62.9,-.027,108.1,103.4,1320.0
135,130,UC Davis,BW,19-9,+3.53,105.1,101.6,66.9,+.045,105.6,106.2,1413.0
136,131,Rider,MAAC,22-8,+3.44,110.7,107.2,73.8,+.103,104.6,107.1,1351.0
137,132,Penn,Ivy,21-7,+3.30,102.5,99.2,68.8,+.089,104.4,108.8,1335.0
138,133,Evansville,MVC,17-14,+3.25,100.3,97.0,65.9,+.023,106.7,105.1,1191.0
139,134,Eastern Washington,BSky,16-13,+3.20,108.6,105.4,66.7,-.022,106.8,105.2,1186.0
140,135,UT Arlington,SB,18-12,+3.14,105.6,102.5,73.6,-.014,105.1,106.6,1426.0
141,136,Mercer,SC,18-13,+3.05,113.7,110.7,64.0,-.075,103.6,107.1,1273.0
142,137,Southern Illinois,MVC,19-12,+3.05,106.9,103.9,67.2,+.076,105.7,104.0,1356.0
143,138,San Francisco,WCC,17-14,+2.81,103.9,101.1,67.0,+.019,107.8,107.0,1362.0
144,139,Saint Louis,A10,16-14,+2.80,102.6,99.8,64.7,+.001,107.6,106.3,1387.0
145,140,Indiana St.,MVC,13-17,+2.74,105.7,103.0,70.0,-.091,106.2,102.8,1232.0
146,141,Weber St.,BSky,19-9,+2.60,108.7,106.1,67.8,+.010,104.4,108.1,1451.0
147,142,Iona,MAAC,17-13,+2.56,111.0,108.4,71.1,-.041,104.7,106.3,1233.0
148,143,Memphis,Amer,18-11,+2.55,109.3,106.8,66.4,+.127,106.5,104.5,1272.0
149,144,Albany,AE,22-9,+2.45,108.6,106.1,66.3,+.014,102.9,108.8,1107.0
150,145,Wright St.,Horz,22-9,+2.01,100.6,98.6,68.7,+.055,103.9,108.0,1460.0
151,146,Utah St.,MWC,14-16,+1.95,108.8,106.8,66.6,-.038,107.6,104.1,1429.0
152,147,Portland St.,BSky,18-11,+1.94,110.5,108.6,75.4,+.039,106.4,106.0,1340.0
153,148,Illinois St.,MVC,16-14,+1.88,106.8,104.9,69.4,+.105,107.2,102.0,1229.0
154,149,Georgia Southern,SB,18-11,+1.86,107.1,105.2,68.6,+.004,104.4,106.0,1204.0
155,150,Valparaiso,MVC,15-16,+1.82,103.1,101.3,69.8,-.042,106.1,104.2,1434.0
156,151,Rutgers,B10,14-18,+1.81,98.2,96.4,66.1,-.047,108.7,103.8,1353.0
157,152,Towson,CAA,18-13,+1.76,107.5,105.7,68.2,-.073,105.6,108.4,1406.0
158,153,Jacksonville St.,OVC,20-11,+1.71,102.4,100.7,66.1,-.028,104.0,109.9,1240.0
159,154,Winthrop,BSth,18-11,+1.63,107.4,105.7,72.5,-.045,102.9,108.2,1457.0
160,155,Hofstra,CAA,19-11,+1.47,111.5,110.0,69.2,+.076,106.9,108.0,1220.0
161,156,La Salle,A10,13-17,+1.45,106.3,104.9,69.2,-.056,106.4,104.9,1247.0
162,157,Louisiana Tech,CUSA,16-14,+1.39,108.3,107.0,67.7,-.062,104.5,105.5,1256.0
163,158,Fort Wayne,Sum,18-13,+1.32,107.6,106.3,72.9,-.049,105.7,107.7,1236.0
164,159,Eastern Michigan,MAC,19-11,+1.26,103.5,102.2,65.1,+.002,105.9,108.6,1185.0
165,160,Drake,MVC,16-15,+1.25,107.0,105.7,68.7,+.028,106.7,103.9,1179.0
168,161,VCU,A10,16-14,+1.13,106.8,105.6,71.1,+.023,106.1,105.3,1433.0
169,162,Wagner,NEC,22-8,+0.96,105.2,104.2,67.7,+.077,102.6,110.5,1447.0
170,163,Tulane,Amer,14-14,+0.85,108.1,107.2,69.5,-.011,105.8,105.9,1408.0
171,164,Cal St. Fullerton,BW,17-10,+0.85,106.7,105.8,70.2,+.081,105.0,106.0,1168.0
172,165,Harvard,Ivy,15-12,+0.85,100.0,99.1,66.2,+.030,106.0,106.0,1217.0
173,166,Pacific,WCC,14-17,+0.34,107.9,107.6,66.9,-.002,107.2,104.7,1334.0
174,167,Dayton,A10,13-16,+0.16,109.2,109.0,66.1,-.001,106.9,104.6,1173.0
175,168,Ball St.,MAC,19-11,+0.16,104.5,104.3,70.1,+.095,105.8,107.5,1123.0
176,169,North Dakota St.,Sum,14-16,+0.03,106.3,106.3,66.5,-.098,107.1,107.2,1295.0
177,170,Radford,BSth,19-12,-0.12,104.7,104.9,63.7,+.024,103.8,107.4,1347.0
178,171,UTSA,CUSA,17-12,-0.23,105.8,106.1,72.5,+.051,105.1,105.8,1427.0
179,172,Oakland,Horz,18-13,-0.28,110.4,110.7,71.0,+.020,103.7,107.7,1324.0
180,173,Nicholls St.,Slnd,21-9,-0.29,105.4,105.7,73.9,+.054,103.0,108.8,1311.0
181,174,Connecticut,Amer,14-16,-0.29,105.0,105.3,67.0,+.094,109.0,102.8,1163.0
182,175,Wofford,SC,20-11,-0.38,109.6,110.0,66.2,+.082,104.7,107.1,1459.0
183,176,Central Michigan,MAC,17-13,-0.53,107.8,108.3,67.9,-.064,103.7,107.7,1141.0
184,177,William & Mary,CAA,18-11,-0.62,116.2,116.9,70.1,+.108,106.6,107.4,1456.0
185,178,Lipscomb,ASun,21-9,-0.74,103.3,104.0,75.0,+.115,103.8,108.5,1252.0
186,179,Monmouth,MAAC,11-19,-0.74,104.9,105.6,70.3,-.102,106.3,106.4,1284.0
187,180,Troy,SB,14-15,-0.95,106.9,107.9,68.3,-.086,104.4,106.2,1407.0
188,181,Washington St.,P12,11-17,-1.05,109.7,110.7,68.7,-.002,108.4,103.5,1450.0
189,182,Western Michigan,MAC,17-13,-1.29,107.0,108.3,67.8,+.030,105.5,107.1,1444.0
190,183,UNC Asheville,BSth,20-11,-1.93,106.3,108.3,69.6,+.118,104.4,107.5,1421.0
191,184,Lamar,Slnd,19-11,-2.11,104.7,106.8,68.2,-.046,101.2,108.0,1249.0
192,185,Liberty,BSth,18-13,-2.12,105.1,107.3,63.6,-.067,102.5,109.2,1251.0
193,186,Austin Peay,OVC,17-13,-2.16,105.3,107.5,68.9,+.062,104.3,106.4,1122.0
194,187,George Washington,A10,14-16,-2.24,103.4,105.7,65.7,+.043,106.8,105.7,1203.0
195,188,North Texas,CUSA,14-15,-2.26,103.8,106.1,66.8,-.013,104.6,105.0,1317.0
196,189,Duquesne,A10,16-14,-2.35,105.7,108.1,66.4,-.049,101.8,107.8,1182.0
197,190,Richmond,A10,10-19,-2.35,106.3,108.6,68.3,-.021,107.7,104.3,1350.0
198,191,Yale,Ivy,14-14,-2.40,104.5,106.9,68.8,+.010,106.2,107.5,1463.0
199,192,Seattle,WAC,19-11,-2.43,105.4,107.8,67.7,+.064,102.5,106.8,1370.0
200,193,Miami OH,MAC,15-15,-2.65,100.4,103.1,66.7,+.047,106.0,106.1,1275.0
201,194,Central Arkansas,Slnd,15-15,-2.74,107.6,110.4,73.8,-.040,102.2,107.2,1146.0
202,195,Niagara,MAAC,19-12,-3.00,111.0,114.0,73.7,+.099,103.9,107.9,1310.0
203,196,Princeton,Ivy,12-15,-3.09,106.1,109.2,64.4,-.049,104.9,106.4,1343.0
204,197,UMBC,AE,21-10,-3.17,103.5,106.7,68.3,+.132,103.3,108.5,1420.0
205,198,Coastal Carolina,SB,14-16,-3.22,102.6,105.8,68.0,-.045,105.1,106.8,1157.0
206,199,Southeastern Louisiana,Slnd,20-10,-3.32,102.8,106.2,66.4,+.107,102.3,107.9,1368.0
207,200,Tennessee St.,OVC,15-15,-3.33,98.4,101.7,65.9,+.016,104.6,107.1,1398.0
210,201,Ohio,MAC,13-16,-3.37,101.6,104.9,71.3,-.054,106.0,107.7,1325.0
211,202,Long Beach St.,BW,13-17,-3.38,107.0,110.4,72.2,+.024,106.4,104.2,1253.0
212,203,Denver,Sum,14-14,-3.53,104.0,107.6,66.9,+.010,105.4,107.0,1176.0
213,204,Illinois Chicago,Horz,17-14,-3.57,100.9,104.5,72.0,+.000,103.3,108.3,1227.0
214,205,St. Francis PA,NEC,18-12,-3.59,108.1,111.6,68.4,+.040,102.6,109.6,1384.0
215,206,Milwaukee,Horz,15-16,-3.86,100.6,104.4,65.9,-.026,103.5,108.4,1454.0
216,207,Colgate,Pat,17-12,-4.16,106.5,110.6,67.0,+.023,102.5,108.9,1159.0
217,208,George Mason,A10,15-15,-4.16,103.4,107.5,69.3,+.115,106.3,106.4,1206.0
218,209,Hawaii,BW,16-11,-4.16,99.6,103.7,68.1,+.052,104.0,108.6,1218.0
219,210,Sam Houston St.,Slnd,18-12,-4.29,101.6,105.9,66.9,+.048,103.5,107.9,1358.0
220,211,Manhattan,MAAC,14-16,-4.42,100.6,105.0,66.0,-.007,104.6,108.4,1264.0
221,212,Navy,Pat,20-11,-4.47,99.8,104.3,65.5,+.099,102.0,109.5,1298.0
222,213,Kent St.,MAC,15-15,-4.55,103.7,108.3,69.3,+.055,105.0,106.7,1245.0
223,214,Hartford,AE,18-12,-4.57,103.6,108.2,66.6,+.070,102.3,108.6,1216.0
224,215,Massachusetts,A10,11-19,-4.58,107.0,111.6,66.4,-.026,105.4,105.1,1269.0
225,216,Campbell,BSth,16-14,-4.92,105.6,110.5,68.1,-.072,101.8,109.1,1144.0
226,217,South Alabama,SB,14-15,-5.06,97.2,102.3,70.4,-.013,103.7,107.2,1375.0
227,218,Appalachian St.,SB,13-17,-5.09,103.6,108.7,70.2,-.018,104.6,106.4,1111.0
228,219,Fairfield,MAAC,14-15,-5.21,103.4,108.6,70.7,+.053,104.2,107.6,1193.0
229,220,Colorado St.,MWC,11-20,-5.25,104.3,109.5,69.7,+.042,108.2,103.6,1161.0
230,221,Tennessee Tech,OVC,19-13,-5.34,98.9,104.2,71.3,+.135,105.1,107.8,1399.0
231,222,Columbia,Ivy,8-17,-5.35,107.5,112.9,70.4,-.147,103.7,107.1,1162.0
232,223,Texas St.,SB,14-16,-5.47,100.1,105.6,62.5,-.003,104.2,107.0,1402.0
233,224,Louisiana Monroe,SB,14-13,-5.54,103.7,109.3,66.1,+.074,104.2,105.2,1419.0
234,225,Lehigh,Pat,16-13,-5.60,106.7,112.3,70.8,+.055,102.5,108.6,1250.0
235,226,Bowling Green,MAC,16-14,-5.66,102.5,108.2,70.7,+.075,104.4,107.4,1132.0
236,227,James Madison,CAA,10-21,-5.68,102.8,108.5,68.0,-.024,106.8,108.4,1241.0
237,228,Mount St. Mary's,NEC,18-14,-5.93,104.8,110.7,65.0,+.029,102.1,109.8,1291.0
238,229,Loyola Marymount,WCC,10-19,-5.95,107.8,113.8,67.3,+.002,106.5,105.2,1258.0
239,230,Saint Peter's,MAAC,12-17,-5.96,96.5,102.5,63.0,-.049,104.9,109.1,1389.0
240,231,Oral Roberts,Sum,11-20,-6.05,106.7,112.7,65.5,-.020,108.9,105.0,1331.0
241,232,FIU,CUSA,13-16,-6.10,99.2,105.3,68.6,-.052,103.2,107.2,1198.0
242,233,Cal St. Bakersfield,WAC,12-16,-6.21,97.9,104.1,65.0,-.009,106.7,105.7,1167.0
243,234,Stony Brook,AE,12-18,-6.26,97.7,104.0,68.5,+.000,104.7,107.5,1392.0
244,235,Pittsburgh,ACC,8-23,-6.29,99.3,105.5,65.4,+.017,111.3,101.7,1338.0
245,236,Southern Miss,CUSA,13-17,-6.37,106.1,112.5,65.8,-.002,105.9,104.0,1379.0
246,237,California,P12,8-21,-6.52,100.2,106.8,68.9,+.008,109.8,105.0,1143.0
247,238,Idaho St.,BSky,13-14,-6.67,103.3,110.0,68.2,+.023,104.8,108.2,1226.0
248,239,High Point,BSth,14-16,-6.76,100.8,107.5,66.0,-.082,102.6,108.8,1219.0
249,240,Hampton,MEAC,16-14,-6.81,102.3,109.1,71.8,-.049,100.8,111.4,1214.0
252,241,UTEP,CUSA,10-18,-7.05,98.6,105.7,68.0,-.047,105.1,106.6,1431.0
253,242,Robert Morris,NEC,16-16,-7.23,95.7,103.0,69.5,+.042,104.0,109.2,1352.0
254,243,Air Force,MWC,11-18,-7.24,100.4,107.6,66.0,+.045,107.2,104.5,1102.0
255,244,Florida Atlantic,CUSA,12-16,-7.26,95.6,102.9,69.0,-.000,105.2,106.6,1194.0
256,245,UT Rio Grande Valley,WAC,15-15,-7.44,100.9,108.4,74.2,+.085,102.9,105.3,1410.0
257,246,UNC Wilmington,CAA,10-20,-7.45,104.9,112.3,72.4,-.044,107.6,108.0,1423.0
258,247,Elon,CAA,14-17,-7.56,103.7,111.3,67.4,+.071,106.8,107.3,1189.0
259,248,Delaware,CAA,13-18,-7.57,102.7,110.3,65.9,-.000,106.1,108.6,1174.0
260,249,Charleston Southern,BSth,15-15,-7.68,99.8,107.5,66.8,-.007,103.3,109.4,1149.0
261,250,North Dakota,BSky,10-18,-7.77,102.8,110.6,71.8,+.019,107.4,105.3,1315.0
262,251,New Orleans,Slnd,14-15,-7.97,98.5,106.5,65.9,+.033,103.4,106.9,1309.0
263,252,Montana St.,BSky,13-16,-7.98,102.6,110.6,69.7,+.051,105.8,107.7,1286.0
264,253,NJIT,ASun,14-16,-8.07,99.4,107.5,67.1,-.024,104.4,111.2,1312.0
265,254,Eastern Illinois,OVC,12-18,-8.17,100.1,108.2,65.6,+.017,104.4,106.5,1183.0
266,255,Southeast Missouri St.,OVC,14-17,-8.21,109.0,117.3,69.5,+.021,103.1,107.2,1369.0
267,256,Brown,Ivy,11-14,-8.29,101.8,110.1,71.5,+.013,103.4,108.6,1135.0
268,257,Drexel,CAA,12-19,-8.41,104.4,112.8,69.3,+.067,106.7,108.5,1180.0
269,258,Boston University,Pat,14-15,-8.42,100.9,109.4,67.5,+.037,102.6,108.6,1131.0
270,259,Northern Illinois,MAC,12-18,-8.48,104.9,113.4,67.5,-.004,105.7,107.0,1296.0
271,260,LIU Brooklyn,NEC,16-16,-8.51,103.8,112.3,71.9,-.002,101.3,109.6,1254.0
272,261,Santa Clara,WCC,11-19,-8.54,100.6,109.1,64.9,+.021,106.7,106.4,1365.0
273,262,Portland,WCC,10-21,-8.66,100.0,108.7,67.5,+.006,108.1,105.4,1339.0
274,263,Gardner Webb,BSth,14-17,-8.66,98.2,106.9,68.0,+.033,104.2,106.8,1205.0
275,264,UC Riverside,BW,8-20,-8.82,95.5,104.3,68.3,-.072,105.5,105.7,1415.0
276,265,Army,Pat,13-17,-8.83,100.7,109.5,70.7,-.045,102.9,109.8,1119.0
277,266,Akron,MAC,12-17,-8.94,102.5,111.4,67.9,+.044,105.6,107.6,1103.0
278,267,Cornell,Ivy,11-14,-8.98,104.7,113.6,69.8,+.063,104.8,107.9,1165.0
