,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Villanova,BE,35-5,+32.01,122.8,90.8,66.0,+.023,110.5,99.7,1437.0
1,2,North Carolina,ACC,33-7,+29.82,124.4,94.6,70.5,-.055,111.7,100.2,1314.0
2,3,Kansas,B12,33-5,+29.67,120.0,90.4,69.0,+.044,111.4,98.8,1242.0
3,4,Virginia,ACC,29-8,+29.64,120.6,91.0,61.3,-.040,112.1,99.5,1438.0
4,5,Michigan St.,B10,29-6,+27.97,123.4,95.5,66.5,-.012,107.5,100.3,1277.0
5,6,Kentucky,SEC,27-9,+25.14,121.8,96.6,67.4,-.046,108.6,100.3,1246.0
6,7,Louisville,ACC,23-8,+24.68,113.4,88.8,66.1,-.025,110.4,102.9,1257.0
7,8,West Virginia,B12,26-9,+24.45,115.3,90.9,69.5,+.003,110.9,99.6,1452.0
8,9,Purdue,B10,26-9,+23.85,116.9,93.1,67.9,-.046,109.1,101.7,1345.0
9,10,Oklahoma,B12,29-8,+23.78,117.9,94.1,69.8,+.082,111.5,98.5,1328.0
10,11,Indiana,B10,27-8,+23.05,121.7,98.7,68.2,+.000,108.8,102.4,1231.0
11,12,Oregon,P12,31-7,+22.68,119.1,96.4,68.1,+.041,109.0,100.0,1332.0
12,13,Wichita St.,MVC,26-9,+22.53,111.3,88.7,66.0,-.079,104.8,101.2,1455.0
13,14,Xavier,BE,28-6,+22.52,117.1,94.6,71.9,+.047,108.2,100.0,1462.0
14,15,Miami FL,ACC,27-8,+22.44,119.4,96.9,65.9,+.077,111.6,99.9,1274.0
15,16,SMU,Amer,25-5,+21.98,119.3,97.3,65.8,+.014,105.5,102.2,1374.0
16,17,Duke,ACC,25-11,+21.87,121.9,100.0,67.7,-.026,112.0,100.7,1181.0
17,18,Texas A&M,SEC,28-9,+21.26,113.8,92.5,67.1,+.006,109.6,101.1,1401.0
18,19,Arizona,P12,25-9,+20.97,116.8,95.8,68.3,-.038,107.9,101.3,1112.0
19,20,Iowa St.,B12,23-12,+20.95,121.2,100.3,71.2,-.062,110.2,98.1,1235.0
20,21,Gonzaga,WCC,28-8,+20.82,116.3,95.5,67.3,-.038,107.3,103.8,1211.0
21,22,Maryland,B10,27-9,+20.25,116.2,95.9,67.4,+.016,109.2,100.6,1268.0
22,23,Iowa,B10,22-11,+20.24,116.1,95.9,68.8,-.071,110.2,101.1,1234.0
23,24,Baylor,B12,22-12,+19.06,118.9,99.8,66.6,-.012,109.7,98.4,1124.0
24,25,Vanderbilt,SEC,19-14,+18.76,113.6,94.9,67.8,-.106,109.2,100.6,1435.0
25,26,Connecticut,Amer,25-11,+18.71,111.9,93.2,65.9,-.036,107.6,101.4,1163.0
26,27,Syracuse,ACC,23-14,+18.57,112.7,94.1,65.0,-.027,110.9,100.7,1393.0
27,28,California,P12,23-11,+18.32,112.5,94.2,68.1,-.053,109.4,101.8,1143.0
28,29,Seton Hall,BE,25-9,+18.27,111.1,92.9,69.7,+.016,108.5,100.0,1371.0
29,30,Butler,BE,22-11,+17.27,118.0,100.7,67.9,-.009,108.5,100.4,1139.0
30,31,VCU,A10,25-11,+17.07,112.1,95.0,69.6,-.070,107.3,103.5,1433.0
