,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,North Carolina,ACC,33-4,+32.77,122.5,89.7,73.1,+.011,108.7,97.1,1314.0
1,2,Illinois,B10,37-2,+32.68,122.3,89.6,64.1,-.007,107.3,99.1,1228.0
2,3,Duke,ACC,27-6,+27.41,115.7,88.3,68.3,-.002,109.5,98.6,1181.0
3,4,Louisville,CUSA,33-5,+25.78,118.8,93.0,66.3,+.045,106.1,99.7,1257.0
4,5,Michigan St.,B10,26-7,+25.67,119.7,94.0,66.4,-.013,107.0,99.1,1277.0
5,6,Oklahoma St.,B12,26-7,+25.02,121.2,96.2,66.2,-.015,108.0,98.4,1329.0
6,7,Villanova,BE,24-8,+25.02,114.7,89.7,67.0,-.054,107.9,98.7,1437.0
7,8,Wake Forest,ACC,27-6,+24.86,124.3,99.5,68.9,+.046,108.4,97.5,1448.0
8,9,Kentucky,SEC,28-6,+24.10,113.0,88.9,66.6,+.032,107.9,99.1,1246.0
9,10,Florida,SEC,24-8,+23.93,116.4,92.5,65.2,-.027,106.6,99.5,1196.0
10,11,Kansas,B12,23-7,+23.08,115.6,92.5,66.5,+.008,108.1,97.7,1242.0
11,12,Oklahoma,B12,25-8,+22.55,114.4,91.8,65.4,-.006,107.5,99.8,1328.0
12,13,Arizona,P10,30-7,+22.22,116.7,94.5,68.6,+.027,107.8,99.7,1112.0
13,14,Washington,P10,29-6,+22.18,120.6,98.4,71.9,+.060,107.5,98.9,1449.0
14,15,Connecticut,BE,23-8,+21.94,112.1,90.2,70.6,-.031,108.5,100.0,1163.0
15,16,Syracuse,BE,27-7,+20.98,115.6,94.7,65.8,+.002,106.8,100.5,1393.0
16,17,Wisconsin,B10,25-9,+20.81,112.0,91.2,62.8,+.042,108.5,98.3,1458.0
17,18,Alabama,SEC,24-8,+20.51,118.8,98.3,62.8,+.033,106.5,99.6,1104.0
18,19,Cincinnati,CUSA,25-8,+20.43,112.5,92.0,68.0,-.006,106.1,100.6,1153.0
19,20,Utah,MWC,29-6,+20.33,113.1,92.7,59.1,+.032,105.9,102.3,1428.0
20,21,Utah St.,BW,24-8,+19.62,116.0,96.4,61.1,-.094,101.3,103.8,1429.0
21,22,Georgia Tech,ACC,20-12,+19.23,109.2,90.0,68.6,-.038,108.9,98.0,1210.0
22,23,N.C. State,ACC,21-14,+18.93,115.0,96.1,63.1,-.062,108.3,98.3,1301.0
23,24,Pittsburgh,BE,20-9,+18.41,114.8,96.3,64.0,-.057,106.3,100.7,1338.0
24,25,Boston College,BE,25-5,+18.30,114.3,96.0,64.8,+.078,105.8,99.2,1130.0
25,26,Gonzaga,WCC,26-5,+17.88,119.3,101.4,67.1,+.012,104.0,100.5,1211.0
26,27,Iowa,B10,21-12,+17.17,111.9,94.7,68.1,-.034,107.4,97.9,1234.0
27,28,Texas,B12,20-11,+17.01,114.1,97.1,66.5,-.051,107.0,100.4,1400.0
28,29,Southern Illinois,MVC,27-8,+16.75,109.1,92.4,63.4,+.015,106.7,100.6,1356.0
29,30,Ohio St.,B10,20-12,+15.82,109.7,93.9,65.5,-.067,105.8,100.1,1326.0
30,31,New Mexico,MWC,26-7,+15.54,112.8,97.3,65.4,-.002,103.4,103.9,1307.0
31,32,Texas Tech,B12,22-11,+15.47,110.3,94.8,69.0,+.037,108.8,99.9,1403.0
32,33,Vanderbilt,SEC,20-14,+15.31,111.0,95.7,65.8,-.053,106.4,99.6,1435.0
33,34,Mississippi St.,SEC,23-11,+15.25,109.3,94.0,68.1,+.038,106.9,100.4,1280.0
34,35,West Virginia,BE,24-11,+15.00,114.1,99.1,63.6,+.082,108.6,99.5,1452.0
35,36,Milwaukee,Horz,26-6,+14.69,110.1,95.4,68.8,+.079,104.6,102.3,1454.0
36,37,Maryland,ACC,19-13,+14.62,109.3,94.7,74.5,-.034,107.4,99.3,1268.0
37,38,George Washington,A10,22-8,+14.41,109.9,95.5,70.8,-.013,103.6,103.1,1203.0
38,39,Creighton,MVC,23-11,+14.33,114.3,100.0,63.1,-.033,104.9,100.4,1166.0
39,40,Pacific,BW,27-4,+14.08,114.5,100.5,63.6,+.091,103.1,102.4,1334.0
42,41,Minnesota,B10,21-11,+14.06,104.0,89.9,67.3,+.016,106.0,99.8,1278.0
43,42,LSU,SEC,20-10,+13.80,113.9,100.1,66.7,+.070,107.0,99.5,1261.0
44,43,Vermont,AE,25-7,+13.53,111.3,97.8,64.7,+.032,100.7,102.4,1436.0
45,44,Air Force,MWC,18-12,+13.40,112.2,98.9,54.3,-.084,104.4,101.8,1102.0
46,45,Northern Iowa,MVC,21-11,+13.36,112.2,98.9,64.5,-.035,105.8,100.3,1320.0
47,46,Texas A&M,B12,21-10,+13.34,112.3,98.9,64.9,+.007,105.0,100.9,1401.0
48,47,Wichita St.,MVC,22-10,+13.15,113.6,100.5,64.4,-.013,105.6,100.9,1455.0
49,48,Iowa St.,B12,19-12,+13.02,103.1,90.1,66.8,+.003,107.5,100.3,1235.0
50,49,Saint Joseph's,A10,24-12,+13.01,106.9,93.9,61.6,+.019,104.3,100.8,1386.0
51,50,South Carolina,SEC,20-13,+12.73,110.2,97.5,64.0,-.017,106.2,99.3,1376.0
52,51,UAB,CUSA,22-11,+12.51,109.2,96.7,71.0,-.001,105.5,100.7,1412.0
53,52,Georgetown,BE,19-13,+12.45,112.2,99.8,59.2,-.005,105.8,99.0,1207.0
54,53,Memphis,CUSA,22-16,+12.17,107.8,95.7,66.9,-.058,105.4,100.9,1272.0
55,54,Charlotte,CUSA,21-8,+12.15,111.6,99.5,70.6,+.042,104.9,101.2,1150.0
56,55,Nevada,WAC,25-7,+12.11,104.0,91.8,65.7,+.045,104.5,103.4,1305.0
57,56,Arkansas,SEC,18-12,+11.98,106.2,94.2,65.4,-.063,104.9,102.1,1116.0
58,57,Clemson,ACC,16-16,+11.92,105.6,93.7,69.7,-.052,107.5,97.8,1155.0
59,58,UTEP,WAC,27-8,+11.62,112.7,101.1,65.9,+.015,102.2,102.9,1431.0
60,59,Notre Dame,BE,17-12,+11.54,109.9,98.3,64.3,-.041,106.8,100.2,1323.0
62,61,Providence,BE,14-17,+11.36,111.2,99.8,68.7,-.092,108.8,99.0,1344.0
63,62,DePaul,CUSA,20-11,+11.29,111.8,100.5,62.5,-.000,104.7,101.0,1177.0
64,63,Western Michigan,MAC,20-13,+11.14,111.6,100.4,64.9,-.067,105.3,102.0,1444.0
65,64,Miami OH,MAC,19-11,+11.08,106.0,94.9,60.7,+.008,107.0,101.9,1275.0
66,65,Indiana,B10,15-14,+11.00,109.2,98.2,61.7,+.011,107.2,97.2,1231.0
67,66,Holy Cross,Pat,25-7,+10.97,104.7,93.8,63.5,+.012,99.2,103.4,1221.0
68,67,Miami FL,ACC,16-13,+10.83,111.4,100.5,64.4,-.006,106.7,99.2,1274.0
69,68,UCLA,P10,18-11,+10.74,107.8,97.1,69.2,+.036,106.7,100.0,1417.0
70,69,Stanford,P10,18-13,+10.63,106.6,95.9,67.1,+.049,107.5,99.1,1390.0
71,70,Arizona St.,P10,18-14,+10.32,111.1,100.8,68.6,-.050,105.6,100.5,1113.0
72,71,Kansas St.,B12,17-12,+10.14,109.9,99.8,63.4,-.012,106.2,99.8,1243.0
73,72,Akron,MAC,19-10,+10.10,106.0,95.9,66.2,-.014,105.7,103.2,1103.0
74,73,Old Dominion,CAA,28-6,+10.04,104.7,94.6,66.4,+.049,101.0,104.2,1330.0
76,75,Oral Roberts,MCon,25-8,+9.88,107.0,97.1,69.7,-.013,103.4,105.9,1331.0
77,76,Buffalo,MAC,23-10,+9.87,107.4,97.5,68.6,+.056,105.5,102.2,1138.0
78,77,Penn,Ivy,20-9,+9.60,102.1,92.5,68.2,+.034,101.8,103.5,1335.0
79,78,Saint Mary's,WCC,25-9,+9.41,106.8,97.4,64.9,+.080,105.2,102.2,1388.0
80,79,Washington St.,P10,12-16,+9.14,96.0,86.9,57.8,-.048,108.5,99.8,1450.0
81,80,Nebraska,B12,14-14,+9.13,105.2,96.1,64.9,-.082,105.5,99.7,1304.0
84,81,Xavier,A10,17-12,+9.05,111.5,102.4,63.1,-.087,103.1,102.3,1462.0
85,82,Tennessee,SEC,14-17,+8.89,110.0,101.1,65.0,-.052,107.2,98.2,1397.0
86,83,Kent St.,MAC,20-13,+8.65,106.6,98.0,65.4,+.001,106.0,101.5,1245.0
87,84,Temple,A10,16-14,+8.53,109.4,100.9,60.3,-.044,105.3,100.3,1396.0
88,85,Ohio,MAC,21-11,+8.29,109.8,101.5,65.7,+.042,104.9,102.2,1325.0
89,86,Western Kentucky,SB,22-9,+8.03,112.8,104.8,66.4,-.022,102.8,103.1,1443.0
90,87,Denver,SB,20-11,+7.98,107.9,99.9,66.6,-.054,102.9,102.5,1176.0
91,88,Toledo,MAC,16-13,+7.85,107.4,99.5,65.7,-.028,105.6,101.4,1405.0
92,89,Virginia,ACC,14-15,+7.47,107.1,99.7,68.0,+.059,109.5,98.4,1438.0
93,90,UNLV,MWC,17-14,+7.04,107.3,100.2,69.1,+.030,106.8,100.8,1424.0
94,91,Rice,WAC,19-12,+7.02,107.2,100.1,66.9,+.007,104.2,101.7,1349.0
95,92,Boston University,AE,20-9,+6.83,100.7,93.9,62.0,+.022,99.9,103.2,1131.0
96,93,Oregon,P10,14-13,+6.73,107.0,100.3,66.3,+.026,106.5,99.5,1332.0
97,94,Virginia Tech,ACC,16-14,+6.70,104.9,98.2,65.9,+.036,106.1,98.6,1439.0
98,95,Bucknell,Pat,23-10,+6.69,102.2,95.6,63.1,+.063,101.4,103.7,1137.0
99,96,Ball St.,MAC,15-13,+6.59,109.0,102.4,65.8,-.017,106.3,102.0,1123.0
100,97,TCU,CUSA,21-14,+6.59,103.2,96.6,68.0,+.047,105.1,100.6,1395.0
101,98,Marquette,CUSA,19-12,+6.57,109.6,103.0,61.2,+.051,104.1,101.0,1266.0
102,99,Cal St. Northridge,BW,18-13,+6.56,103.3,96.7,68.5,-.069,102.7,103.7,1169.0
103,100,Houston,CUSA,18-14,+6.55,106.4,99.8,66.3,+.037,105.1,100.5,1222.0
104,101,Missouri,B12,16-17,+6.37,104.2,97.8,64.1,+.049,108.1,100.0,1281.0
105,102,Florida St.,ACC,12-19,+6.24,105.1,98.9,65.4,-.067,108.2,98.0,1199.0
106,103,Hofstra,CAA,21-9,+6.18,107.3,101.1,66.7,+.021,100.3,103.0,1220.0
107,104,Drexel,CAA,17-12,+5.63,106.3,100.7,65.0,-.024,102.3,102.6,1180.0
108,105,St. John's,BE,9-18,+5.46,101.6,96.1,66.3,-.079,108.3,99.7,1385.0
109,106,Niagara,MAAC,20-10,+5.43,115.2,109.8,70.1,-.027,101.3,104.8,1310.0
110,107,Mississippi,SEC,14-17,+4.99,102.8,97.8,63.4,-.029,107.0,100.7,1279.0
111,108,Winthrop,BSth,27-6,+4.97,101.5,96.5,63.1,+.065,99.6,107.3,1457.0
112,109,Seton Hall,BE,12-16,+4.96,100.4,95.4,64.2,-.035,106.8,100.3,1371.0
113,110,Wyoming,MWC,15-13,+4.83,105.2,100.4,68.7,+.044,105.1,100.5,1461.0
114,111,Dayton,A10,18-11,+4.72,102.2,97.5,63.0,-.001,102.5,103.5,1173.0
115,112,Murray St.,OVC,17-11,+4.69,108.6,103.9,63.4,-.059,102.8,105.5,1293.0
116,113,Colorado,B12,14-16,+4.67,107.4,102.7,69.5,+.060,107.5,99.0,1160.0
117,114,Davidson,SC,23-9,+4.61,107.8,103.2,65.4,+.111,101.6,102.0,1172.0
118,115,USC,P10,12-17,+4.57,107.7,103.2,70.3,-.018,106.4,99.3,1425.0
119,116,Middle Tennessee,SB,19-12,+4.53,104.8,100.2,65.1,-.019,102.4,103.8,1292.0
120,117,Cal St. Fullerton,BW,21-11,+4.53,106.5,101.9,70.6,+.062,102.9,103.4,1168.0
121,118,San Diego,WCC,16-13,+4.25,107.6,103.4,70.5,-.001,105.1,102.6,1360.0
122,119,Northeastern,AE,21-10,+4.15,105.8,101.6,71.4,+.084,100.1,102.5,1318.0
123,120,Illinois St.,MVC,17-13,+4.11,105.9,101.8,63.7,+.057,105.4,101.4,1229.0
126,121,Oregon St.,P10,17-15,+4.10,107.0,102.9,68.2,+.063,104.6,100.2,1333.0
127,122,VCU,CAA,19-13,+4.04,105.6,101.5,65.6,-.034,101.2,103.2,1433.0
128,123,Purdue,B10,7-21,+3.97,105.9,101.9,63.3,-.100,109.0,97.4,1345.0
129,124,Northwestern,B10,15-16,+3.81,101.8,97.9,60.6,+.060,107.2,100.6,1321.0
130,125,San Francisco,WCC,17-14,+3.81,101.6,97.8,65.8,+.048,104.9,101.8,1362.0
131,126,Bradley,MVC,13-15,+3.73,102.4,98.6,70.4,+.009,107.1,102.0,1133.0
132,127,Hawaii,WAC,16-13,+3.68,105.3,101.7,64.7,-.037,102.5,102.4,1218.0
133,128,Michigan,B10,13-18,+3.68,103.5,99.8,62.2,-.026,106.0,99.5,1276.0
134,129,Santa Clara,WCC,15-16,+3.65,106.4,102.7,68.8,-.049,104.6,102.4,1365.0
135,130,SMU,WAC,14-14,+3.61,104.8,101.2,63.8,-.059,103.5,102.2,1374.0
136,131,Detroit,Horz,14-16,+3.59,103.1,99.5,59.7,-.070,105.0,103.4,1178.0
137,132,South Florida,CUSA,14-16,+3.33,103.2,99.9,66.6,-.070,103.4,101.1,1378.0
138,133,Bowling Green,MAC,18-11,+3.23,107.6,104.4,65.1,+.104,105.4,102.7,1132.0
139,134,Southeastern Louisiana,Slnd,24-9,+3.20,97.1,93.9,60.0,+.007,100.3,105.1,1368.0
140,135,Pepperdine,WCC,17-14,+3.12,107.8,104.7,69.0,+.030,103.9,101.8,1337.0
141,136,Illinois Chicago,Horz,15-14,+3.06,107.6,104.5,65.9,-.010,103.8,102.1,1227.0
142,137,Northern Illinois,MAC,11-17,+2.84,108.3,105.5,62.5,-.069,106.0,102.0,1296.0
143,138,Drake,MVC,13-16,+2.47,105.3,102.8,67.0,+.022,105.8,100.9,1179.0
144,139,IUPUI,MCon,16-13,+2.33,109.6,107.3,63.0,-.035,104.5,105.8,1237.0
145,140,George Mason,CAA,16-13,+2.12,108.4,106.3,65.9,-.039,100.6,103.9,1206.0
146,141,Rutgers,BE,10-19,+2.10,106.6,104.5,63.9,-.007,108.7,98.1,1353.0
147,142,Princeton,Ivy,15-13,+2.06,105.2,103.1,52.9,-.017,101.7,102.2,1343.0
148,143,Eastern Kentucky,OVC,22-9,+1.98,102.8,100.8,66.1,+.099,102.4,106.3,1184.0
149,144,California,P10,13-16,+1.76,102.0,100.2,66.2,+.029,106.0,100.4,1143.0
150,145,Butler,Horz,13-15,+1.70,109.6,107.9,58.1,-.119,102.6,103.3,1139.0
152,147,Portland,WCC,15-15,+1.54,104.9,103.3,65.3,-.022,102.9,101.6,1339.0
153,148,Colorado St.,MWC,11-17,+1.53,103.5,102.0,66.7,-.106,106.2,102.2,1161.0
154,149,Auburn,SEC,14-17,+1.53,106.8,105.3,67.6,+.064,106.5,100.0,1120.0
155,150,Louisiana Tech,WAC,14-15,+1.09,102.6,101.5,67.3,-.010,103.0,102.3,1256.0
156,151,Manhattan,MAAC,15-14,+0.64,103.9,103.3,65.8,-.058,102.7,105.1,1264.0
157,152,Evansville,MVC,11-17,+0.55,107.4,106.8,66.6,-.030,105.0,101.9,1191.0
158,153,Loyola Marymount,WCC,11-17,+0.54,98.8,98.2,67.7,-.037,105.5,102.4,1258.0
159,154,San Diego St.,MWC,11-18,+0.53,105.9,105.4,66.4,-.016,106.1,100.1,1361.0
160,155,Tennessee Tech,OVC,18-11,+0.43,101.3,100.8,67.6,+.008,102.1,106.3,1399.0
161,156,UNC Wilmington,CAA,19-10,+0.39,100.0,99.6,62.7,+.076,101.5,104.8,1423.0
162,157,BYU,MWC,9-21,+0.37,101.4,101.1,65.4,-.095,107.8,100.4,1140.0
163,158,Arkansas St.,SB,16-13,+0.34,105.8,105.5,68.4,-.026,102.3,103.1,1117.0
164,159,Richmond,A10,14-15,+0.34,104.1,103.8,65.9,+.065,105.1,101.3,1350.0
165,160,Indiana St.,MVC,11-20,+0.24,97.4,97.1,63.4,-.017,106.8,101.5,1232.0
168,161,Albany,AE,13-15,+0.22,103.6,103.4,65.1,-.121,98.5,103.1,1107.0
169,162,Southeast Missouri St.,OVC,15-14,+0.21,103.7,103.4,64.5,-.092,103.1,104.6,1369.0
170,163,College of Charleston,SC,18-10,+0.12,101.1,101.0,67.4,+.015,99.6,105.9,1158.0
171,164,Rider,MAAC,19-11,+0.08,107.3,107.2,66.2,+.049,101.3,105.1,1351.0
172,165,Chattanooga,SC,20-11,+0.03,98.9,98.8,67.6,+.059,101.1,104.9,1151.0
173,166,Saint Louis,CUSA,9-21,+0.01,94.7,94.7,59.8,-.058,106.5,101.4,1387.0
174,167,Sam Houston St.,Slnd,18-12,-0.06,97.4,97.5,71.3,-.003,100.8,104.7,1358.0
175,168,Fresno St.,WAC,16-14,-0.06,101.5,101.6,69.0,-.002,102.9,103.2,1201.0
176,169,Texas A&M Corpus Chris,ind,20-8,-0.22,104.5,104.8,66.5,+.049,98.2,105.9,1394.0
177,170,Loyola Chicago,Horz,13-17,-0.22,100.5,100.7,67.4,-.015,105.3,103.1,1260.0
178,171,Northwestern St.,Slnd,21-12,-0.36,103.7,104.1,67.9,+.074,101.1,104.0,1322.0
179,172,Wright St.,Horz,15-15,-0.52,104.6,105.1,61.1,+.023,103.8,103.2,1460.0
180,173,Georgia Southern,SC,18-13,-0.55,100.9,101.4,75.3,-.052,99.7,104.5,1204.0
181,174,Lamar,Slnd,18-11,-0.70,102.5,103.2,73.8,-.021,100.5,104.4,1249.0
182,175,Fairfield,MAAC,15-15,-0.71,102.3,103.0,63.2,-.038,101.6,104.4,1193.0
183,176,Green Bay,Horz,17-11,-0.87,104.3,105.2,65.9,+.132,103.6,103.7,1453.0
184,177,Tulsa,WAC,9-20,-1.10,99.5,100.6,69.5,-.170,103.2,103.0,1409.0
185,178,Oakland,MCon,13-19,-1.20,108.1,109.3,65.2,-.022,105.2,103.2,1324.0
186,179,Saint Peter's,MAAC,15-13,-1.32,104.2,105.6,72.8,-.014,101.4,105.0,1389.0
187,180,Massachusetts,A10,16-12,-1.56,99.0,100.6,63.6,+.136,103.2,103.1,1269.0
188,181,UMKC,MCon,16-12,-1.68,106.0,107.7,66.9,+.030,103.5,106.4,1282.0
189,182,Appalachian St.,SC,18-12,-1.84,102.0,103.8,67.1,+.007,98.6,104.3,1111.0
190,183,Austin Peay,OVC,13-19,-1.93,99.8,101.7,64.4,-.032,104.1,104.7,1122.0
191,184,New Orleans,SB,13-17,-1.94,103.1,105.0,64.2,+.003,104.0,103.1,1309.0
192,185,American,Pat,16-12,-1.95,101.8,103.7,63.9,+.041,100.0,103.7,1110.0
193,186,Iona,MAAC,15-16,-2.07,100.5,102.5,67.9,-.019,102.6,105.9,1233.0
194,187,UC Irvine,BW,16-13,-2.13,102.6,104.7,64.9,+.053,101.5,103.8,1414.0
195,188,Fordham,A10,13-16,-2.17,97.4,99.6,65.7,-.000,102.2,102.8,1200.0
196,189,Samford,OVC,15-13,-2.44,109.9,112.3,56.0,-.021,102.0,105.6,1359.0
197,190,Fairleigh Dickinson,NEC,20-13,-2.52,102.7,105.2,68.6,-.003,99.4,107.3,1192.0
198,191,Eastern Michigan,MAC,12-18,-2.54,103.8,106.4,70.1,-.030,104.1,102.3,1185.0
199,192,UCF,ASun,24-9,-2.56,105.0,107.6,60.1,+.067,99.0,107.7,1416.0
200,193,Binghamton,AE,12-17,-2.73,98.5,101.2,63.4,-.048,101.0,103.0,1127.0
201,194,Montana,BSky,18-13,-2.73,99.9,102.6,68.2,+.049,100.4,104.8,1285.0
202,195,Tennessee St.,OVC,14-17,-2.87,105.3,108.2,69.6,+.014,104.9,103.3,1398.0
203,196,Valparaiso,MCon,15-16,-2.95,104.6,107.6,65.5,+.067,103.8,104.5,1434.0
204,197,East Carolina,CUSA,9-19,-2.99,97.4,100.3,66.3,-.022,106.0,99.8,1187.0
205,198,South Carolina St.,MEAC,18-12,-3.02,98.8,101.8,65.0,-.066,94.6,107.2,1354.0
206,199,Furman,SC,16-13,-3.08,101.7,104.8,63.1,-.012,100.7,104.0,1202.0
207,200,UTSA,Slnd,15-13,-3.35,100.4,103.8,72.8,-.006,101.2,104.9,1427.0
210,201,FIU,SB,13-17,-3.66,98.4,102.0,66.6,+.040,104.0,103.1,1198.0
211,202,Marshall,MAC,6-22,-3.80,104.0,107.8,65.3,+.007,106.9,101.1,1267.0
212,203,Yale,Ivy,11-16,-4.10,98.7,102.8,67.1,-.025,101.6,104.2,1463.0
213,204,Cleveland St.,Horz,9-17,-4.25,100.6,104.8,68.2,-.096,104.3,103.1,1156.0
214,205,Georgia,SEC,8-20,-4.63,94.4,99.1,64.2,-.008,106.3,99.2,1208.0
215,206,Western Illinois,MCon,11-17,-4.71,100.0,104.7,64.1,-.054,104.6,105.6,1442.0
216,207,North Texas,SB,14-14,-4.73,100.9,105.6,71.1,+.067,102.3,103.7,1317.0
217,208,UNC Greensboro,SC,18-12,-4.89,98.1,103.0,69.8,+.140,100.5,103.7,1422.0
218,209,Delaware St.,MEAC,19-14,-4.95,102.3,107.2,59.3,+.077,97.1,104.6,1175.0
219,210,Gardner Webb,ASun,18-12,-5.12,97.8,102.9,67.8,+.001,99.4,107.7,1205.0
