,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Florida,SEC,33-6,+28.28,117.9,89.7,66.9,-.011,107.7,99.3,1196.0
1,2,Duke,ACC,32-4,+27.54,119.4,91.8,69.8,+.047,108.1,97.6,1181.0
2,3,Texas,B12,30-7,+25.79,117.5,91.7,63.9,+.039,106.1,98.3,1400.0
3,4,Connecticut,BE,30-4,+25.44,117.8,92.3,68.7,+.077,107.4,98.4,1163.0
4,5,Villanova,BE,28-5,+24.59,116.3,91.7,65.6,+.080,108.4,97.6,1437.0
5,6,Memphis,CUSA,33-4,+23.54,113.2,89.6,70.8,-.007,103.9,100.0,1272.0
6,7,UCLA,P10,32-7,+23.40,112.7,89.3,61.6,+.020,107.4,99.1,1417.0
7,8,Kansas,B12,25-8,+23.22,110.4,87.2,67.7,-.043,106.0,99.9,1242.0
8,9,Illinois,B10,26-7,+23.20,114.5,91.3,62.1,-.019,106.4,99.6,1228.0
9,10,North Carolina,ACC,23-8,+22.16,115.9,93.7,70.2,-.010,107.6,98.6,1314.0
10,11,LSU,SEC,27-9,+22.00,109.8,87.8,67.5,+.008,108.3,97.6,1261.0
11,12,Pittsburgh,BE,25-8,+21.72,112.4,90.6,64.6,-.031,108.0,100.1,1338.0
12,13,Georgetown,BE,23-10,+21.29,116.5,95.2,57.8,-.026,108.1,98.5,1207.0
13,14,Ohio St.,B10,26-6,+20.68,113.0,92.3,65.2,+.028,107.0,100.3,1326.0
14,15,Washington,P10,26-7,+20.09,114.8,94.7,71.6,+.007,105.5,100.3,1449.0
15,16,West Virginia,BE,22-11,+19.49,116.1,96.6,62.5,-.046,108.4,98.0,1452.0
16,17,Tennessee,SEC,22-8,+19.44,116.6,97.2,71.1,+.012,108.0,98.5,1397.0
17,18,Boston College,ACC,28-8,+18.65,117.8,99.2,61.5,+.024,107.1,99.7,1130.0
18,19,South Carolina,SEC,23-15,+18.54,114.9,96.4,59.2,-.057,108.4,98.1,1376.0
19,20,Arkansas,SEC,22-10,+18.47,112.2,93.8,66.0,-.062,106.0,99.6,1116.0
20,21,Iowa,B10,25-9,+18.22,103.8,85.6,64.7,+.046,107.7,99.9,1234.0
21,22,George Mason,CAA,27-8,+18.16,109.7,91.5,62.6,+.017,105.3,101.2,1206.0
22,23,Arizona,P10,20-13,+17.23,112.2,95.0,67.7,-.037,108.0,97.5,1112.0
23,24,Kentucky,SEC,22-13,+17.13,114.4,97.3,64.1,-.001,108.2,98.2,1246.0
24,25,Bradley,MVC,22-11,+16.50,107.5,91.0,69.3,-.019,105.4,98.5,1133.0
25,26,Wichita St.,MVC,26-9,+16.06,111.8,95.7,62.6,+.032,104.7,98.7,1455.0
26,27,Michigan St.,B10,22-12,+16.02,116.3,100.3,64.2,+.004,106.4,97.5,1277.0
27,28,Michigan,B10,22-11,+15.98,113.1,97.2,67.0,+.012,106.7,98.8,1276.0
28,29,Notre Dame,BE,16-14,+15.97,117.3,101.4,64.2,-.145,108.3,100.5,1323.0
29,30,N.C. State,ACC,22-10,+15.92,112.5,96.6,64.4,+.013,107.1,100.3,1301.0
30,31,Texas A&M,B12,22-9,+15.90,106.7,90.8,63.0,-.008,104.8,100.6,1401.0
31,32,Northern Iowa,MVC,23-10,+15.84,109.0,93.1,59.6,-.025,104.4,98.2,1320.0
32,33,Gonzaga,WCC,29-4,+15.64,119.1,103.5,66.3,+.036,104.4,100.0,1211.0
33,34,Indiana,B10,19-12,+15.53,110.0,94.4,66.5,-.012,108.8,99.0,1231.0
34,35,Missouri St.,MVC,22-9,+15.52,111.0,95.5,68.6,+.039,104.8,98.7,1283.0
35,36,Marquette,BE,20-11,+15.36,112.8,97.4,68.1,-.012,108.6,99.8,1266.0
36,37,Nevada,WAC,27-6,+15.22,110.0,94.8,65.8,+.024,103.6,101.7,1305.0
37,38,Florida St.,ACC,20-10,+15.01,110.1,95.1,68.3,-.033,106.0,100.6,1199.0
38,39,Wisconsin,B10,19-12,+14.94,111.5,96.6,65.2,-.024,106.6,98.6,1458.0
39,40,Air Force,MWC,24-7,+14.87,113.2,98.3,54.7,-.001,102.8,102.2,1102.0
42,41,Saint Joseph's,A10,19-14,+14.84,109.8,95.0,61.9,-.064,106.7,99.1,1386.0
43,42,UNC Wilmington,CAA,25-8,+14.77,107.2,92.4,62.6,-.006,103.6,102.0,1423.0
44,43,George Washington,A10,27-3,+14.67,110.3,95.6,71.2,+.106,101.1,102.4,1203.0
45,44,Cincinnati,BE,21-13,+14.27,110.9,96.6,68.5,-.001,107.0,98.0,1153.0
46,45,Oklahoma,B12,20-9,+13.99,113.0,99.0,62.4,+.049,105.5,99.3,1328.0
47,46,Louisville,BE,21-13,+13.98,108.2,94.2,64.8,-.041,106.8,100.7,1257.0
