,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,North Carolina,ACC,34-4,+31.14,123.2,92.1,72.9,-.011,108.2,98.3,1314.0
1,2,Connecticut,BE,31-5,+29.25,116.0,86.8,67.1,+.024,109.0,98.6,1163.0
2,3,Pittsburgh,BE,31-5,+28.96,121.2,92.3,65.2,-.012,108.1,98.0,1338.0
3,4,Memphis,CUSA,33-4,+28.67,112.8,84.2,65.9,-.009,105.5,100.8,1272.0
4,5,Louisville,BE,31-6,+26.06,111.2,85.2,66.9,+.068,108.6,99.0,1257.0
5,6,Missouri,B12,31-7,+24.81,116.6,91.8,70.9,+.031,106.4,98.4,1281.0
6,7,Oklahoma,B12,30-6,+24.59,118.3,93.7,66.6,+.018,108.3,98.9,1328.0
7,8,Gonzaga,WCC,28-6,+24.51,117.5,93.0,67.1,+.003,105.1,100.5,1211.0
8,9,Michigan St.,B10,31-7,+24.37,114.3,89.9,66.5,+.091,109.4,97.1,1277.0
9,10,Duke,ACC,30-7,+24.31,117.5,93.2,66.3,+.053,108.5,98.3,1181.0
10,11,West Virginia,BE,23-12,+24.21,115.1,90.9,63.7,-.067,108.9,98.0,1452.0
11,12,UCLA,P10,26-9,+23.93,119.5,95.6,65.3,-.030,107.6,99.1,1417.0
12,13,Villanova,BE,30-8,+23.89,114.4,90.5,68.3,+.021,108.9,98.9,1437.0
13,14,Kansas,B12,27-8,+23.83,114.5,90.7,67.2,-.013,107.9,99.1,1242.0
14,15,Arizona St.,P10,25-10,+23.03,118.2,95.2,59.1,-.018,108.9,98.8,1113.0
15,16,Syracuse,BE,28-10,+22.21,117.0,94.8,69.7,+.024,108.4,97.0,1393.0
16,17,Washington,P10,26-9,+22.09,113.1,91.0,72.2,-.005,109.4,99.2,1449.0
17,18,Purdue,B10,27-10,+21.84,110.5,88.7,65.9,-.012,107.2,98.3,1345.0
18,19,Marquette,BE,25-10,+21.02,117.1,96.1,67.5,-.014,107.8,99.5,1266.0
19,20,Xavier,A10,27-8,+20.24,111.0,90.8,65.8,-.008,105.8,100.0,1462.0
20,21,BYU,MWC,25-8,+20.10,114.0,93.9,69.0,-.046,105.4,100.9,1140.0
21,22,Texas,B12,23-12,+19.65,112.2,92.5,65.4,-.048,109.2,99.0,1400.0
22,23,Clemson,ACC,23-9,+19.62,116.4,96.7,67.9,-.024,105.4,99.2,1155.0
23,24,Wake Forest,ACC,24-7,+18.88,111.6,92.7,72.8,+.051,107.5,99.9,1448.0
