,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Kentucky,SEC,28-0,118.5,84.7,63.6,+.060,105.0,99.2,1246.0,33.8
1,2,Virginia,ACC,26-1,112.0,83.7,58.2,+.070,104.9,99.1,1438.0,28.299999999999997
2,3,Arizona,P12,25-3,115.5,87.1,66.8,-.041,104.1,99.2,1112.0,28.400000000000006
3,4,Gonzaga,WCC,29-1,120.5,92.7,64.7,+.028,104.1,101.0,1211.0,27.799999999999997
4,5,Villanova,BE,26-2,119.8,92.7,64.7,+.031,104.4,98.7,1437.0,27.099999999999994
5,6,Utah,P12,22-5,113.2,87.7,61.7,-.025,104.2,99.4,1428.0,25.5
6,7,Wisconsin,B10,25-3,122.0,94.7,59.3,+.005,104.5,98.3,1458.0,27.299999999999997
7,8,Duke,ACC,25-3,122.1,97.3,67.1,+.085,106.2,99.0,1181.0,24.799999999999997
8,9,Oklahoma,B12,19-8,110.0,89.0,68.2,-.043,106.8,98.2,1328.0,21.0
9,10,Baylor,B12,21-7,114.6,92.9,62.5,-.012,105.7,97.0,1124.0,21.69999999999999
10,11,Kansas,B12,22-6,114.6,93.2,67.0,+.097,107.0,95.4,1242.0,21.39999999999999
11,12,Northern Iowa,MVC,27-2,111.6,91.1,58.6,-.006,102.2,102.2,1320.0,20.5
12,13,Wichita St.,MVC,26-3,112.3,91.7,62.5,+.035,101.9,100.1,1455.0,20.599999999999994
13,14,Ohio St.,B10,20-8,113.1,93.9,66.3,-.086,103.7,100.9,1326.0,19.19999999999999
14,15,Iowa St.,B12,20-7,118.3,98.2,70.4,+.001,105.5,98.0,1235.0,20.099999999999994
15,16,North Carolina,ACC,19-9,114.3,95.6,69.7,-.038,107.2,97.3,1314.0,18.700000000000003
16,17,Louisville,ACC,22-6,105.0,88.3,65.8,+.034,105.4,99.6,1257.0,16.700000000000003
17,18,SMU,Amer,23-5,111.9,94.2,63.1,+.004,102.5,100.7,1374.0,17.700000000000003
18,19,Georgetown,BE,18-8,109.8,92.5,65.1,-.003,107.6,99.7,1207.0,17.299999999999997
19,20,Notre Dame,ACC,24-5,119.8,101.1,64.2,+.049,103.0,101.6,1323.0,18.700000000000003
20,21,Butler,BE,20-8,109.1,92.4,64.2,-.002,106.5,100.2,1139.0,16.69999999999999
21,22,Texas,B12,17-11,110.5,93.6,63.1,-.071,105.0,97.6,1400.0,16.900000000000006
22,23,Michigan St.,B10,19-9,113.2,95.9,64.2,-.084,104.8,100.3,1277.0,17.299999999999997
23,24,West Virginia,B12,22-6,109.9,93.1,69.1,+.079,104.9,98.5,1452.0,16.80000000000001
24,25,Xavier,BE,18-11,112.3,95.7,66.3,-.116,105.5,98.4,1462.0,16.599999999999994
25,26,San Diego St.,MWC,22-6,102.8,87.7,61.8,+.020,103.5,101.1,1361.0,15.099999999999994
26,27,Iowa,B10,18-10,112.5,96.1,63.9,-.011,104.7,99.0,1234.0,16.400000000000006
27,28,VCU,A10,21-7,108.4,93.3,67.6,+.037,104.9,99.1,1433.0,15.100000000000009
28,29,LSU,SEC,20-8,107.5,92.7,70.6,-.046,102.9,99.0,1261.0,14.799999999999997
29,30,BYU,WCC,22-8,117.3,101.3,70.4,-.077,103.8,100.7,1140.0,16.0
30,31,Oklahoma St.,B12,17-10,108.1,93.5,63.7,-.012,105.4,96.4,1329.0,14.599999999999994
31,32,Arkansas,SEC,23-5,112.0,97.0,70.7,+.039,103.9,101.0,1116.0,15.0
32,33,North Carolina St.,ACC,17-11,112.0,97.3,64.6,-.063,105.7,98.9,1301.0,14.700000000000003
33,34,Stanford,P12,18-9,112.3,97.7,65.4,-.043,104.8,100.3,1390.0,14.599999999999994
34,35,Maryland,B10,23-5,108.4,94.7,65.3,+.142,105.3,99.7,1268.0,13.700000000000003
35,36,Davidson,A10,20-6,116.7,101.9,67.3,+.025,102.5,100.5,1172.0,14.799999999999997
36,37,Mississippi,SEC,19-9,113.7,99.7,65.9,-.039,103.7,98.7,1279.0,14.0
37,38,Georgia,SEC,18-9,107.7,94.5,64.8,+.015,105.6,98.0,1208.0,13.200000000000003
38,39,St. John's,BE,19-9,108.3,95.1,66.8,+.025,105.9,99.9,1385.0,13.200000000000003
39,40,Providence,BE,19-9,109.8,96.6,65.6,+.072,106.7,98.5,1344.0,13.200000000000003
42,41,Texas A&M;,SEC,19-8,107.7,94.9,63.6,+.045,104.7,99.2,1401.0,12.799999999999997
43,42,UCLA,P12,17-12,109.4,96.6,66.4,+.024,104.8,97.1,1417.0,12.800000000000011
44,43,Vanderbilt,SEC,16-12,111.7,98.7,63.2,-.127,102.9,98.4,1435.0,13.0
45,44,Cincinnati,Amer,19-9,105.1,93.1,60.5,-.021,101.6,99.5,1153.0,12.0
46,45,Saint Mary's,WCC,21-7,109.7,97.3,62.6,+.050,104.5,101.9,1388.0,12.400000000000006
47,46,Indiana,B10,19-10,118.6,105.3,66.7,-.001,103.9,99.6,1231.0,13.299999999999997
48,47,Stephen F. Austin,Slnd,23-4,113.5,100.7,66.2,+.029,99.8,103.2,1372.0,12.799999999999997
49,48,Boise St.,MWC,21-7,110.1,97.8,63.2,+.036,103.3,102.1,1129.0,12.299999999999997
50,49,Florida,SEC,13-15,102.2,90.8,63.1,-.155,106.5,98.0,1196.0,11.400000000000006
51,50,TCU,B12,17-11,104.1,92.7,64.4,-.061,102.8,101.1,1395.0,11.399999999999991
52,51,Purdue,B10,19-9,108.2,96.4,65.6,+.012,105.2,101.2,1345.0,11.799999999999997
53,52,Minnesota,B10,17-12,109.3,97.6,67.6,-.085,103.7,98.9,1278.0,11.700000000000003
54,53,Dayton,A10,21-6,106.1,94.7,64.6,+.032,102.3,101.5,1173.0,11.399999999999991
55,54,Oregon,P12,21-8,112.6,100.6,66.5,+.080,104.5,100.6,1332.0,12.0
56,55,Alabama,SEC,17-11,106.6,95.3,62.2,-.010,105.1,99.2,1104.0,11.299999999999997
57,56,Rhode Island,A10,19-7,100.7,90.1,65.5,-.013,101.6,101.0,1348.0,10.600000000000009
58,57,Syracuse,ACC,18-10,104.9,94.2,66.5,-.019,104.6,100.3,1393.0,10.700000000000003
59,58,Richmond,A10,16-12,106.7,96.0,61.3,-.094,103.8,100.4,1350.0,10.700000000000003
60,59,Connecticut,Amer,16-11,105.0,94.6,63.5,-.064,102.8,100.0,1163.0,10.400000000000006
61,60,Arizona St.,P12,15-13,107.4,96.8,66.1,-.034,104.0,98.3,1113.0,10.600000000000009
62,61,Buffalo,MAC,18-9,109.7,98.9,68.6,-.018,104.2,101.2,1138.0,10.799999999999997
63,62,Temple,Amer,20-9,99.4,89.7,65.7,+.074,102.8,100.2,1396.0,9.700000000000003
