,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Kansas,B12,37-3,+35.21,120.9,85.7,66.8,+.012,109.2,99.6,1242.0
1,2,Memphis,CUSA,38-2,+31.51,118.0,86.5,68.1,+.012,107.0,101.1,1272.0
2,3,North Carolina,ACC,36-3,+30.22,122.1,91.9,72.5,+.050,108.0,97.8,1314.0
3,4,UCLA,P10,35-4,+29.94,118.0,88.1,64.1,+.047,109.3,99.3,1417.0
4,5,Wisconsin,B10,31-5,+26.68,113.5,86.8,61.1,+.043,107.1,99.8,1458.0
5,6,Duke,ACC,28-6,+26.40,116.3,89.9,71.5,-.006,109.1,99.0,1181.0
6,7,Georgetown,BE,28-6,+25.56,115.2,89.7,60.5,+.029,108.2,99.8,1207.0
7,8,Louisville,BE,27-9,+25.41,113.1,87.7,65.3,-.057,108.4,99.0,1257.0
8,9,Texas,B12,31-7,+25.09,120.6,95.5,63.9,+.044,108.4,98.0,1400.0
9,10,Washington St.,P10,26-9,+24.32,115.1,90.8,58.3,-.004,109.0,100.0,1450.0
10,11,Davidson,SC,29-7,+23.61,117.0,93.4,66.2,-.036,105.2,101.8,1172.0
11,12,Stanford,P10,28-8,+22.75,113.6,90.9,63.4,+.040,109.1,99.7,1390.0
12,13,Tennessee,SEC,31-5,+22.17,116.2,94.0,70.7,+.110,109.4,99.8,1397.0
13,14,Marquette,BE,25-10,+22.16,115.3,93.1,66.6,-.027,107.9,99.3,1266.0
14,15,Xavier,A10,30-7,+22.05,117.3,95.2,63.8,+.054,108.1,101.2,1462.0
15,16,Clemson,ACC,24-10,+22.03,114.0,91.9,68.0,-.044,109.3,99.8,1155.0
16,17,Drake,MVC,28-5,+21.46,120.0,98.5,62.9,+.011,105.5,100.6,1179.0
17,18,West Virginia,BE,26-11,+21.29,114.6,93.3,63.8,-.019,108.5,99.5,1452.0
18,19,Michigan St.,B10,27-9,+21.15,115.8,94.7,63.3,+.032,108.2,99.5,1277.0
19,20,Butler,Horz,30-4,+19.97,116.2,96.2,59.5,+.002,104.3,101.5,1139.0
20,21,Texas A&M,B12,25-11,+19.93,112.3,92.3,61.8,+.004,107.4,99.1,1401.0
21,22,Pittsburgh,BE,27-10,+19.91,116.5,96.6,63.9,+.027,107.8,98.3,1338.0
22,23,Arizona,P10,19-15,+19.14,116.4,97.3,63.5,-.079,110.3,97.6,1112.0
23,24,Notre Dame,BE,25-8,+19.07,114.6,95.6,69.5,+.042,107.5,100.6,1323.0
24,25,Gonzaga,WCC,25-8,+19.05,114.5,95.5,65.9,-.029,104.0,101.5,1211.0
25,26,Kansas St.,B12,21-12,+18.90,114.2,95.3,69.7,-.049,108.0,98.9,1243.0
26,27,Connecticut,BE,24-9,+18.90,115.2,96.3,67.1,-.001,107.7,100.0,1163.0
27,28,USC,P10,21-12,+18.67,110.5,91.9,65.2,-.005,109.7,98.5,1425.0
28,29,Indiana,B10,25-8,+18.43,114.6,96.1,66.2,+.037,106.6,100.3,1231.0
29,30,Purdue,B10,25-9,+18.30,110.5,92.2,66.9,-.025,106.2,99.7,1345.0
30,31,Ohio St.,B10,24-13,+17.79,110.2,92.4,64.0,-.027,108.6,100.3,1326.0
31,32,New Mexico,MWC,24-9,+17.08,111.1,94.0,64.4,-.046,104.0,102.9,1307.0
32,33,Mississippi St.,SEC,23-11,+16.77,108.2,91.5,66.6,-.043,108.1,101.8,1280.0
33,34,Virginia Tech,ACC,21-14,+16.29,107.1,90.8,65.8,-.048,107.9,100.5,1439.0
34,35,BYU,MWC,27-8,+15.76,107.4,91.7,67.8,+.027,104.2,102.7,1140.0
35,36,Oregon,P10,18-14,+15.66,118.8,103.1,65.8,-.035,108.9,98.4,1332.0
36,37,Miami FL,ACC,23-11,+15.38,112.5,97.1,65.8,-.003,106.7,98.9,1274.0
37,38,Florida,SEC,24-12,+15.37,115.9,100.5,65.0,-.042,105.1,102.0,1196.0
38,39,Nebraska,B12,20-13,+15.31,108.0,92.7,61.6,-.042,106.4,100.2,1304.0
39,40,Arkansas,SEC,23-12,+15.19,111.4,96.2,66.5,+.008,108.4,101.2,1116.0
42,41,Baylor,B12,21-11,+14.82,115.7,100.9,70.1,-.028,106.9,99.3,1124.0
43,42,Saint Mary's,WCC,25-7,+14.66,109.2,94.6,66.4,+.030,103.4,103.3,1388.0
44,43,Western Kentucky,SB,29-7,+14.60,111.9,97.3,68.2,-.021,103.3,104.2,1443.0
45,44,Oklahoma,B12,23-12,+14.47,109.5,95.1,63.1,+.077,108.3,98.9,1328.0
46,45,Saint Joseph's,A10,21-13,+14.32,115.1,100.8,64.0,-.069,106.9,101.1,1386.0
47,46,Villanova,BE,22-13,+14.21,109.2,95.0,68.1,+.037,108.9,99.8,1437.0
48,47,Syracuse,BE,21-14,+14.12,112.6,98.4,69.9,-.026,107.8,99.9,1393.0
49,48,UNLV,MWC,27-8,+13.71,110.2,96.5,63.9,+.081,104.3,101.2,1424.0
50,49,Arizona St.,P10,21-13,+13.62,110.2,96.6,61.2,+.010,107.4,100.6,1113.0
51,50,Mississippi,SEC,24-11,+13.49,114.2,100.7,69.3,+.010,106.7,101.0,1279.0
52,51,Illinois,B10,16-19,+13.47,107.5,94.0,61.0,-.119,108.4,98.8,1228.0
