,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Florida,SEC,22-5,120.1,82.8,62.9,-.095,103.4,96.5,1196.0,37.3
1,2,Indiana,B10,24-4,125.5,88.2,68.2,-.030,103.5,96.5,1231.0,37.3
2,3,Louisville,BE,23-5,113.0,81.4,67.1,-.044,104.9,96.5,1257.0,31.599999999999994
3,4,Gonzaga,WCC,28-2,120.7,89.1,65.0,+.040,103.7,98.9,1211.0,31.60000000000001
4,5,Wisconsin,B10,20-8,111.7,82.8,61.7,-.031,106.3,96.6,1458.0,28.900000000000006
5,6,Pittsburgh,BE,22-7,115.0,86.3,60.9,-.056,103.4,98.8,1338.0,28.700000000000003
6,7,Duke,ACC,24-4,118.8,89.3,68.8,+.022,106.4,96.3,1181.0,29.5
7,8,Kansas,B12,24-4,112.9,86.0,67.5,+.004,104.3,96.9,1242.0,26.900000000000006
8,9,Syracuse,BE,22-6,114.4,87.4,66.1,-.034,104.0,96.6,1393.0,27.0
9,10,Michigan,B10,23-5,121.4,93.2,64.5,-.005,104.9,96.7,1276.0,28.200000000000003
10,11,Ohio St.,B10,21-7,114.0,87.9,65.3,-.003,104.4,95.6,1326.0,26.099999999999994
11,12,Michigan St.,B10,22-6,113.4,87.6,65.2,+.032,106.5,95.0,1277.0,25.80000000000001
12,13,Miami FL,ACC,23-4,110.0,86.4,63.3,+.064,106.0,97.3,1274.0,23.599999999999994
13,14,Virginia,ACC,20-8,111.4,88.5,60.9,-.059,101.0,97.9,1438.0,22.900000000000006
14,15,Oklahoma St.,B12,21-6,108.5,86.3,67.2,-.029,103.6,98.9,1329.0,22.200000000000003
15,16,Georgetown,BE,22-4,107.0,85.1,62.8,+.086,105.0,97.7,1207.0,21.900000000000006
16,17,Minnesota,B10,19-9,113.6,91.0,63.7,+.003,107.6,94.9,1278.0,22.599999999999994
17,18,St. Mary's,WCC,25-5,116.9,93.9,65.4,+.030,102.4,100.0,1388.0,23.0
18,19,Arizona,P12,23-5,113.1,91.4,67.5,+.036,103.7,96.3,1112.0,21.69999999999999
19,20,Creighton,MVC,23-7,117.6,95.2,65.6,-.036,103.0,98.3,1166.0,22.39999999999999
20,21,Virginia Commonwealth,A10,22-6,112.8,91.5,68.1,-.006,102.5,99.4,1433.0,21.299999999999997
21,22,Missouri,SEC,20-8,115.6,93.9,68.0,-.000,102.7,97.3,1281.0,21.69999999999999
22,23,Colorado St.,MWC,22-6,116.8,95.0,65.2,-.004,103.4,96.9,1161.0,21.799999999999997
23,24,Marquette,BE,20-7,115.2,93.7,64.5,+.058,103.3,93.9,1266.0,21.5
24,25,Middle Tennessee,SB,26-4,107.1,87.2,65.6,+.069,98.8,100.8,1292.0,19.89999999999999
25,26,St. Louis,A10,22-5,109.3,89.1,64.3,-.012,101.5,99.6,1387.0,20.200000000000003
26,27,San Diego St.,MWC,20-8,109.4,89.3,66.7,-.047,104.0,96.3,1361.0,20.10000000000001
27,28,New Mexico,MWC,24-4,106.2,86.9,66.5,+.119,105.2,96.1,1307.0,19.299999999999997
28,29,North Carolina,ACC,20-8,110.5,91.1,72.2,+.038,104.5,96.0,1314.0,19.400000000000006
29,30,Kentucky,SEC,20-8,112.7,93.1,68.3,+.021,103.0,97.8,1246.0,19.60000000000001
30,31,Nevada Las Vegas,MWC,21-7,105.8,87.6,69.7,+.002,103.9,96.9,1424.0,18.200000000000003
31,32,Kansas St.,B12,23-5,112.0,93.2,63.2,+.075,103.4,98.5,1243.0,18.799999999999997
32,33,Belmont,OVC,23-6,110.3,91.8,67.7,-.014,102.0,102.3,1125.0,18.5
33,34,Iowa,B10,18-10,107.6,89.7,68.4,-.049,103.1,98.3,1234.0,17.89999999999999
34,35,Wichita St.,MVC,24-6,107.7,89.9,64.9,+.012,103.2,99.0,1455.0,17.799999999999997
35,36,Illinois,B10,20-9,111.5,93.1,66.7,+.052,106.3,95.5,1228.0,18.400000000000006
36,37,Cincinnati,BE,19-9,104.8,87.8,65.5,-.027,103.2,97.3,1153.0,17.0
37,38,Iowa St.,B12,19-9,116.6,97.8,69.2,-.058,101.2,98.1,1235.0,18.799999999999997
38,39,Mississippi,SEC,21-7,112.0,94.1,70.9,-.021,101.4,99.3,1279.0,17.900000000000006
39,40,Denver,WAC,18-8,108.2,91.1,58.9,-.042,101.2,100.9,1176.0,17.10000000000001
42,41,Memphis,CUSA,24-4,107.7,90.6,69.6,+.011,101.8,101.4,1272.0,17.10000000000001
43,42,Oregon,P12,23-6,104.6,88.1,68.9,+.054,101.4,98.6,1332.0,16.5
44,43,Colorado,P12,19-8,107.1,90.2,65.3,+.056,104.7,95.7,1160.0,16.89999999999999
45,44,North Carolina St.,ACC,20-8,116.6,98.3,68.3,-.003,104.8,96.8,1301.0,18.299999999999997
46,45,Notre Dame,BE,22-6,115.6,97.5,60.9,+.057,101.7,97.1,1323.0,18.099999999999994
47,46,Akron,MAC,23-4,108.4,91.5,67.0,+.015,100.2,99.8,1103.0,16.900000000000006
48,47,Connecticut,BE,19-8,111.2,94.1,65.3,+.007,104.4,95.9,1163.0,17.10000000000001
49,48,UCLA,P12,21-7,110.4,93.7,70.3,+.048,103.0,96.2,1417.0,16.700000000000003
50,49,Baylor,B12,17-11,109.9,93.6,68.0,-.092,103.6,97.2,1124.0,16.30000000000001
51,50,Oklahoma,B12,18-9,110.2,94.0,67.1,+.030,103.9,95.8,1328.0,16.200000000000003
