,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,North Carolina,ACC,31-7,+31.37,121.0,89.6,72.4,-.046,111.0,100.1,1314.0
1,2,Florida,SEC,35-5,+30.81,122.8,92.0,65.8,+.028,109.1,100.3,1196.0
2,3,Ohio St.,B10,35-4,+29.33,121.0,91.7,64.9,+.057,109.0,99.2,1326.0
3,4,Georgetown,BE,30-7,+28.48,122.0,93.5,59.4,+.006,109.7,99.3,1207.0
4,5,Kansas,B12,33-5,+27.81,115.3,87.5,68.7,+.031,108.1,101.2,1242.0
5,6,UCLA,P10,30-6,+27.15,115.4,88.3,63.7,+.019,111.0,99.9,1417.0
6,7,Texas A&M,B12,27-7,+26.97,119.3,92.3,63.7,-.047,106.7,101.4,1401.0
7,8,Wisconsin,B10,30-6,+25.45,115.6,90.1,63.8,+.034,108.1,100.3,1458.0
8,9,Memphis,CUSA,33-4,+24.81,115.4,90.6,68.4,+.030,105.3,102.4,1272.0
9,10,Duke,ACC,22-11,+23.30,113.2,89.9,64.5,-.074,110.7,99.4,1181.0
10,11,Pittsburgh,BE,29-8,+22.90,118.1,95.2,62.2,+.033,109.6,100.1,1338.0
11,12,Maryland,ACC,25-9,+22.42,112.4,90.0,71.4,-.027,108.9,100.4,1268.0
12,13,Kentucky,SEC,22-12,+21.73,117.0,95.3,65.8,-.029,111.0,97.8,1246.0
13,14,Indiana,B10,21-11,+21.58,115.4,93.8,64.9,-.058,108.5,98.5,1231.0
14,15,Butler,Horz,29-7,+21.45,118.0,96.5,58.1,+.016,106.6,101.8,1139.0
15,16,Southern Illinois,MVC,29-7,+21.03,109.8,88.8,61.0,+.017,110.2,100.0,1356.0
16,17,Michigan St.,B10,23-12,+20.97,112.8,91.8,60.3,-.036,109.2,100.2,1277.0
17,18,Oregon,P10,29-8,+20.76,118.3,97.6,66.0,+.031,108.0,100.8,1332.0
18,19,Louisville,BE,24-10,+20.35,113.5,93.1,64.2,-.046,107.9,100.6,1257.0
19,20,Air Force,MWC,26-9,+20.20,116.5,96.3,57.5,-.021,106.5,103.2,1102.0
20,21,Villanova,BE,22-11,+20.11,113.4,93.3,65.8,-.036,110.5,99.5,1437.0
21,22,Notre Dame,BE,24-8,+20.02,118.1,98.1,70.7,-.018,105.9,101.9,1323.0
22,23,Georgia Tech,ACC,20-12,+19.61,116.9,97.3,67.2,-.067,109.5,99.9,1210.0
23,24,Arizona,P10,20-11,+19.43,119.5,100.1,68.3,-.009,110.4,98.2,1112.0
24,25,Texas,B12,25-10,+19.24,119.5,100.3,67.6,-.008,108.1,100.6,1400.0
25,26,Mississippi St.,SEC,21-14,+19.03,113.5,94.5,69.6,-.114,109.3,100.6,1280.0
26,27,Washington St.,P10,26-8,+18.87,111.7,92.8,60.0,+.004,107.6,100.9,1450.0
27,28,Creighton,MVC,22-11,+18.53,113.8,95.3,62.7,-.023,108.3,99.4,1166.0
28,29,Clemson,ACC,25-11,+18.46,112.3,93.9,66.4,-.009,109.8,100.9,1155.0
29,30,Purdue,B10,22-12,+18.31,110.7,92.4,66.5,+.002,109.8,100.4,1345.0
30,31,Tennessee,SEC,24-11,+18.29,115.9,97.6,71.3,+.035,110.3,99.8,1397.0
31,32,Xavier,A10,25-9,+18.13,117.3,99.2,66.2,-.047,106.5,103.6,1462.0
32,33,West Virginia,BE,27-9,+18.06,116.5,98.5,63.2,+.021,107.0,101.7,1452.0
33,34,Florida St.,ACC,22-13,+17.79,116.2,98.4,66.2,-.007,109.7,100.0,1199.0
34,35,Missouri St.,MVC,22-11,+17.51,113.4,95.9,67.7,-.029,108.3,100.6,1283.0
35,36,Illinois,B10,23-12,+17.50,107.3,89.8,62.0,-.017,108.4,100.4,1228.0
36,37,Virginia Tech,ACC,22-12,+17.38,112.4,95.0,63.7,-.004,109.9,100.1,1439.0
37,38,Marquette,BE,24-10,+17.18,111.8,94.6,67.6,+.009,108.3,100.7,1266.0
38,39,USC,P10,25-12,+16.86,111.0,94.2,67.1,+.016,108.3,100.0,1425.0
39,40,Syracuse,BE,24-11,+16.84,112.0,95.2,70.4,-.066,106.3,100.5,1393.0
42,41,UNLV,MWC,30-7,+16.83,112.6,95.8,65.2,+.098,109.1,103.5,1424.0
43,42,Arkansas,SEC,21-14,+16.62,110.6,93.9,66.1,-.021,110.3,100.2,1116.0
44,43,Vanderbilt,SEC,22-12,+16.23,115.7,99.4,66.6,+.008,109.5,100.2,1435.0
45,44,Boston College,ACC,21-12,+16.18,117.3,101.1,64.3,+.026,110.7,100.4,1130.0
46,45,Akron,MAC,26-7,+16.15,115.2,99.1,63.8,-.056,102.8,104.5,1103.0
47,46,BYU,MWC,25-9,+16.11,116.7,100.6,67.6,+.001,106.8,102.5,1140.0
48,47,Nevada,WAC,29-5,+16.09,117.2,101.2,66.3,+.030,104.2,102.2,1305.0
49,48,Virginia,ACC,21-11,+15.43,114.1,98.7,67.9,+.006,109.2,100.9,1438.0
50,49,Gonzaga,WCC,23-11,+15.31,115.3,100.0,67.1,-.032,106.7,102.5,1211.0
51,50,DePaul,BE,20-14,+15.27,111.5,96.3,62.4,-.018,109.6,99.7,1177.0
52,51,Winthrop,BSth,29-5,+14.81,112.9,98.0,61.9,+.055,103.1,105.8,1457.0
53,52,VCU,CAA,28-7,+14.55,116.6,102.0,65.5,+.002,104.2,104.0,1433.0
54,53,Bradley,MVC,22-13,+14.35,115.9,101.5,67.8,+.026,108.8,99.8,1133.0
55,54,LSU,SEC,17-15,+14.35,107.8,93.5,63.1,-.096,109.1,100.5,1261.0
56,55,Georgia,SEC,19-14,+14.30,111.0,96.7,67.4,-.031,110.2,99.7,1208.0
57,56,Connecticut,BE,17-14,+13.78,104.0,90.2,68.4,-.110,106.9,101.7,1163.0
58,57,Kansas St.,B12,23-12,+13.71,109.3,95.6,65.8,+.026,107.5,101.9,1243.0
59,58,Oklahoma,B12,16-15,+13.68,107.4,93.8,62.8,-.133,107.5,100.8,1328.0
60,59,Michigan,B10,22-13,+13.53,108.9,95.3,63.1,+.037,107.8,100.6,1276.0
61,60,Mississippi,SEC,21-13,+13.49,112.7,99.2,67.2,+.017,108.1,100.3,1279.0
62,61,Davidson,SC,29-5,+13.32,111.8,98.5,71.9,+.067,103.2,104.9,1172.0
63,62,Alabama,SEC,20-12,+13.04,114.7,101.6,65.3,+.019,108.3,100.2,1104.0
64,63,Missouri,B12,18-12,+12.78,111.4,98.6,72.0,-.054,105.7,101.0,1281.0
65,64,Old Dominion,CAA,24-9,+12.70,108.6,95.9,65.8,+.013,105.6,104.8,1330.0
66,65,Wichita St.,MVC,17-14,+12.42,111.1,98.7,63.4,-.071,109.5,101.1,1455.0
67,66,Stanford,P10,18-13,+12.37,109.7,97.3,65.9,+.028,109.2,99.7,1390.0
68,67,Massachusetts,A10,24-9,+12.36,109.1,96.8,70.6,+.009,106.2,105.3,1269.0
69,68,Washington,P10,19-13,+12.17,113.2,101.0,69.2,+.018,108.2,101.2,1449.0
70,69,Northern Iowa,MVC,18-13,+11.43,109.0,97.6,61.6,-.014,109.7,101.7,1320.0
71,70,Iowa,B10,17-14,+11.06,110.6,99.6,66.5,-.006,107.2,99.7,1234.0
72,71,Texas Tech,B12,21-13,+10.98,112.2,101.3,64.9,+.056,108.3,100.5,1403.0
73,72,Providence,BE,18-13,+10.93,111.8,100.8,68.6,-.024,107.5,102.1,1344.0
74,73,Drexel,CAA,23-9,+10.65,103.5,92.9,64.4,+.051,106.6,104.1,1180.0
75,74,Oklahoma St.,B12,22-13,+10.63,109.2,98.6,65.4,+.044,108.1,101.5,1329.0
76,75,N.C. State,ACC,20-16,+10.46,112.2,101.8,66.2,+.048,109.3,99.7,1301.0
77,76,Appalachian St.,SC,25-8,+10.37,111.2,100.8,66.7,+.074,104.7,104.0,1111.0
78,77,Santa Clara,WCC,21-10,+10.03,106.7,96.7,63.8,+.035,105.7,104.3,1365.0
79,78,California,P10,16-17,+9.99,111.7,101.7,64.5,-.020,109.1,99.4,1143.0
