,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Duke,ACC,31-6,+32.33,120.8,88.5,67.7,-.028,109.5,96.9,1181.0
1,2,Connecticut,BE,33-6,+28.30,117.8,89.5,68.2,+.012,107.7,98.8,1163.0
2,3,Saint Joseph's,A10,30-2,+27.66,118.9,91.2,66.1,+.060,107.1,100.1,1386.0
3,4,Oklahoma St.,B12,31-4,+27.37,118.5,91.1,64.8,+.029,107.7,100.1,1329.0
4,5,Pittsburgh,BE,31-5,+25.91,114.1,88.2,59.7,-.028,106.4,100.5,1338.0
5,6,Wisconsin,B10,25-7,+25.74,116.0,90.3,60.7,-.001,108.0,99.7,1458.0
6,7,Gonzaga,WCC,28-3,+25.34,120.8,95.5,66.6,+.013,105.5,102.2,1211.0
7,8,Georgia Tech,ACC,28-10,+24.69,113.5,88.8,69.1,+.008,110.8,97.1,1210.0
8,9,N.C. State,ACC,21-10,+23.98,119.1,95.1,62.1,-.072,109.5,96.7,1301.0
9,10,Kentucky,SEC,27-5,+23.35,113.5,90.1,66.1,+.031,108.3,99.3,1246.0
10,11,North Carolina,ACC,19-11,+23.23,117.4,94.1,70.9,-.091,110.2,96.4,1314.0
11,12,Stanford,P10,30-2,+22.52,111.9,89.3,64.5,+.051,105.9,102.2,1390.0
12,13,Illinois,B10,26-7,+22.11,117.8,95.7,63.5,+.055,107.7,99.5,1228.0
13,14,Mississippi St.,SEC,26-4,+21.74,114.7,92.9,68.1,+.021,106.3,99.9,1280.0
14,15,Wake Forest,ACC,21-10,+21.69,121.6,99.9,70.4,-.019,109.6,96.1,1448.0
15,16,Cincinnati,CUSA,25-7,+21.56,116.1,94.5,66.7,+.003,105.6,100.0,1153.0
16,17,Texas,B12,25-8,+21.54,115.6,94.1,64.7,+.038,109.1,99.8,1400.0
17,18,Kansas,B12,24-9,+20.89,112.3,91.4,69.4,+.017,109.2,98.8,1242.0
18,19,Louisville,CUSA,20-10,+20.44,107.1,86.6,67.4,-.079,107.0,99.9,1257.0
19,20,Nevada,WAC,25-9,+20.27,112.3,92.0,68.7,-.039,107.6,100.5,1305.0
20,21,Xavier,A10,26-11,+20.16,113.8,93.6,64.1,-.022,107.5,100.3,1462.0
21,22,Maryland,ACC,20-12,+19.81,110.9,91.1,71.1,-.009,112.1,98.0,1268.0
22,23,Vanderbilt,SEC,23-10,+18.64,113.6,95.0,65.0,-.002,108.0,100.1,1435.0
23,24,Providence,BE,20-9,+18.32,112.3,93.9,65.0,+.003,107.9,99.1,1344.0
24,25,Florida,SEC,20-11,+18.26,116.9,98.6,65.9,-.023,107.9,98.3,1196.0
25,26,Florida St.,ACC,19-14,+17.48,109.0,91.5,64.3,-.090,109.1,98.7,1199.0
26,27,Seton Hall,BE,21-10,+17.35,112.3,95.0,65.4,-.004,107.2,99.4,1371.0
27,28,Texas Tech,B12,23-11,+17.11,111.4,94.3,66.7,+.010,108.4,100.1,1403.0
28,29,Alabama,SEC,20-13,+16.50,114.7,98.2,64.7,+.004,109.1,97.9,1104.0
29,30,Syracuse,BE,23-8,+16.34,113.1,96.7,65.7,+.086,107.4,99.6,1393.0
30,31,Western Michigan,MAC,26-5,+16.29,114.3,98.0,65.6,+.037,103.5,104.1,1444.0
31,32,Arizona,P10,20-10,+16.18,118.5,102.3,73.0,-.072,106.7,101.0,1112.0
32,33,Memphis,CUSA,22-8,+16.17,111.8,95.6,66.6,+.012,105.7,100.2,1272.0
33,34,Michigan St.,B10,18-12,+15.66,117.2,101.5,64.0,-.014,107.1,98.2,1277.0
34,35,BYU,MWC,21-9,+15.64,113.0,97.4,65.9,+.020,108.1,101.0,1140.0
35,36,Air Force,MWC,22-7,+15.42,111.4,96.0,51.9,+.025,103.3,102.8,1102.0
36,37,Boston College,BE,24-10,+15.42,110.5,95.1,62.6,+.045,106.2,99.0,1130.0
37,38,Richmond,A10,20-13,+15.07,105.9,90.9,62.7,-.060,107.2,100.2,1350.0
38,39,South Carolina,SEC,23-11,+15.02,109.7,94.7,65.5,-.000,105.8,99.6,1376.0
39,40,Nebraska,B12,18-13,+14.86,113.6,98.7,62.1,-.093,106.3,101.7,1304.0
42,41,UTEP,WAC,24-8,+14.69,112.5,97.8,68.2,+.046,104.2,99.9,1431.0
43,42,Southern Illinois,MVC,25-5,+14.33,109.1,94.8,65.2,+.046,105.1,102.5,1356.0
44,43,Charlotte,CUSA,21-9,+14.25,112.7,98.5,69.7,+.015,105.0,99.3,1150.0
45,44,Michigan,B10,23-11,+14.14,107.4,93.3,66.4,+.018,106.6,101.1,1276.0
46,45,Utah,MWC,24-9,+14.13,110.1,96.0,58.8,+.064,106.8,102.3,1428.0
47,46,UAB,CUSA,22-10,+13.63,108.1,94.5,70.7,+.019,105.8,100.4,1412.0
48,47,Utah St.,BW,25-4,+13.60,115.9,102.3,58.2,+.037,101.4,104.4,1429.0
49,48,Manhattan,MAAC,25-6,+13.38,109.1,95.7,65.0,+.012,103.2,105.0,1264.0
50,49,Boise St.,WAC,23-10,+13.13,109.6,96.5,66.7,+.028,106.2,101.4,1129.0
51,50,George Washington,A10,18-12,+13.08,112.6,99.5,68.3,-.032,105.6,100.3,1203.0
52,51,Missouri,B12,16-14,+13.08,113.5,100.4,65.6,-.020,109.2,98.7,1281.0
53,52,Notre Dame,BE,19-13,+13.03,113.4,100.4,64.6,-.024,107.1,99.8,1323.0
54,53,Villanova,BE,18-17,+12.43,110.8,98.3,65.3,-.050,108.2,99.0,1437.0
55,54,Colorado,B12,18-11,+11.77,111.3,99.5,68.1,+.034,108.0,99.8,1160.0
56,55,Wichita St.,MVC,21-11,+11.64,109.9,98.3,65.9,-.075,103.5,101.6,1455.0
57,56,Oklahoma,B12,20-11,+11.61,104.5,92.9,63.6,+.059,107.0,100.4,1328.0
58,57,Purdue,B10,17-14,+11.60,104.6,93.0,62.7,-.066,106.9,101.6,1345.0
59,58,DePaul,CUSA,22-10,+11.36,113.0,101.6,63.2,+.091,106.4,100.6,1177.0
60,59,Saint Mary's,WCC,19-12,+10.92,110.5,99.6,66.3,-.083,105.5,104.0,1388.0
61,60,Washington,P10,19-12,+10.78,113.1,102.3,73.5,+.031,106.6,100.4,1449.0
62,61,Murray St.,OVC,28-6,+10.62,110.5,99.9,68.7,+.064,103.1,106.9,1293.0
63,62,Milwaukee,Horz,20-11,+10.52,112.2,101.7,70.4,-.024,104.1,101.8,1454.0
64,63,Illinois Chicago,Horz,24-8,+10.39,107.5,97.1,64.6,+.037,103.6,104.1,1227.0
65,64,Iowa St.,B12,20-13,+10.37,109.2,98.8,69.7,+.064,108.1,99.5,1235.0
66,65,Creighton,MVC,20-9,+10.36,108.2,97.8,63.4,+.006,103.5,102.3,1166.0
67,66,Virginia,ACC,18-13,+10.27,109.3,99.1,68.7,+.100,108.8,98.1,1438.0
69,68,Auburn,SEC,14-14,+10.16,106.3,96.1,66.4,-.097,106.3,101.0,1120.0
70,69,Iowa,B10,16-13,+10.10,106.7,96.6,68.5,-.015,106.7,99.5,1234.0
71,70,LSU,SEC,18-11,+10.04,107.0,96.9,63.6,+.054,106.1,99.7,1261.0
72,71,Rice,WAC,22-11,+9.83,109.0,99.2,68.1,+.070,105.5,100.3,1349.0
73,72,Rutgers,BE,20-13,+9.83,106.0,96.2,66.0,+.046,106.8,100.1,1353.0
74,73,Penn,Ivy,17-10,+9.80,109.0,99.2,63.6,-.072,101.8,104.2,1335.0
75,74,Dayton,A10,24-9,+9.75,108.1,98.4,62.2,+.084,105.6,102.3,1173.0
76,75,Kent St.,MAC,22-9,+9.68,106.9,97.2,65.6,+.009,104.1,103.8,1245.0
77,76,Georgia,SEC,16-14,+9.54,108.1,98.5,62.3,+.029,107.7,98.8,1208.0
78,77,UNLV,MWC,18-13,+9.35,110.3,100.9,69.1,-.009,106.2,101.0,1424.0
79,78,Hawaii,WAC,21-12,+9.27,109.8,100.6,65.3,+.023,105.3,101.0,1218.0
80,79,Oregon,P10,18-13,+9.21,110.9,101.7,67.6,+.026,106.7,100.3,1332.0
81,80,Detroit,Horz,19-11,+9.19,106.4,97.2,59.1,-.009,103.8,104.0,1178.0
84,81,VCU,CAA,23-8,+9.09,105.6,96.5,64.4,+.076,102.3,102.6,1433.0
85,82,Pacific,BW,25-8,+8.93,108.6,99.7,63.6,+.096,103.4,103.1,1334.0
86,83,Kansas St.,B12,14-14,+8.89,104.6,95.7,64.9,-.080,106.9,101.4,1243.0
87,84,Northern Iowa,MVC,21-10,+8.78,107.4,98.6,64.8,+.022,103.9,101.4,1320.0
88,85,East Tennessee St.,SC,27-6,+8.60,104.4,95.8,73.2,+.016,102.2,104.6,1190.0
89,86,Rhode Island,A10,20-14,+8.48,105.2,96.7,64.4,+.003,105.2,102.5,1348.0
90,87,Saint Louis,CUSA,19-13,+8.21,103.5,95.3,61.3,+.031,105.9,100.4,1387.0
91,88,Troy St.,ASun,24-7,+7.82,113.5,105.7,68.0,+.017,101.1,106.1,1407.0
92,89,Tennessee,SEC,15-14,+7.30,108.5,101.2,66.1,+.020,107.6,99.8,1397.0
93,90,Temple,A10,15-14,+7.23,109.8,102.5,60.1,+.011,106.2,100.2,1396.0
94,91,Fresno St.,WAC,14-15,+7.09,106.7,99.6,58.7,-.066,105.9,100.5,1201.0
95,92,Marquette,CUSA,19-12,+7.03,111.7,104.6,64.2,+.020,104.3,101.2,1266.0
96,93,West Virginia,BE,17-14,+6.81,107.0,100.2,62.3,+.064,106.6,99.8,1452.0
97,94,Indiana,B10,14-15,+6.81,105.3,98.4,64.0,+.053,109.3,100.3,1231.0
99,96,George Mason,CAA,23-10,+6.24,103.0,96.8,67.5,+.093,103.0,102.6,1206.0
100,97,Arkansas,SEC,12-16,+6.03,104.6,98.6,66.1,-.067,107.0,100.6,1116.0
101,98,UCF,ASun,25-6,+5.91,103.3,97.4,62.6,+.087,101.4,107.2,1416.0
102,99,Drexel,CAA,18-11,+5.78,106.7,100.9,67.7,-.017,102.1,103.4,1180.0
103,100,Northwestern,B10,14-15,+5.65,106.7,101.1,59.3,+.023,106.8,100.2,1321.0
104,101,Old Dominion,CAA,17-12,+5.57,104.6,99.0,69.1,-.019,103.0,102.4,1330.0
105,102,California,P10,13-15,+5.51,103.7,98.2,64.0,-.018,107.4,101.5,1143.0
106,103,Austin Peay,OVC,22-10,+5.49,100.1,94.6,62.1,+.070,105.4,105.4,1122.0
107,104,Niagara,MAAC,22-10,+5.45,111.5,106.1,69.9,-.028,101.7,104.9,1310.0
108,105,Belmont,ASun,21-9,+5.22,106.0,100.8,63.8,-.047,101.0,106.1,1125.0
109,106,Fairfield,MAAC,19-11,+4.95,102.2,97.3,62.1,+.025,102.9,105.0,1193.0
110,107,Clemson,ACC,10-18,+4.93,102.1,97.1,64.9,+.022,110.6,97.2,1155.0
111,108,Princeton,Ivy,20-8,+4.86,106.3,101.4,56.4,+.033,100.2,104.6,1343.0
112,109,Buffalo,MAC,17-12,+4.67,107.6,102.9,69.5,-.018,102.9,104.7,1138.0
113,110,Miami FL,BE,14-16,+4.60,107.4,102.8,65.2,-.104,102.8,100.3,1274.0
114,111,San Diego St.,MWC,14-16,+4.49,105.0,100.6,66.9,-.035,108.0,102.2,1361.0
115,112,Toledo,MAC,20-11,+4.36,109.0,104.7,69.6,+.115,104.7,103.3,1405.0
116,113,East Carolina,CUSA,13-14,+4.35,104.7,100.4,65.4,-.101,102.7,101.0,1187.0
117,114,Wyoming,MWC,11-17,+4.34,104.7,100.3,68.0,-.123,106.4,101.6,1461.0
118,115,New Mexico,MWC,14-14,+4.19,110.3,106.1,61.6,-.058,104.6,102.4,1307.0
119,116,College of Charleston,SC,20-9,+3.92,105.5,101.6,67.7,+.017,100.5,104.1,1158.0
120,117,IUPUI,MCon,21-11,+3.85,110.7,106.9,64.5,-.017,103.3,105.8,1237.0
121,118,Western Kentucky,SB,15-13,+3.80,111.2,107.4,66.2,-.056,102.5,101.9,1443.0
122,119,Louisiana Tech,WAC,15-15,+3.80,102.6,98.8,64.9,-.018,105.4,100.1,1256.0
123,120,UNC Wilmington,CAA,15-15,+3.66,98.7,95.0,59.8,-.064,103.3,103.0,1423.0
126,121,UC Santa Barbara,BW,16-12,+3.45,101.9,98.5,63.1,-.034,103.6,104.9,1364.0
127,122,Miami OH,MAC,18-11,+3.43,104.5,101.1,58.6,+.085,104.6,103.1,1275.0
128,123,Virginia Tech,BE,15-14,+3.16,101.9,98.8,66.3,+.052,104.9,100.5,1439.0
129,124,Georgetown,BE,13-15,+3.10,99.1,96.0,68.4,-.053,104.2,101.3,1207.0
130,125,Eastern Washington,BSky,17-13,+3.09,105.4,102.3,64.5,+.014,103.3,103.5,1186.0
131,126,Washington St.,P10,13-16,+3.04,100.9,97.9,56.5,-.014,106.7,101.4,1450.0
132,127,Boston University,AE,23-6,+3.01,102.5,99.5,63.4,+.115,97.3,105.1,1131.0
133,128,Mississippi,SEC,13-15,+2.99,102.7,99.7,62.9,+.022,106.6,100.4,1279.0
134,129,Pepperdine,WCC,15-16,+2.93,113.7,110.8,69.3,-.001,104.7,102.5,1337.0
135,130,Butler,Horz,16-14,+2.77,107.5,104.7,56.4,-.038,102.3,102.8,1139.0
136,131,Colorado St.,MWC,13-16,+2.63,104.3,101.6,68.3,+.008,106.8,100.9,1161.0
137,132,USC,P10,13-15,+2.32,104.6,102.3,70.3,+.086,107.9,101.6,1425.0
138,133,Minnesota,B10,12-18,+2.23,105.2,103.0,67.3,-.034,106.4,101.2,1278.0
139,134,Georgia St.,ASun,20-9,+1.88,104.5,102.6,65.5,+.040,101.6,106.8,1209.0
140,135,Middle Tennessee,SB,17-12,+1.81,103.4,101.6,65.3,+.026,103.1,103.8,1292.0
141,136,SMU,WAC,12-18,+1.72,105.2,103.5,62.4,+.001,106.1,100.0,1374.0
142,137,Davidson,SC,17-12,+1.55,103.6,102.1,66.3,+.043,102.8,102.9,1172.0
