,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
149,144,High Point,BSth,20-9,109.4,107.2,66.5,-.036,102.4,105.8,1219.0,2.200000000000003
150,145,Central Michigan,MAC,16-13,111.3,109.4,67.2,-.037,104.2,104.5,1141.0,1.8999999999999915
151,146,Southern Illinois,MVC,22-9,106.2,104.5,70.4,+.097,100.3,103.3,1356.0,1.7000000000000028
152,147,Montana,BSky,18-9,104.0,102.6,67.0,+.051,103.1,106.0,1285.0,1.4000000000000057
153,148,Winthrop,BSth,21-8,108.3,106.9,74.3,+.045,102.0,106.3,1457.0,1.3999999999999915
154,149,Vermont,AE,19-12,107.4,105.9,68.1,+.025,101.8,104.7,1436.0,1.5
155,150,Middle Tennessee,CUSA,19-9,102.5,101.3,68.3,+.044,103.5,105.3,1292.0,1.2000000000000028
156,151,Wright St.,Horz,19-12,100.3,99.1,66.9,+.061,103.7,104.2,1460.0,1.2000000000000028
157,152,Louisiana Tech,CUSA,22-7,103.3,102.1,71.7,+.065,100.6,106.7,1256.0,1.2000000000000028
158,153,North Dakota St.,Sum,18-12,100.9,99.8,65.3,-.003,104.0,105.4,1295.0,1.1000000000000085
159,154,Texas A&M; Corpus Chris,Slnd,22-6,100.7,99.7,69.2,+.136,102.2,106.6,1394.0,1.0
160,155,Elon,CAA,16-15,106.2,105.2,72.2,+.033,105.2,102.5,1189.0,1.0
161,156,East Tennessee St.,SC,21-10,106.9,105.9,69.4,+.130,104.7,105.2,1190.0,1.0
162,157,Coastal Carolina,BSth,18-10,103.0,102.4,67.6,-.005,102.0,105.5,1157.0,0.5999999999999943
163,158,Duquesne,A10,15-14,105.0,104.3,73.9,-.014,104.2,104.3,1182.0,0.7000000000000028
164,159,Tennessee St.,OVC,20-9,101.6,101.0,68.9,+.031,102.9,107.5,1398.0,0.5999999999999943
165,160,Eastern Michigan,MAC,15-14,107.1,106.5,71.3,-.013,107.0,103.9,1185.0,0.5999999999999943
168,161,North Florida,ASun,21-10,113.5,113.0,71.2,+.038,102.2,105.9,1316.0,0.5
169,162,Utah St.,MWC,14-13,108.3,108.1,67.5,-.012,103.3,102.3,1429.0,0.20000000000000284
170,163,Northern Illinois,MAC,19-10,100.5,100.3,68.9,+.050,103.9,104.9,1296.0,0.20000000000000284
171,164,Wagner,NEC,20-9,101.1,100.9,66.2,-.004,98.1,107.3,1447.0,0.19999999999998863
172,165,Bucknell,Pat,17-12,104.5,104.4,72.4,-.047,101.3,105.5,1137.0,0.09999999999999432
173,166,Lehigh,Pat,15-14,104.7,104.6,69.2,-.007,102.3,104.7,1250.0,0.10000000000000853
174,167,Detroit,Horz,15-14,110.0,110.0,74.1,+.028,104.1,103.5,1178.0,0.0
175,168,Wyoming,MWC,13-17,107.1,107.3,65.5,-.054,103.8,101.9,1461.0,-0.20000000000000284
176,169,Minnesota,B10,8-20,102.0,102.4,69.8,-.076,107.5,102.0,1278.0,-0.4000000000000057
177,170,Texas Southern,SWAC,16-12,104.2,104.8,68.6,+.001,100.6,105.0,1411.0,-0.5999999999999943
178,171,Murray St.,OVC,16-13,104.7,105.3,64.9,-.036,102.6,105.5,1293.0,-0.5999999999999943
179,172,Colorado St.,MWC,15-14,109.8,110.5,69.1,-.030,103.2,103.3,1161.0,-0.7000000000000028
180,173,Oral Roberts,Sum,14-16,106.1,106.7,69.8,+.037,106.1,102.9,1331.0,-0.6000000000000085
181,174,Furman,SC,17-14,103.5,104.2,65.9,-.024,102.9,105.2,1202.0,-0.7000000000000028
182,175,Missouri,SEC,10-19,102.8,103.7,69.3,-.076,105.8,100.5,1281.0,-0.9000000000000057
183,176,Fordham,A10,15-12,100.9,101.8,68.0,-.004,102.3,105.0,1200.0,-0.8999999999999915
184,177,Indiana St.,MVC,14-16,99.3,100.3,71.3,-.005,103.2,101.5,1232.0,-1.0
185,178,Kent St.,MAC,18-11,105.8,107.0,68.4,+.111,104.2,104.9,1245.0,-1.2000000000000028
186,179,Mercer,SC,18-13,107.1,108.2,64.3,-.034,103.2,105.8,1273.0,-1.1000000000000085
187,180,Massachusetts,A10,12-16,102.2,103.7,71.4,-.002,104.4,102.9,1269.0,-1.5
188,181,Western Kentucky,CUSA,14-15,103.9,105.6,67.9,-.008,105.3,105.7,1443.0,-1.6999999999999886
189,182,Tennessee Tech,OVC,19-10,108.0,109.7,70.0,+.085,102.0,104.9,1399.0,-1.7000000000000028
190,183,Wofford,SC,15-16,104.8,106.5,66.2,-.006,105.2,104.8,1459.0,-1.7000000000000028
191,184,Loyola Chicago,MVC,14-16,98.3,99.9,65.6,+.012,101.9,102.3,1260.0,-1.6000000000000085
192,185,Fairfield,MAAC,18-12,104.4,106.3,72.4,+.109,102.6,104.3,1193.0,-1.8999999999999915
193,186,Auburn,SEC,11-17,100.2,102.2,72.6,+.054,106.9,100.4,1120.0,-2.0
194,187,Sam Houston St.,Slnd,16-13,101.1,103.2,67.9,-.000,102.7,106.1,1358.0,-2.1000000000000085
