,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Kentucky,SEC,38-1,+36.91,121.3,84.4,62.4,+.048,108.7,100.1,1246.0
1,2,Wisconsin,B10,36-4,+33.72,129.0,95.2,58.7,+.015,109.8,98.8,1458.0
2,3,Duke,ACC,35-4,+32.48,124.5,92.0,65.8,+.067,110.7,99.5,1181.0
3,4,Arizona,P12,34-4,+32.36,119.9,87.5,65.8,-.033,108.3,100.9,1112.0
4,5,Villanova,BE,33-3,+30.65,122.7,92.0,64.2,+.031,108.2,100.6,1437.0
5,6,Virginia,ACC,30-4,+30.06,115.6,85.5,58.0,+.023,108.5,100.3,1438.0
6,7,Gonzaga,WCC,35-3,+27.78,121.7,93.9,64.7,+.018,107.3,102.9,1211.0
7,8,Utah,P12,26-9,+27.24,116.4,89.2,60.5,-.054,108.8,100.6,1428.0
8,9,Notre Dame,ACC,32-6,+24.96,125.4,100.4,63.4,+.062,107.7,100.1,1323.0
9,10,North Carolina,ACC,26-12,+23.85,119.1,95.3,69.2,-.026,111.1,98.3,1314.0
10,11,Oklahoma,B12,24-11,+22.80,112.5,89.7,66.7,-.045,110.2,99.2,1328.0
11,12,Kansas,B12,27-9,+22.72,114.5,91.8,67.0,+.070,110.6,97.4,1242.0
12,13,Wichita St.,MVC,30-5,+22.21,115.8,93.6,62.3,+.022,105.5,102.3,1455.0
13,14,Baylor,B12,24-10,+22.14,116.6,94.5,61.5,-.035,108.9,98.7,1124.0
14,15,Michigan St.,B10,27-12,+21.72,116.6,94.9,63.1,-.017,110.3,99.8,1277.0
15,16,Iowa St.,B12,25-9,+21.49,119.0,97.5,69.6,+.005,109.0,98.5,1235.0
16,17,Louisville,ACC,27-9,+21.21,110.2,88.9,64.6,+.027,109.5,99.8,1257.0
17,18,Northern Iowa,MVC,31-4,+20.98,116.3,95.3,58.2,+.018,104.4,103.0,1320.0
18,19,Ohio St.,B10,24-11,+20.75,115.6,94.8,65.2,-.043,108.1,101.4,1326.0
19,20,Butler,BE,23-11,+20.09,110.2,90.1,63.2,-.023,110.6,100.9,1139.0
20,21,Xavier,BE,23-14,+19.49,116.6,97.1,65.0,-.062,109.5,99.2,1462.0
21,22,Georgetown,BE,22-11,+19.13,114.3,95.1,64.0,-.000,110.5,100.3,1207.0
22,23,Iowa,B10,22-12,+19.02,114.2,95.1,63.7,-.007,108.9,100.4,1234.0
23,24,Texas,B12,20-14,+18.94,112.4,93.4,62.0,-.079,108.3,98.8,1400.0
24,25,West Virginia,B12,25-10,+17.64,112.6,94.9,67.9,+.087,108.9,99.3,1452.0
25,26,SMU,Amer,27-7,+17.51,113.1,95.6,63.1,-.004,105.3,102.8,1374.0
26,27,Providence,BE,22-12,+16.72,112.6,95.9,65.2,+.038,109.7,99.4,1344.0
27,28,BYU,WCC,25-10,+16.69,119.4,102.7,70.4,-.055,107.0,103.0,1140.0
28,29,Arkansas,SEC,27-9,+16.44,114.7,98.3,69.3,+.045,107.2,101.1,1116.0
29,30,VCU,A10,26-10,+16.27,111.1,94.9,66.5,+.043,107.9,101.2,1433.0
30,31,San Diego St.,MWC,27-9,+15.95,104.9,89.0,60.4,+.026,106.1,102.5,1361.0
31,32,N.C. State,ACC,22-14,+15.93,114.9,98.9,64.1,-.003,109.3,99.5,1301.0
32,33,Maryland,B10,28-7,+15.68,111.3,95.7,63.9,+.127,108.3,101.1,1268.0
33,34,Florida,SEC,16-17,+15.39,107.3,91.9,62.7,-.117,109.5,99.4,1196.0
34,35,Georgia,SEC,21-12,+15.09,109.6,94.5,64.1,+.001,108.6,99.9,1208.0
35,36,Davidson,A10,24-8,+15.00,119.7,104.7,66.7,+.056,105.3,102.2,1172.0
36,37,Vanderbilt,SEC,21-14,+14.99,115.6,100.6,63.4,-.110,106.1,100.6,1435.0
37,38,Oklahoma St.,B12,18-14,+14.92,111.8,96.8,63.3,-.045,108.2,97.8,1329.0
38,39,Stanford,P12,24-13,+14.72,113.6,98.9,65.2,+.006,108.2,101.4,1390.0
39,40,UCLA,P12,22-14,+14.65,112.9,98.2,65.8,+.032,107.9,99.5,1417.0
42,41,Miami FL,ACC,25-13,+14.49,112.5,98.1,62.5,+.022,107.5,100.5,1274.0
43,42,Dayton,A10,27-9,+14.24,109.2,95.0,63.4,+.022,105.4,102.0,1173.0
44,43,Cincinnati,Amer,23-11,+14.15,108.2,94.0,59.8,-.016,104.9,101.5,1153.0
45,44,Purdue,B10,21-13,+13.96,110.9,97.0,64.3,-.006,109.0,101.6,1345.0
46,45,Oregon,P12,26-10,+13.88,115.2,101.3,66.6,+.119,108.4,101.1,1332.0
47,46,Mississippi,SEC,21-13,+13.88,114.5,100.6,66.2,-.033,107.3,100.2,1279.0
48,47,Boise St.,MWC,25-9,+13.85,111.9,98.1,62.8,+.009,104.8,103.9,1129.0
