,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Kentucky,SEC,38-2,+32.59,122.2,89.6,65.4,+.032,106.8,98.8,1246.0
1,2,Ohio St.,B10,31-8,+30.07,118.1,88.1,66.9,-.050,108.9,98.8,1326.0
2,3,Michigan St.,B10,29-8,+27.87,114.7,86.9,64.3,-.027,108.6,98.4,1277.0
3,4,Kansas,B12,32-7,+26.91,114.0,87.1,66.3,+.027,108.8,97.6,1242.0
4,5,Syracuse,BE,34-3,+26.04,117.7,91.7,64.4,+.060,107.0,99.0,1393.0
5,6,North Carolina,ACC,32-6,+25.44,116.1,90.7,70.9,+.016,107.2,99.8,1314.0
6,7,Missouri,B12,30-5,+25.28,125.1,99.8,65.4,+.017,105.7,99.9,1281.0
7,8,Wisconsin,B10,26-10,+24.09,113.7,89.6,57.5,-.018,107.6,98.8,1458.0
8,9,Indiana,B10,27-9,+22.55,120.2,97.6,66.7,+.007,107.4,99.0,1231.0
9,10,Florida,SEC,26-11,+22.47,120.4,98.0,64.2,-.043,105.4,98.2,1196.0
10,11,Wichita St.,MVC,27-6,+22.36,116.1,93.8,65.7,-.017,105.1,101.2,1455.0
11,12,Memphis,CUSA,26-9,+21.90,114.2,92.3,67.5,-.064,104.9,99.8,1272.0
12,13,Baylor,B12,30-8,+21.29,116.0,94.7,65.6,+.059,108.1,98.5,1124.0
13,14,Saint Louis,A10,26-8,+21.20,111.9,90.7,61.9,-.056,105.0,100.6,1387.0
14,15,Georgetown,BE,24-9,+21.05,111.2,90.1,62.1,-.014,107.3,99.0,1207.0
15,16,Vanderbilt,SEC,25-11,+20.90,115.6,94.7,64.7,-.048,107.7,99.2,1435.0
16,17,Louisville,BE,30-10,+20.67,106.2,85.5,66.1,+.031,108.6,98.6,1257.0
17,18,Marquette,BE,27-8,+20.22,111.5,91.3,70.0,+.042,106.6,98.3,1266.0
18,19,Duke,ACC,27-7,+19.70,117.7,98.0,66.4,+.057,107.3,99.1,1181.0
19,20,New Mexico,MWC,28-7,+19.45,110.8,91.4,65.5,+.003,103.9,101.3,1307.0
20,21,Gonzaga,WCC,26-7,+18.39,113.1,94.7,64.8,-.018,104.9,102.8,1211.0
