,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Ohio St.,B10,27-2,122.7,88.3,65.7,+.051,106.5,98.3,1326.0,34.400000000000006
1,2,Duke,ACC,26-3,119.6,86.5,70.3,+.004,105.9,98.0,1181.0,33.099999999999994
2,3,Kansas,B12,27-2,122.0,88.8,70.2,+.054,105.8,99.0,1242.0,33.2
3,4,Texas,B12,24-5,113.8,84.2,67.9,-.050,105.5,98.0,1400.0,29.599999999999994
4,5,Purdue,B10,24-5,116.8,86.6,67.1,+.008,108.0,97.2,1345.0,30.200000000000003
5,6,Brigham Young,MWC,27-2,119.6,89.7,71.9,+.046,104.7,97.7,1140.0,29.89999999999999
6,7,Pittsburgh,BE,25-4,119.7,90.3,64.1,+.013,105.9,97.3,1338.0,29.400000000000006
7,8,Wisconsin,B10,22-6,124.1,93.9,58.1,-.017,108.0,98.5,1458.0,30.19999999999999
8,9,Kentucky,SEC,20-8,119.2,92.4,67.5,-.097,105.2,97.4,1246.0,26.799999999999997
9,10,North Carolina,ACC,22-6,110.4,86.4,72.5,+.041,107.8,97.6,1314.0,24.0
10,11,San Diego St.,MWC,27-2,113.5,89.0,64.1,+.080,106.0,98.5,1361.0,24.5
11,12,Syracuse,BE,24-6,114.6,90.0,66.3,+.061,107.0,97.1,1393.0,24.599999999999994
12,13,Washington,P10,19-9,118.8,93.7,73.2,-.129,105.3,97.8,1449.0,25.099999999999994
13,14,Louisville,BE,22-7,110.7,88.2,67.8,+.006,105.6,97.9,1257.0,22.5
14,15,Notre Dame,BE,23-5,118.8,95.3,64.9,+.097,106.4,97.7,1323.0,23.5
15,16,Maryland,ACC,18-11,110.7,89.2,71.6,-.093,105.4,100.0,1268.0,21.5
16,17,Utah St.,WAC,26-3,112.2,90.4,63.5,+.026,102.4,101.8,1429.0,21.799999999999997
17,18,Villanova,BE,21-8,114.9,92.8,67.0,-.018,106.0,97.1,1437.0,22.10000000000001
18,19,West Virginia,BE,18-10,113.5,91.7,63.8,-.024,109.8,96.1,1452.0,21.799999999999997
19,20,Georgetown,BE,21-8,115.6,93.5,64.8,+.023,108.8,95.3,1207.0,22.099999999999994
20,21,Belmont,ASun,27-4,111.8,90.5,69.6,-.016,98.2,103.3,1125.0,21.299999999999997
21,22,Illinois,B10,18-11,112.8,91.5,67.2,-.064,108.9,96.6,1228.0,21.299999999999997
22,23,Connecticut,BE,21-7,112.8,91.7,66.5,+.034,106.9,96.7,1163.0,21.099999999999994
23,24,Missouri,B12,22-7,115.0,93.5,72.0,+.001,104.8,99.6,1281.0,21.5
24,25,Cincinnati,BE,22-7,108.8,88.7,64.5,+.007,104.1,99.1,1153.0,20.099999999999994
25,26,Arizona,P10,23-6,114.9,93.9,67.2,+.068,106.5,98.4,1112.0,21.0
26,27,Marquette,BE,18-11,116.1,94.8,68.3,-.096,106.5,98.5,1266.0,21.299999999999997
27,28,George Mason,CAA,25-5,113.8,93.1,66.1,-.024,102.7,101.9,1206.0,20.700000000000003
28,29,Vanderbilt,SEC,21-7,116.4,95.3,67.7,-.026,104.2,97.6,1435.0,21.10000000000001
29,30,Virginia Tech,ACC,19-8,111.6,91.4,65.5,-.011,104.6,98.6,1439.0,20.19999999999999
30,31,St. John's,BE,19-9,110.9,90.8,66.8,+.060,109.3,96.9,1385.0,20.10000000000001
31,32,Nevada Las Vegas,MWC,22-7,108.5,89.5,68.2,+.029,104.9,98.0,1424.0,19.0
32,33,Florida,SEC,22-6,112.9,93.1,63.4,+.043,104.2,97.7,1196.0,19.80000000000001
33,34,Temple,A10,22-6,109.4,90.8,65.6,+.020,103.8,99.4,1396.0,18.60000000000001
34,35,Kansas St.,B12,20-9,109.7,91.1,68.3,+.008,106.3,97.6,1243.0,18.60000000000001
35,36,Clemson,ACC,19-9,106.6,89.2,64.5,-.081,103.6,99.0,1155.0,17.39999999999999
36,37,Gonzaga,WCC,21-9,109.5,92.3,67.9,-.028,104.0,101.0,1211.0,17.200000000000003
37,38,Xavier,A10,22-6,113.6,95.8,66.4,+.064,103.8,98.8,1462.0,17.799999999999997
38,39,Alabama,SEC,19-9,103.4,87.4,65.4,-.053,101.1,100.0,1104.0,16.0
39,40,UCLA,P10,21-8,108.7,92.1,66.6,+.021,105.8,98.7,1417.0,16.60000000000001
42,41,Florida St.,ACC,20-8,101.7,86.7,69.9,+.026,104.6,98.8,1199.0,15.0
43,42,Texas A&M;,B12,22-6,109.2,93.3,62.9,+.070,103.6,99.1,1401.0,15.900000000000006
44,43,Southern California,P10,17-12,106.8,91.3,63.5,-.052,106.2,98.2,1425.0,15.5
45,44,Nebraska,B12,18-10,106.3,91.0,64.0,-.051,102.9,100.1,1304.0,15.299999999999997
46,45,Michigan,B10,18-12,110.4,94.5,62.8,+.000,108.7,97.5,1276.0,15.900000000000006
47,46,Penn St.,B10,15-12,113.7,97.4,61.1,+.022,108.9,96.4,1336.0,16.299999999999997
48,47,St. Mary's,WCC,23-7,117.0,100.2,66.8,-.007,102.4,101.0,1388.0,16.799999999999997
49,48,Michigan St.,B10,16-12,107.9,92.5,65.7,+.029,110.3,95.8,1277.0,15.400000000000006
50,49,Washington St.,P10,18-10,107.1,91.9,68.8,-.019,105.4,98.8,1450.0,15.199999999999989
51,50,Duquesne,A10,17-10,107.1,92.1,71.5,-.146,102.6,101.0,1182.0,15.0
52,51,Minnesota,B10,17-11,110.7,95.2,66.1,-.005,108.6,97.3,1278.0,15.5
53,52,New Mexico,MWC,18-11,111.0,95.5,66.0,-.087,103.9,99.8,1307.0,15.5
54,53,Old Dominion,CAA,24-6,107.5,92.6,61.7,+.068,103.5,101.8,1330.0,14.900000000000006
55,54,Tennessee,SEC,17-12,107.3,92.8,67.2,-.055,106.8,97.4,1397.0,14.5
56,55,UAB,CUSA,20-7,109.0,94.6,62.9,+.022,102.3,99.6,1412.0,14.400000000000006
57,56,Georgia,SEC,19-9,106.6,92.7,65.6,+.040,105.5,98.8,1208.0,13.899999999999991
58,57,Wichita St.,MVC,23-7,111.1,96.8,65.4,-.058,100.3,102.2,1455.0,14.299999999999997
59,58,Richmond,A10,22-7,111.3,97.0,64.6,+.028,102.0,100.8,1350.0,14.299999999999997
60,59,Colorado,B12,18-11,114.5,100.0,68.1,-.027,104.9,99.7,1160.0,14.5
61,60,Butler,Horz,21-9,111.8,97.6,64.8,-.011,103.1,99.3,1139.0,14.200000000000003
62,61,Baylor,B12,18-10,107.5,94.3,66.5,-.022,102.5,99.1,1124.0,13.200000000000003
63,62,Miami FL,ACC,17-12,112.4,99.0,65.2,-.047,105.0,98.1,1274.0,13.400000000000006
64,63,Seton Hall,BE,11-17,100.5,88.6,69.0,-.125,107.7,95.8,1371.0,11.900000000000006
65,64,Boston College,ACC,17-11,116.7,103.2,63.8,+.037,106.1,96.7,1130.0,13.5
66,65,Southern Mississippi,CUSA,21-7,111.7,98.8,66.4,+.025,102.1,100.2,1379.0,12.900000000000006
