,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
67,66,California,P10,16-13,111.5,98.8,68.3,+.033,107.4,96.8,1143.0,12.700000000000003
68,67,Iona,MAAC,20-10,113.0,100.1,69.4,-.092,99.8,101.7,1233.0,12.900000000000006
69,68,Texas El Paso,CUSA,21-8,102.7,91.2,68.4,-.008,102.4,101.5,1431.0,11.5
70,69,Northwestern,B10,16-12,114.2,101.6,65.1,+.011,106.5,98.2,1321.0,12.600000000000009
71,70,Mississippi,SEC,18-11,111.4,99.8,67.8,-.016,102.6,99.1,1279.0,11.600000000000009
72,71,Colorado St.,MWC,18-10,108.2,97.0,67.7,+.019,105.0,98.6,1161.0,11.200000000000003
73,72,Cleveland St.,Horz,24-7,107.9,96.8,66.7,+.040,103.1,100.9,1156.0,11.100000000000009
74,73,Indiana,B10,12-17,109.4,98.2,66.6,-.138,106.6,99.0,1231.0,11.200000000000003
75,74,Oakland,Sum,22-9,114.2,102.9,73.7,+.034,103.9,102.2,1324.0,11.299999999999997
76,75,College of Charleston,SC,22-9,112.4,101.9,67.6,-.017,101.3,102.1,1158.0,10.5
77,76,Iowa St.,B12,15-14,106.5,96.6,70.2,-.091,103.7,100.5,1235.0,9.900000000000006
78,77,Missouri St.,MVC,23-7,111.4,101.1,64.1,+.035,101.3,101.6,1283.0,10.300000000000011
79,78,North Carolina St.,ACC,15-13,110.6,100.7,66.8,+.008,105.3,97.9,1301.0,9.899999999999991
80,79,Marshall,CUSA,20-9,105.7,96.4,67.8,+.010,103.6,101.5,1267.0,9.299999999999997
81,80,Harvard,Ivy,21-5,109.5,99.9,64.4,+.069,102.1,102.6,1217.0,9.599999999999994
84,81,Rutgers,BE,13-15,106.0,96.9,64.7,-.050,105.2,96.8,1353.0,9.099999999999994
85,82,Providence,BE,14-15,109.4,100.0,73.0,-.073,104.7,98.4,1344.0,9.400000000000006
86,83,Central Florida,CUSA,18-9,105.7,96.7,65.6,-.001,102.1,100.8,1416.0,9.0
87,84,Iowa,B10,10-18,103.2,94.5,67.7,-.131,107.9,98.5,1234.0,8.700000000000003
88,85,Oklahoma St.,B12,17-11,105.1,96.5,66.3,+.069,105.3,98.1,1329.0,8.599999999999994
89,86,Long Beach St.,BW,19-10,104.9,96.4,70.1,+.062,103.6,100.1,1253.0,8.5
90,87,Stanford,P10,14-14,105.0,96.5,65.5,-.041,104.4,98.6,1390.0,8.5
91,88,Fairfield,MAAC,23-6,98.8,90.9,66.5,+.051,99.0,103.0,1193.0,7.8999999999999915
92,89,Boise St.,WAC,17-11,106.2,98.2,68.3,-.040,101.8,100.2,1129.0,8.0
93,90,Oregon,P10,14-14,104.3,96.4,67.6,-.024,105.2,98.6,1332.0,7.8999999999999915
94,91,Arkansas,SEC,18-10,103.5,95.8,67.7,+.036,100.1,99.3,1116.0,7.700000000000003
95,92,Virginia Commonwealth,CAA,21-10,108.7,101.0,66.4,+.027,103.2,101.1,1433.0,7.700000000000003
96,93,Dayton,A10,19-10,102.7,95.5,66.6,+.079,102.2,98.8,1173.0,7.200000000000003
97,94,Bucknell,Pat,22-8,104.1,96.9,66.1,+.034,101.2,104.2,1137.0,7.199999999999989
98,95,Memphis,CUSA,21-8,102.3,95.2,69.9,+.130,103.1,100.7,1272.0,7.099999999999994
99,96,Coastal Carolina,BSth,26-4,104.1,97.1,67.7,+.078,97.7,104.8,1157.0,7.0
100,97,Princeton,Ivy,22-5,102.9,96.1,64.6,+.116,101.7,103.6,1343.0,6.800000000000011
101,98,Drexel,CAA,20-9,97.7,91.2,63.8,+.077,103.7,102.8,1180.0,6.5
102,99,Wofford,SC,18-12,110.0,102.8,65.0,-.029,101.9,103.2,1459.0,7.200000000000003
103,100,Tulsa,CUSA,16-12,105.4,98.5,67.1,-.019,103.4,100.3,1409.0,6.900000000000006
104,101,Georgia Tech,ACC,11-17,102.0,95.5,69.5,-.108,104.4,98.1,1210.0,6.5
105,102,James Madison,CAA,21-10,107.9,101.0,67.8,+.021,102.3,101.3,1241.0,6.900000000000006
106,103,Portland,WCC,20-10,110.1,103.2,64.5,+.076,102.9,100.6,1339.0,6.8999999999999915
107,104,Valparaiso,Horz,21-10,103.9,97.5,66.9,+.072,103.7,101.1,1434.0,6.400000000000006
108,105,Buffalo,MAC,16-11,105.4,98.9,66.8,-.114,100.1,103.0,1138.0,6.5
109,106,East Tennessee St.,ASun,21-10,104.1,98.0,65.1,+.042,101.2,102.5,1190.0,6.099999999999994
110,107,Rhode Island,A10,18-10,102.6,96.9,67.9,+.080,103.2,100.8,1348.0,5.699999999999989
111,108,Morehead St.,OVC,22-9,103.8,98.0,64.8,-.007,100.3,103.8,1287.0,5.799999999999997
112,109,Rider,MAAC,22-9,106.8,100.8,69.8,+.041,99.0,101.6,1351.0,6.0
113,110,South Dakota St.,Sum,18-11,113.3,107.2,68.9,-.099,100.1,105.2,1355.0,6.099999999999994
114,111,Akron,MAC,19-10,102.1,96.7,67.7,+.017,100.2,103.4,1103.0,5.3999999999999915
115,112,Vermont,AE,22-7,101.9,96.5,65.7,+.069,98.0,103.8,1436.0,5.400000000000006
116,113,Creighton,MVC,18-13,106.1,101.0,64.7,-.058,101.0,102.5,1166.0,5.099999999999994
117,114,Wright St.,Horz,18-13,104.2,99.3,62.5,-.019,102.6,101.3,1460.0,4.900000000000006
118,115,Air Force,MWC,14-13,104.3,99.5,62.0,+.021,103.8,99.1,1102.0,4.799999999999997
119,116,South Florida,BE,9-20,101.8,97.2,62.9,-.052,107.3,97.2,1378.0,4.599999999999994
120,117,Montana,BSky,20-9,100.7,96.3,63.4,+.033,101.4,104.0,1285.0,4.400000000000006
121,118,Idaho,WAC,16-12,103.6,99.0,65.0,+.021,100.8,99.8,1225.0,4.599999999999994
122,119,Virginia,ACC,14-14,101.5,97.1,60.5,+.022,104.5,98.1,1438.0,4.400000000000006
123,120,Pacific,BW,16-12,104.4,100.0,60.8,-.028,102.6,101.5,1334.0,4.400000000000006
126,121,Murray St.,OVC,23-7,102.8,98.5,63.8,+.056,98.5,104.1,1293.0,4.299999999999997
127,122,Long Island,NEC,24-5,107.4,102.9,74.6,+.037,97.4,104.6,1254.0,4.5
128,123,Texas Tech,B12,12-17,106.5,102.3,70.3,-.020,104.9,98.7,1403.0,4.200000000000003
129,124,Utah,MWC,13-15,102.3,98.3,68.7,+.036,106.0,97.9,1428.0,4.0
130,125,Indiana St.,MVC,17-13,101.8,98.0,66.9,+.021,103.5,101.3,1232.0,3.799999999999997
131,126,Northern Colorado,BSky,17-10,104.3,100.4,67.4,-.012,101.3,103.1,1294.0,3.8999999999999915
132,127,Austin Peay,OVC,19-12,101.3,97.5,68.6,-.044,100.4,102.9,1122.0,3.799999999999997
133,128,South Carolina,SEC,14-13,99.7,96.2,69.2,+.048,105.1,99.1,1376.0,3.5
134,129,Northern Iowa,MVC,19-12,107.1,103.3,60.6,+.037,102.0,100.9,1320.0,3.799999999999997
135,130,New Mexico St.,WAC,14-15,104.0,100.3,69.1,-.037,102.8,98.7,1308.0,3.700000000000003
136,131,Oral Roberts,Sum,17-14,109.2,105.5,67.5,-.035,103.2,103.9,1331.0,3.700000000000003
137,132,Mississippi St.,SEC,15-13,104.1,100.6,68.6,+.054,102.5,99.7,1280.0,3.5
138,133,Northern Arizona,BSky,17-11,105.0,101.7,66.5,-.052,100.1,103.5,1319.0,3.299999999999997
139,134,Oklahoma,B12,12-16,103.5,100.3,65.0,+.007,105.0,98.5,1328.0,3.200000000000003
140,135,Arizona St.,P10,10-18,102.7,99.6,63.3,+.007,106.9,96.9,1113.0,3.1000000000000085
141,136,St. Louis,A10,11-17,97.4,94.5,64.5,-.121,104.2,101.0,1387.0,2.9000000000000057
142,137,Weber St.,BSky,17-10,105.1,102.1,65.3,+.004,101.2,102.5,1451.0,3.0
143,138,Kent St.,MAC,19-10,100.7,97.8,68.8,+.048,101.2,102.7,1245.0,2.9000000000000057
144,139,Loyola Chicago,Horz,16-14,103.7,100.8,65.8,-.066,100.2,102.5,1260.0,2.9000000000000057
145,140,Wisconsin Milwaukee,Horz,18-12,104.2,101.4,67.3,+.126,104.5,101.2,1454.0,2.799999999999997
146,141,Detroit,Horz,16-15,104.8,102.4,70.7,-.012,102.2,100.3,1178.0,2.3999999999999915
147,142,East Carolina,CUSA,15-13,104.9,102.6,66.8,+.019,103.1,99.8,1187.0,2.3000000000000114
148,143,St. Bonaventure,A10,15-12,106.3,104.3,64.5,+.052,102.5,100.4,1382.0,2.0
149,144,St. Peter's,MAAC,17-13,93.7,91.9,66.0,+.057,100.8,100.9,1389.0,1.7999999999999972
150,145,Hofstra,CAA,20-10,105.9,103.9,66.9,+.156,103.2,101.8,1220.0,2.0
151,146,Robert Morris,NEC,16-13,100.1,98.4,65.3,+.003,100.6,101.6,1352.0,1.6999999999999886
152,147,IUPUI,Sum,18-13,109.9,108.0,62.7,+.033,103.6,102.3,1237.0,1.9000000000000057
153,148,Southern Methodist,CUSA,17-11,104.6,103.0,61.4,-.012,99.6,103.1,1374.0,1.5999999999999943
154,149,Hawaii,WAC,17-10,99.4,98.1,67.0,+.073,100.1,102.1,1218.0,1.3000000000000114
155,150,Davidson,SC,17-13,102.8,101.4,68.1,-.018,102.0,103.3,1172.0,1.3999999999999915
156,151,Nevada,WAC,11-17,102.3,101.1,68.2,-.065,103.9,100.2,1305.0,1.2000000000000028
157,152,Cal Poly,BW,15-13,97.3,96.2,60.8,+.024,101.5,103.0,1142.0,1.0999999999999943
158,153,Rice,CUSA,12-16,104.6,103.5,64.3,-.074,103.1,100.2,1349.0,1.0999999999999943
159,154,Santa Clara,WCC,18-13,103.3,102.3,68.3,+.032,102.2,102.7,1365.0,1.0
160,155,Lipscomb,ASun,17-12,104.9,103.9,70.7,+.007,99.4,100.8,1252.0,1.0
161,156,Wisconsin Green Bay,Horz,14-17,102.6,101.7,66.2,+.013,104.2,100.6,1453.0,0.8999999999999915
162,157,Oregon St.,P10,10-17,101.4,100.7,70.3,-.051,103.3,98.8,1333.0,0.7000000000000028
163,158,Central Connecticut,NEC,18-11,99.1,98.5,67.9,-.006,98.0,104.6,1148.0,0.5999999999999943
164,159,Furman,SC,20-9,104.3,103.7,63.6,+.078,100.9,104.2,1202.0,0.5999999999999943
165,160,Stephen F. Austin,Slnd,18-8,98.3,97.8,60.8,-.025,96.3,106.1,1372.0,0.5
168,161,UC Santa Barbara,BW,14-13,102.3,101.8,64.9,-.039,102.7,101.9,1364.0,0.5
169,162,NC Asheville,BSth,16-13,100.2,99.8,70.0,-.050,99.8,102.7,1421.0,0.4000000000000057
170,163,Ball St.,MAC,17-11,101.4,101.1,64.6,+.018,98.2,103.1,1123.0,0.30000000000001137
171,164,Fresno St.,WAC,13-15,99.6,99.4,66.0,-.018,101.9,100.3,1201.0,0.19999999999998863
172,165,George Washington,A10,15-13,100.1,100.0,65.1,+.061,101.9,101.8,1203.0,0.09999999999999432
173,166,San Francisco,WCC,16-13,99.4,99.5,67.5,+.100,104.2,100.7,1362.0,-0.09999999999999432
174,167,Canisius,MAAC,15-14,102.3,102.5,65.4,-.031,99.2,102.1,1145.0,-0.20000000000000284
175,168,Ohio,MAC,16-13,105.3,105.7,68.3,+.020,100.0,102.6,1325.0,-0.4000000000000057
176,169,Massachusetts,A10,15-12,96.3,96.7,68.1,+.068,103.0,101.1,1269.0,-0.4000000000000057
177,170,North Dakota St.,Sum,14-14,102.8,103.3,68.5,-.127,101.9,105.4,1295.0,-0.5
178,171,Quinnipiac,NEC,21-8,101.4,101.9,68.3,+.033,96.6,104.4,1346.0,-0.5
179,172,Boston University,AE,18-13,101.7,102.5,64.3,+.020,99.3,103.7,1131.0,-0.7999999999999972
180,173,Loyola MD,MAAC,15-14,102.0,102.8,66.2,-.019,98.9,101.4,1259.0,-0.7999999999999972
181,174,Jacksonville,ASun,19-10,96.5,97.4,68.7,+.057,98.8,102.8,1239.0,-0.9000000000000057
182,175,Pennsylvania,Ivy,12-13,100.3,101.4,64.2,+.008,102.2,102.8,1335.0,-1.1000000000000085
183,176,Tulane,CUSA,12-15,100.6,101.8,66.4,-.146,100.8,102.1,1408.0,-1.2000000000000028
184,177,Florida Atlantic,SB,21-9,100.4,101.6,64.3,+.131,101.1,103.8,1194.0,-1.1999999999999886
185,178,IUPU Fort Wayne,Sum,18-11,103.9,105.2,66.3,+.036,100.4,106.0,1236.0,-1.2999999999999972
186,179,San Jose St.,WAC,15-12,102.6,104.1,68.5,+.059,100.5,101.0,1363.0,-1.5
187,180,American,Pat,21-8,102.7,104.4,61.9,+.155,99.7,104.3,1110.0,-1.7000000000000028
188,181,Texas Christian,MWC,10-20,99.7,101.5,67.6,-.073,104.0,99.1,1395.0,-1.7999999999999972
189,182,Western Michigan,MAC,17-11,101.6,103.5,68.4,+.066,99.6,103.0,1444.0,-1.9000000000000057
190,183,DePaul,BE,7-21,102.3,104.3,69.1,-.041,105.4,97.6,1177.0,-2.0
191,184,La Salle,A10,13-16,103.8,105.9,72.7,+.010,101.9,101.0,1247.0,-2.1000000000000085
192,185,Western Carolina,SC,17-14,96.5,98.7,69.8,+.042,101.8,103.8,1441.0,-2.200000000000003
193,186,Yale,Ivy,14-12,98.3,100.8,66.8,+.021,101.5,103.2,1463.0,-2.5
194,187,Arkansas St.,SB,17-14,99.8,102.3,65.6,+.013,100.0,103.4,1117.0,-2.5
195,188,Northeastern,CAA,11-19,107.5,110.4,64.3,+.034,102.8,99.8,1318.0,-2.9000000000000057
196,189,Miami OH,MAC,15-14,104.2,107.2,64.1,+.140,104.0,99.5,1275.0,-3.0
197,190,Middle Tennessee,SB,15-15,95.9,98.7,67.1,-.052,99.3,104.6,1292.0,-2.799999999999997
198,191,McNeese St.,Slnd,18-9,102.2,105.2,66.7,+.109,99.0,102.9,1270.0,-3.0
199,192,Evansville,MVC,15-14,99.2,102.3,67.5,+.063,102.3,101.2,1191.0,-3.0999999999999943
200,193,Houston,CUSA,12-15,99.8,103.3,66.1,+.018,101.0,100.7,1222.0,-3.5
201,194,Siena,MAAC,12-17,96.9,100.3,69.8,-.036,101.1,101.6,1373.0,-3.3999999999999915
202,195,Virginia Military Inst,BSth,17-12,108.6,112.6,76.1,-.020,97.6,103.7,1440.0,-4.0
203,196,Delaware,CAA,13-16,98.5,102.3,65.1,+.050,103.7,102.3,1174.0,-3.799999999999997
204,197,Sam Houston St.,Slnd,15-12,101.0,104.9,67.5,-.017,99.6,102.7,1358.0,-3.9000000000000057
205,198,Wyoming,MWC,10-18,97.4,101.3,67.5,-.059,103.1,100.2,1461.0,-3.8999999999999915
206,199,North Texas,SB,18-10,105.3,109.5,69.0,+.050,97.9,104.3,1317.0,-4.200000000000003
207,200,Saint Joseph's,A10,8-20,102.4,106.6,64.3,-.002,103.6,98.2,1386.0,-4.199999999999989
210,201,Cornell,Ivy,8-18,103.7,107.9,67.3,-.083,101.3,100.8,1165.0,-4.200000000000003
211,202,Charlotte,A10,10-18,99.0,103.0,65.6,-.003,102.1,99.5,1150.0,-4.0
212,203,Maine,AE,15-14,103.3,107.5,66.4,-.041,98.2,104.2,1263.0,-4.200000000000003
213,204,Bradley,MVC,11-19,100.3,104.4,66.6,-.032,101.7,101.3,1133.0,-4.1000000000000085
214,205,Drake,MVC,13-17,99.5,103.7,66.2,-.005,101.4,101.5,1179.0,-4.200000000000003
215,206,Denver,SB,13-16,97.7,101.9,57.9,-.045,100.1,104.6,1176.0,-4.200000000000003
216,207,Appalachian St.,SC,15-14,103.1,107.6,67.7,+.039,102.1,103.7,1111.0,-4.5
217,208,Lehigh,Pat,15-14,99.7,104.1,71.5,-.020,98.5,103.9,1250.0,-4.3999999999999915
218,209,UC Irvine,BW,13-17,101.1,105.8,71.4,-.039,100.2,102.3,1414.0,-4.700000000000003
219,210,Nicholls St.,Slnd,13-12,97.7,102.3,61.6,-.054,99.7,102.9,1311.0,-4.599999999999994
220,211,Loyola Marymount,WCC,10-20,99.4,104.0,68.1,-.113,101.8,101.7,1258.0,-4.599999999999994
221,212,NC Wilmington,CAA,13-17,99.6,104.4,63.4,+.011,102.6,102.8,1423.0,-4.800000000000011
222,213,Mercer,ASun,14-17,98.5,103.2,66.8,+.002,98.7,101.6,1273.0,-4.700000000000003
223,214,Pepperdine,WCC,11-20,101.7,106.6,67.4,-.010,103.1,100.6,1337.0,-4.8999999999999915
224,215,Louisiana St.,SEC,11-18,95.6,100.5,65.9,-.044,101.5,100.8,1261.0,-4.900000000000006
225,216,William & Mary,CAA,9-21,101.9,107.2,64.8,-.074,102.2,100.7,1456.0,-5.299999999999997
226,217,Holy Cross,Pat,8-20,100.0,105.3,66.0,-.147,99.9,103.1,1221.0,-5.299999999999997
227,218,Eastern Kentucky,OVC,15-15,102.0,107.6,62.2,-.029,98.0,103.8,1184.0,-5.599999999999994
228,219,Charleston Southern,BSth,16-15,101.5,107.1,66.9,-.055,98.2,103.1,1149.0,-5.599999999999994
229,220,St. Francis NY,NEC,15-14,96.5,101.8,67.5,-.001,98.1,105.0,1383.0,-5.299999999999997
231,222,Western Kentucky,SB,14-15,98.1,103.7,68.6,+.006,99.6,102.9,1443.0,-5.6000000000000085
232,223,Liberty,BSth,19-12,96.2,102.0,65.9,+.099,99.2,103.8,1251.0,-5.799999999999997
233,224,Columbia,Ivy,14-12,98.2,104.2,68.1,+.054,100.6,104.5,1162.0,-6.0
234,225,Georgia St.,CAA,11-18,93.4,99.1,64.4,-.051,101.3,103.5,1209.0,-5.699999999999989
235,226,Tennessee St.,OVC,14-15,100.5,106.7,65.9,+.034,99.1,102.0,1398.0,-6.200000000000003
236,227,Winthrop,BSth,13-16,94.1,100.0,66.1,-.030,99.7,102.8,1457.0,-5.900000000000006
237,228,Texas St.,Slnd,15-13,99.2,105.5,74.1,+.044,98.3,105.3,1402.0,-6.299999999999997
238,229,Louisiana Tech,WAC,12-18,94.3,100.3,67.0,-.003,100.7,100.6,1256.0,-6.0
239,230,Lamar,Slnd,12-16,98.1,104.4,73.7,-.147,98.7,104.1,1249.0,-6.300000000000011
240,231,Texas Arlington,Slnd,13-14,94.9,101.0,68.1,-.059,99.5,103.6,1426.0,-6.099999999999994
241,232,Tennessee Tech,OVC,18-11,98.7,105.1,71.0,+.088,98.2,104.3,1399.0,-6.3999999999999915
242,233,North Florida,ASun,13-18,97.2,103.7,67.4,+.059,101.6,99.6,1316.0,-6.5
243,234,Brown,Ivy,11-15,101.3,108.0,69.9,-.024,99.4,103.1,1135.0,-6.700000000000003
244,235,Auburn,SEC,9-19,94.9,101.2,65.8,-.027,100.0,99.7,1120.0,-6.299999999999997
245,236,Cal St. Northridge,BW,12-16,100.1,106.8,68.5,-.003,101.0,101.8,1169.0,-6.700000000000003
246,237,Elon,SC,13-16,102.0,109.1,68.8,-.022,100.4,103.2,1189.0,-7.099999999999994
247,238,Hampton,MEAC,20-8,91.2,97.5,67.6,+.032,95.9,107.1,1214.0,-6.299999999999997
248,239,Arkansas Little Rock,SB,15-15,99.0,105.9,65.9,+.025,100.8,103.9,1114.0,-6.900000000000006
249,240,UC Davis,BW,9-19,101.8,109.0,68.0,-.098,101.3,101.2,1413.0,-7.200000000000003
252,241,Lafayette,Pat,11-18,99.9,107.0,65.9,-.062,99.9,103.2,1248.0,-7.099999999999994
253,242,Albany,AE,16-15,99.0,106.3,61.4,+.036,97.6,103.9,1107.0,-7.299999999999997
254,243,Texas San Antonio,Slnd,14-13,97.3,104.5,68.9,+.024,98.5,103.6,1427.0,-7.200000000000003
255,244,Illinois St.,MVC,12-18,93.8,101.2,63.7,+.003,100.7,103.8,1229.0,-7.400000000000006
256,245,Wake Forest,ACC,8-21,98.4,106.1,70.3,+.009,103.7,98.7,1448.0,-7.699999999999989
257,246,Southern Illinois,MVC,12-18,93.8,101.4,64.9,+.033,102.8,102.3,1356.0,-7.6000000000000085
258,247,Wagner,NEC,13-16,96.7,104.7,68.2,+.039,99.6,102.1,1447.0,-8.0
259,248,Southern Utah,Sum,11-18,98.6,107.0,67.9,-.014,101.7,105.7,1381.0,-8.400000000000006
260,249,Morgan St.,MEAC,15-11,92.5,100.8,67.7,+.078,97.6,106.7,1288.0,-8.299999999999997
261,250,Utah Valley,GWC,18-10,99.2,108.1,66.7,+.019,95.8,107.8,1430.0,-8.899999999999991
262,251,Stony Brook,AE,13-16,90.4,98.6,63.7,-.032,98.2,105.4,1392.0,-8.199999999999989
263,252,Youngstown St.,Horz,9-20,97.9,107.3,69.9,-.020,102.4,101.3,1464.0,-9.399999999999991
264,253,Coppin St.,MEAC,14-13,99.3,109.3,69.4,+.022,98.4,106.0,1164.0,-10.0
265,254,Texas Southern,SWAC,16-10,92.9,102.3,65.6,+.151,95.2,102.7,1411.0,-9.399999999999991
