,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Arizona,P12,26-2,113.7,86.7,64.4,+.050,108.0,101.2,1112.0,27.0
1,2,Louisville,Amer,24-4,116.0,91.3,68.8,-.048,105.0,104.1,1257.0,24.700000000000003
2,3,Duke,ACC,23-6,124.1,97.9,66.9,-.037,108.1,100.4,1181.0,26.19999999999999
3,4,Virginia,ACC,24-5,112.4,88.9,61.6,+.032,107.6,101.5,1438.0,23.5
4,5,Creighton,BE,23-4,126.6,100.5,65.9,+.011,106.6,100.5,1166.0,26.099999999999994
5,6,Florida,SEC,26-2,116.6,92.7,62.6,+.064,107.1,101.2,1196.0,23.89999999999999
6,7,Wichita St.,MVC,30-0,116.7,93.2,65.6,+.009,105.3,104.1,1455.0,23.5
7,8,Kansas,B12,22-6,119.6,95.7,67.9,-.023,110.6,100.1,1242.0,23.89999999999999
8,9,Villanova,BE,25-3,117.2,94.2,67.0,+.111,110.2,102.3,1437.0,23.0
9,10,Syracuse,ACC,26-2,114.4,92.5,61.0,+.026,108.0,102.5,1393.0,21.900000000000006
10,11,Wisconsin,B10,23-5,119.3,96.9,64.0,+.026,108.0,99.3,1458.0,22.39999999999999
11,12,Iowa,B10,19-9,120.9,99.2,72.1,-.095,107.1,101.5,1234.0,21.700000000000003
12,13,Ohio St.,B10,22-7,107.9,88.7,64.5,-.037,107.7,101.8,1326.0,19.200000000000003
13,14,Michigan,B10,20-7,121.9,100.5,63.0,+.029,108.7,99.9,1276.0,21.400000000000006
14,15,Michigan St.,B10,22-6,116.3,96.1,66.4,+.008,108.2,100.8,1277.0,20.200000000000003
15,16,UCLA,P12,21-7,117.0,97.1,70.1,-.046,107.7,102.2,1417.0,19.900000000000006
16,17,Pittsburgh,ACC,21-7,113.8,94.6,63.8,-.056,106.2,101.2,1338.0,19.200000000000003
17,18,Kentucky,SEC,21-7,115.2,96.0,66.5,-.057,108.0,101.7,1246.0,19.200000000000003
18,19,North Carolina,ACC,21-7,112.5,94.0,71.2,+.003,108.2,101.5,1314.0,18.5
19,20,Cincinnati,Amer,24-4,108.5,90.8,63.0,+.067,105.4,103.4,1153.0,17.700000000000003
20,21,SMU,Amer,22-6,111.2,93.4,66.5,-.034,104.7,102.4,1374.0,17.799999999999997
21,22,VCU,A10,21-7,107.5,90.5,71.7,-.040,106.9,102.2,1433.0,17.0
22,23,Iowa St.,B12,22-5,113.8,96.4,71.8,+.072,109.6,102.3,1235.0,17.39999999999999
23,24,Connecticut,Amer,22-6,111.3,94.5,65.6,+.021,106.6,102.5,1163.0,16.799999999999997
24,25,Saint Louis,A10,25-3,105.0,89.5,67.8,+.038,105.6,102.8,1387.0,15.5
25,26,Tennessee,SEC,17-11,114.9,98.0,63.8,-.094,107.0,101.1,1397.0,16.900000000000006
26,27,Oklahoma St.,B12,18-10,113.7,97.3,69.0,-.098,107.6,102.3,1329.0,16.400000000000006
27,28,San Diego St.,MWC,24-3,107.2,91.9,65.4,+.087,106.2,103.8,1361.0,15.299999999999997
28,29,Gonzaga,WCC,24-6,111.3,95.5,66.0,-.017,107.4,104.6,1211.0,15.799999999999997
29,30,Oregon,P12,19-8,116.8,100.5,69.6,-.065,107.2,101.9,1332.0,16.299999999999997
30,31,Oklahoma,B12,20-8,116.8,100.9,71.9,-.002,108.6,100.8,1328.0,15.899999999999991
31,32,Florida St.,ACC,16-11,112.2,97.1,67.1,-.053,108.3,100.2,1199.0,15.100000000000009
32,33,Stanford,P12,18-9,112.3,97.4,67.8,-.005,108.3,101.6,1390.0,14.899999999999991
33,34,Texas,B12,21-7,111.7,96.9,69.3,+.110,108.6,101.7,1400.0,14.799999999999997
34,35,Utah,P12,18-9,111.6,96.8,65.9,-.122,105.6,103.2,1428.0,14.799999999999997
35,36,New Mexico,MWC,22-5,112.9,98.0,66.3,+.058,106.7,103.4,1307.0,14.900000000000006
36,37,St. John's,BE,18-11,107.4,93.3,67.9,-.050,108.8,102.7,1385.0,14.100000000000009
37,38,Arizona St.,P12,20-8,108.0,94.0,69.9,+.050,107.2,101.4,1113.0,14.0
38,39,Harvard,Ivy,23-4,109.0,95.2,64.9,+.014,103.6,104.9,1217.0,13.799999999999997
39,40,George Washington,A10,20-7,109.3,95.4,68.0,+.039,106.2,102.0,1203.0,13.899999999999991
42,41,Baylor,B12,18-10,115.5,101.0,63.3,-.017,109.0,101.3,1124.0,14.5
43,42,Kansas St.,B12,19-9,106.4,93.1,64.9,+.038,108.3,102.8,1243.0,13.300000000000011
44,43,Xavier,BE,19-9,112.8,98.9,65.6,+.033,107.4,101.2,1462.0,13.899999999999991
45,44,Massachusetts,A10,22-5,109.1,96.1,71.4,+.080,107.2,100.9,1269.0,13.0
46,45,Memphis,Amer,21-7,110.5,97.5,69.1,+.025,106.5,102.9,1272.0,13.0
47,46,Arkansas,SEC,19-9,109.0,96.5,72.3,-.030,106.4,103.1,1116.0,12.5
48,47,BYU,WCC,20-10,114.2,101.3,72.8,-.025,108.4,103.0,1140.0,12.900000000000006
49,48,Clemson,ACC,17-10,104.9,93.1,59.4,-.009,106.9,102.9,1155.0,11.800000000000011
50,49,Providence,BE,19-10,113.2,100.5,64.9,+.039,107.8,100.9,1344.0,12.700000000000003
51,50,Louisiana Tech,CUSA,23-6,108.0,95.9,71.4,+.004,102.5,105.1,1256.0,12.099999999999994
52,51,Maryland,ACC,15-13,108.4,96.5,69.4,-.059,108.2,100.5,1268.0,11.900000000000006
53,52,Minnesota,B10,18-11,113.5,101.1,64.7,-.011,107.4,100.0,1278.0,12.400000000000006
54,53,Green Bay,Horz,23-5,109.4,97.5,67.0,+.047,104.2,103.2,1453.0,11.900000000000006
55,54,Georgetown,BE,16-12,111.8,100.0,65.1,-.012,108.8,101.3,1207.0,11.799999999999997
56,55,Vermont,AE,20-9,108.3,97.2,63.9,-.057,102.2,105.0,1436.0,11.099999999999994
57,56,Saint Joseph's,A10,20-7,110.2,98.8,65.7,+.106,106.2,102.1,1386.0,11.400000000000006
58,57,California,P12,18-10,111.5,100.0,67.6,+.041,108.3,102.0,1143.0,11.5
59,58,Marquette,BE,17-11,110.4,99.0,67.0,-.004,107.6,102.1,1266.0,11.400000000000006
60,59,Nebraska,B10,16-11,106.8,96.0,66.3,+.050,107.1,100.0,1304.0,10.799999999999997
61,60,Colorado,P12,20-8,108.5,97.8,68.2,+.111,107.5,101.4,1160.0,10.700000000000003
62,61,Missouri,SEC,19-9,114.8,103.6,66.6,+.006,106.8,101.7,1281.0,11.200000000000003
63,62,LSU,SEC,17-10,110.8,100.1,70.9,-.028,105.8,101.9,1261.0,10.700000000000003
64,63,Stephen F. Austin,Slnd,26-2,110.0,99.4,64.2,+.062,101.6,108.3,1372.0,10.599999999999994
65,64,Saint Mary's,WCC,21-9,112.4,101.7,62.7,-.006,107.0,104.6,1388.0,10.700000000000003
66,65,Dayton,A10,19-9,112.1,101.5,65.1,+.016,106.2,103.0,1173.0,10.599999999999994
67,66,Indiana,B10,16-12,106.2,96.2,68.7,-.056,107.2,102.8,1231.0,10.0
68,67,West Virginia,B12,15-13,115.7,105.1,68.6,-.068,108.2,102.0,1452.0,10.600000000000009
69,68,Illinois,B10,16-12,103.5,94.3,63.5,-.017,107.1,101.4,1228.0,9.200000000000003
70,69,North Dakota St.,Sum,22-6,113.5,103.5,64.9,+.063,105.7,104.6,1295.0,10.0
71,70,Southern Miss,CUSA,24-5,111.2,101.5,64.8,+.113,102.9,103.9,1379.0,9.700000000000003
72,71,Georgia St.,SB,21-7,115.1,105.1,65.9,-.017,103.0,105.4,1209.0,10.0
73,72,Richmond,A10,18-10,107.2,98.2,64.1,+.024,106.5,102.9,1350.0,9.0
74,73,Manhattan,MAAC,21-7,106.1,97.5,70.1,-.013,104.3,104.6,1264.0,8.599999999999994
75,74,Iona,MAAC,19-9,116.6,107.3,71.0,+.001,105.2,103.5,1233.0,9.299999999999997
76,75,North Carolina St.,ACC,17-11,110.3,101.5,66.9,+.071,106.2,100.4,1301.0,8.799999999999997
77,76,St. Bonaventure,A10,16-12,110.6,101.9,67.5,-.101,105.9,103.7,1382.0,8.699999999999989
78,77,Texas Tech,B12,13-15,110.9,102.3,62.6,-.074,108.1,102.3,1403.0,8.600000000000009
79,78,Tulsa,CUSA,16-12,104.4,96.3,68.8,-.062,104.9,103.4,1409.0,8.100000000000009
80,79,Miami FL,ACC,14-14,106.1,97.9,58.8,-.048,106.2,101.0,1274.0,8.199999999999989
81,80,Mississippi,SEC,17-11,110.0,101.6,69.2,-.020,105.7,102.4,1279.0,8.400000000000006
84,81,Georgia,SEC,16-11,107.1,99.0,64.4,+.034,106.2,102.7,1208.0,8.099999999999994
