,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Kentucky,SEC,32-4,+29.18,116.5,87.4,67.7,+.051,108.6,97.4,1246.0
1,2,Kansas,B12,30-8,+28.62,115.0,86.4,72.2,-.017,108.6,96.8,1242.0
2,3,Pittsburgh,BE,28-5,+28.61,114.8,86.2,64.7,-.023,105.5,98.4,1338.0
3,4,Arizona,P10,28-4,+26.80,115.6,88.8,72.7,-.007,107.2,98.5,1112.0
4,5,Illinois,B10,25-7,+24.47,113.2,88.7,67.8,-.029,105.8,98.5,1228.0
5,6,Duke,ACC,26-7,+23.75,115.0,91.3,70.7,-.030,107.1,98.3,1181.0
6,7,Texas,B12,26-7,+23.49,119.3,95.8,69.4,-.009,107.1,96.7,1400.0
7,8,Syracuse,BE,30-5,+23.28,114.4,91.1,71.0,+.083,106.6,96.3,1393.0
8,9,Oklahoma,B12,27-7,+23.01,112.1,89.1,62.7,+.034,106.7,97.7,1328.0
9,10,Louisville,CUSA,25-7,+22.75,115.8,93.0,72.5,-.029,105.4,98.6,1257.0
10,11,Florida,SEC,25-8,+22.14,116.5,94.4,65.0,+.008,105.9,97.6,1196.0
11,12,Wisconsin,B10,24-8,+22.07,114.4,92.4,61.9,-.024,106.1,99.6,1458.0
12,13,Maryland,ACC,21-10,+22.00,110.9,88.9,71.5,-.078,106.6,98.4,1268.0
13,14,Mississippi St.,SEC,21-10,+21.53,107.4,85.8,64.8,-.060,106.9,98.0,1280.0
14,15,Marquette,CUSA,27-6,+21.30,120.5,99.2,65.7,+.070,106.1,98.2,1266.0
15,16,Georgia,SEC,19-8,+20.93,120.9,99.9,67.1,+.012,108.7,96.0,1208.0
16,17,Saint Joseph's,A10,23-7,+20.75,109.0,88.3,64.1,-.049,105.0,100.4,1386.0
17,18,Notre Dame,BE,24-10,+20.31,116.5,96.2,69.2,+.009,107.4,96.3,1323.0
18,19,Michigan St.,B10,22-13,+20.26,110.1,89.9,63.6,-.050,107.3,97.2,1277.0
19,20,Xavier,A10,26-6,+19.88,113.8,94.0,67.7,+.018,105.0,100.2,1462.0
20,21,Wake Forest,ACC,25-6,+19.87,114.5,94.6,67.7,+.073,105.8,98.0,1448.0
21,22,Connecticut,BE,23-10,+19.54,111.6,92.0,71.2,+.005,107.3,98.6,1163.0
22,23,LSU,SEC,21-11,+18.15,111.0,92.8,67.5,-.035,104.8,98.6,1261.0
23,24,BYU,MWC,23-9,+17.68,109.4,91.7,65.5,-.031,107.3,101.8,1140.0
24,25,Oklahoma St.,B12,22-10,+17.67,105.9,88.2,66.7,+.003,106.3,97.2,1329.0
25,26,Creighton,MVC,29-5,+17.54,112.4,94.9,68.4,+.026,102.5,102.7,1166.0
26,27,Purdue,B10,19-11,+17.42,107.0,89.6,69.3,-.012,107.6,98.0,1345.0
27,28,Missouri,B12,22-11,+17.32,111.5,94.2,66.9,+.043,107.1,95.9,1281.0
28,29,Memphis,CUSA,23-7,+16.72,110.9,94.1,68.3,+.005,103.4,98.6,1272.0
29,30,Arizona St.,P10,20-12,+16.49,113.9,97.4,66.9,-.014,106.4,97.7,1113.0
30,31,Butler,Horz,27-6,+16.09,115.4,99.3,58.6,+.073,104.5,100.4,1139.0
31,32,Texas Tech,B12,21-13,+15.89,109.3,93.4,66.2,-.027,106.8,97.9,1403.0
32,33,Gonzaga,WCC,24-9,+15.58,113.2,97.7,66.9,-.021,104.0,100.1,1211.0
33,34,Colorado,B12,20-12,+15.27,109.1,93.8,69.9,+.001,106.9,97.8,1160.0
34,35,Georgetown,BE,19-15,+14.91,107.1,92.2,70.7,-.101,105.5,97.6,1207.0
35,36,Cincinnati,CUSA,17-12,+14.69,105.0,90.3,66.4,-.066,106.6,99.3,1153.0
36,37,UNC Wilmington,CAA,24-7,+14.62,109.5,94.9,64.1,-.031,99.2,101.7,1423.0
37,38,Alabama,SEC,17-12,+14.60,110.3,95.7,65.3,-.015,106.6,97.1,1104.0
38,39,Stanford,P10,24-9,+14.57,109.8,95.2,65.6,+.066,106.2,98.9,1390.0
39,40,Dayton,A10,24-6,+14.53,116.4,101.9,64.4,+.084,104.4,99.5,1173.0
42,41,Indiana,B10,21-13,+14.48,113.4,98.9,63.7,+.050,107.2,96.8,1231.0
43,42,Oregon,P10,23-10,+14.25,111.4,97.1,71.2,+.032,105.1,99.8,1332.0
44,43,Georgia Tech,ACC,16-15,+14.23,109.1,94.8,69.0,-.092,106.7,97.5,1210.0
45,44,Utah,MWC,25-8,+14.04,106.6,92.6,62.1,+.069,106.7,101.5,1428.0
46,45,Providence,BE,18-14,+13.85,108.0,94.1,67.0,-.051,106.1,98.2,1344.0
47,46,Auburn,SEC,22-12,+13.63,107.7,94.1,66.6,+.051,106.0,97.8,1120.0
48,47,California,P10,22-9,+13.59,109.9,96.3,65.9,+.061,106.7,99.6,1143.0
49,48,Penn,Ivy,22-6,+13.35,110.3,96.9,63.3,+.035,100.4,101.9,1335.0
50,49,Boston College,BE,19-12,+13.30,117.7,104.4,68.2,+.034,106.1,97.6,1130.0
51,50,N.C. State,ACC,18-13,+13.18,111.2,98.1,65.0,-.023,106.9,98.4,1301.0
52,51,Tulsa,WAC,23-10,+13.04,107.9,94.9,67.4,-.061,102.7,101.7,1409.0
53,52,Milwaukee,Horz,23-8,+12.97,109.0,96.0,71.2,+.025,104.8,102.8,1454.0
54,53,Seton Hall,BE,17-13,+12.26,104.6,92.3,65.7,+.022,106.4,97.1,1371.0
