,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Kentucky,SEC,28-1,121.6,86.9,66.2,+.028,103.5,97.9,1246.0,34.69999999999999
1,2,Ohio St.,B10,24-6,115.5,83.9,67.9,-.055,106.3,98.1,1326.0,31.599999999999994
2,3,Michigan St.,B10,24-6,114.7,84.1,65.8,-.033,106.1,96.3,1277.0,30.60000000000001
3,4,Kansas,B12,25-5,117.0,86.0,67.5,+.015,105.6,95.5,1242.0,31.0
4,5,Syracuse,BE,29-1,116.8,88.3,66.5,+.073,104.8,98.3,1393.0,28.5
5,6,North Carolina,ACC,26-4,115.4,87.5,72.8,+.021,104.7,97.9,1314.0,27.900000000000006
6,7,Wisconsin,B10,22-8,111.5,84.6,58.8,-.016,105.3,96.9,1458.0,26.900000000000006
7,8,Wichita St.,MVC,26-4,117.7,90.7,66.9,+.021,103.5,99.2,1455.0,27.0
8,9,Missouri,B12,26-4,123.0,95.5,66.8,+.038,103.9,97.7,1281.0,27.5
9,10,Indiana,B10,23-7,119.7,93.5,67.4,+.006,105.1,96.6,1231.0,26.200000000000003
10,11,Georgetown,BE,22-6,110.0,86.5,63.2,+.022,105.0,97.4,1207.0,23.5
11,12,Memphis,CUSA,22-8,113.6,90.0,68.4,-.060,103.4,97.6,1272.0,23.599999999999994
12,13,St. Louis,A10,23-6,110.1,87.3,62.5,-.053,102.2,99.5,1387.0,22.799999999999997
13,14,Duke,ACC,26-4,118.9,94.4,68.4,+.078,106.0,96.5,1181.0,24.5
14,15,New Mexico,MWC,23-6,109.6,87.1,67.2,-.004,101.8,100.0,1307.0,22.5
15,16,Baylor,B12,25-5,114.4,91.4,66.2,+.065,104.5,97.5,1124.0,23.0
16,17,Florida,SEC,22-8,120.1,97.0,65.6,-.033,103.2,97.0,1196.0,23.099999999999994
17,18,Marquette,BE,24-6,112.0,90.5,70.4,+.055,104.4,96.9,1266.0,21.5
18,19,Vanderbilt,SEC,21-9,115.6,94.2,65.8,-.041,105.7,98.1,1435.0,21.39999999999999
