,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Duke,ACC,31-4,+34.19,121.0,86.8,74.5,-.027,109.1,99.2,1181.0
1,2,Cincinnati,CUSA,31-4,+30.19,118.1,87.9,67.4,+.002,106.3,99.7,1153.0
2,3,Maryland,ACC,32-4,+29.25,119.2,89.9,73.7,+.025,109.1,99.3,1268.0
3,4,Kansas,B12,33-4,+28.99,118.7,89.7,77.3,+.022,110.3,99.6,1242.0
4,5,Oklahoma,B12,31-5,+26.04,114.9,88.9,66.5,+.043,109.0,100.2,1328.0
5,6,Indiana,B10,25-12,+24.80,114.0,89.2,65.6,-.049,110.8,96.7,1231.0
6,7,Florida,SEC,22-9,+24.72,115.1,90.4,69.6,-.073,108.1,99.0,1196.0
7,8,Illinois,B10,26-9,+23.21,115.7,92.5,68.5,+.016,109.7,99.1,1228.0
8,9,Oregon,P10,26-9,+22.97,119.2,96.3,71.1,-.041,108.1,99.9,1332.0
9,10,Kentucky,SEC,22-10,+22.21,113.4,91.2,68.0,-.029,110.1,97.1,1246.0
10,11,Marquette,CUSA,26-7,+21.47,113.4,91.9,64.6,+.006,105.5,100.1,1266.0
11,12,USC,P10,22-10,+20.67,112.8,92.1,70.1,-.051,109.2,99.9,1425.0
12,13,Arizona,P10,24-10,+20.54,119.3,98.8,71.1,+.079,111.3,97.1,1112.0
13,14,Kent St.,MAC,29-6,+20.39,116.7,96.4,64.7,+.008,106.0,102.9,1245.0
14,15,Stanford,P10,20-10,+20.32,116.6,96.3,69.5,-.020,110.2,99.8,1390.0
15,16,Pittsburgh,BE,29-6,+19.94,112.1,92.2,63.8,+.000,103.7,100.6,1338.0
16,17,Ohio St.,B10,24-8,+19.76,116.4,96.6,66.8,+.005,106.6,99.1,1326.0
17,18,Connecticut,BE,27-7,+19.36,112.2,92.8,68.7,+.063,107.3,99.1,1163.0
18,19,Notre Dame,BE,21-11,+19.27,116.1,96.8,68.6,-.087,105.4,98.1,1323.0
19,20,South Carolina,SEC,21-15,+19.18,107.0,87.9,65.3,-.074,108.5,98.2,1376.0
20,21,N.C. State,ACC,23-11,+19.15,113.2,94.0,67.5,+.012,108.6,100.4,1301.0
21,22,Alabama,SEC,27-8,+18.73,114.0,95.3,68.0,+.076,107.1,98.5,1104.0
22,23,Xavier,A10,26-6,+18.60,111.2,92.6,67.0,+.051,106.7,101.6,1462.0
23,24,Gonzaga,WCC,28-4,+18.51,115.6,97.1,68.5,+.049,103.7,102.6,1211.0
24,25,Georgia,SEC,22-9,+18.44,116.7,98.3,69.2,-.021,108.1,98.2,1208.0
25,26,Mississippi St.,SEC,27-8,+18.25,111.4,93.1,67.9,+.107,106.7,97.7,1280.0
26,27,Texas,B12,22-12,+17.69,116.0,98.3,68.5,-.021,109.1,98.9,1400.0
27,28,Butler,Horz,26-6,+17.63,111.9,94.3,62.1,-.051,103.0,104.5,1139.0
28,29,Missouri,B12,24-12,+17.49,116.2,98.7,70.1,-.010,108.0,100.0,1281.0
29,30,Wake Forest,ACC,21-13,+17.35,118.6,101.3,69.5,+.006,109.1,97.9,1448.0
30,31,Texas Tech,B12,23-9,+17.24,114.6,97.4,69.8,+.061,106.8,100.2,1403.0
