,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Virginia,ACC,25-2,+35.81,121.6,85.8,59.2,+.033,108.1,98.7,1438.0
1,2,Gonzaga,WCC,28-2,+34.45,127.8,93.3,70.3,+.011,105.7,102.9,1211.0
2,3,Duke,ACC,24-4,+33.58,122.3,88.7,72.8,+.000,109.5,97.2,1181.0
3,4,Michigan St.,B10,23-5,+30.89,120.6,89.8,67.9,-.008,109.8,97.5,1277.0
4,5,North Carolina,ACC,23-5,+28.34,120.0,91.6,74.7,+.025,110.0,98.1,1314.0
5,6,Kentucky,SEC,24-4,+28.12,118.0,89.9,66.0,+.036,108.9,99.8,1246.0
6,7,Michigan,B10,25-4,+27.80,114.0,86.2,65.2,-.006,107.6,98.4,1276.0
7,8,Tennessee,SEC,25-3,+26.51,122.1,95.6,67.8,+.034,106.9,99.5,1397.0
8,9,Texas Tech,B12,23-5,+26.01,111.1,85.1,66.6,+.012,106.7,99.9,1403.0
9,10,Purdue,B10,21-7,+25.41,120.6,95.2,65.6,+.022,109.7,96.9,1345.0
10,11,Virginia Tech,ACC,22-6,+24.58,118.8,94.2,63.7,+.028,107.3,99.9,1439.0
11,12,Wisconsin,B10,19-9,+23.54,112.3,88.7,63.3,-.054,109.4,96.4,1458.0
12,13,Iowa St.,B12,20-8,+22.99,118.3,95.3,67.6,-.067,108.1,99.6,1235.0
13,14,Houston,Amer,27-1,+22.34,113.6,91.3,66.1,+.066,103.1,102.0,1222.0
14,15,Kansas,B12,21-7,+21.68,114.1,92.4,69.6,+.088,110.9,96.9,1242.0
15,16,Auburn,SEC,19-9,+21.45,117.3,95.9,68.3,-.052,108.8,99.2,1120.0
16,17,Florida St.,ACC,22-6,+20.82,112.9,92.0,69.2,+.030,107.7,99.3,1199.0
17,18,Maryland,B10,21-8,+20.66,113.8,93.2,66.1,+.013,108.9,98.5,1268.0
18,19,Buffalo,MAC,25-3,+20.53,114.6,94.1,74.4,+.022,105.2,102.4,1138.0
19,20,Mississippi St.,SEC,21-7,+20.39,117.0,96.6,67.2,-.019,109.0,100.0,1280.0
20,21,LSU,SEC,23-5,+20.23,117.4,97.2,69.9,+.038,108.5,100.0,1261.0
21,22,Nevada,MWC,26-2,+20.19,114.2,94.0,69.3,+.063,105.0,103.9,1305.0
22,23,Louisville,ACC,18-11,+19.82,112.4,92.6,67.0,-.043,109.8,97.6,1257.0
23,24,Wofford,SC,25-4,+19.43,118.1,98.7,65.3,+.061,105.1,104.0,1459.0
24,25,Marquette,BE,23-5,+19.35,114.9,95.5,68.8,+.072,107.1,100.0,1266.0
25,26,Texas,B12,15-13,+18.76,114.1,95.4,65.1,-.135,109.6,98.1,1400.0
26,27,Kansas St.,B12,21-7,+18.75,107.5,88.7,63.2,+.071,108.3,99.1,1243.0
27,28,Florida,SEC,17-11,+18.71,109.5,90.8,63.5,-.044,109.6,98.8,1196.0
28,29,Villanova,BE,21-8,+18.23,116.6,98.3,63.4,+.012,108.3,100.5,1437.0
29,30,Cincinnati,Amer,24-4,+17.56,110.7,93.1,63.1,+.056,105.2,102.8,1153.0
30,31,Clemson,ACC,17-11,+17.39,108.6,91.2,66.1,-.058,107.9,99.0,1155.0
31,32,Iowa,B10,21-7,+17.31,118.7,101.4,69.6,+.081,107.5,98.3,1234.0
32,33,Ohio St.,B10,18-10,+17.26,109.9,92.7,65.3,-.006,109.1,99.3,1326.0
33,34,Saint Mary's,WCC,20-10,+16.67,115.4,98.8,63.2,-.043,105.2,103.2,1388.0
34,35,Baylor,B12,19-9,+16.67,114.9,98.2,64.8,+.002,106.6,99.0,1124.0
35,36,North Carolina St.,ACC,20-8,+16.47,113.7,97.2,71.6,+.010,105.9,100.8,1301.0
36,37,Syracuse,ACC,18-10,+16.31,109.5,93.2,65.9,+.007,107.8,99.3,1393.0
37,38,Utah St.,MWC,23-6,+15.89,111.5,95.6,67.6,-.020,103.5,104.4,1429.0
38,39,Oklahoma,B12,17-11,+15.74,108.8,93.0,68.8,+.042,109.8,96.8,1328.0
39,40,Washington,P12,22-6,+15.52,108.1,92.5,65.9,+.033,106.9,102.7,1449.0
42,41,VCU,A10,22-6,+15.50,104.0,88.5,68.4,+.007,104.7,103.4,1433.0
43,42,UCF,Amer,21-6,+15.31,111.5,96.2,65.0,+.010,104.0,102.2,1416.0
44,43,Mississippi,SEC,19-9,+15.06,112.0,97.0,68.8,+.019,108.5,100.9,1279.0
45,44,Penn St.,B10,12-16,+14.86,109.7,94.8,68.0,-.106,110.1,96.9,1336.0
46,45,TCU,B12,18-10,+14.78,110.4,95.6,69.4,+.015,108.1,99.6,1395.0
47,46,Nebraska,B10,15-14,+14.53,111.7,97.1,66.0,-.079,109.0,96.7,1304.0
48,47,Minnesota,B10,18-11,+14.08,110.5,96.4,67.7,+.048,108.5,98.3,1278.0
49,48,Lipscomb,ASun,22-6,+13.92,109.2,95.3,73.3,-.035,102.7,104.4,1252.0
50,49,Indiana,B10,14-14,+13.42,107.2,93.7,66.4,-.057,109.9,97.3,1231.0
51,50,Belmont,OVC,24-4,+12.82,115.5,102.7,71.7,+.050,101.7,105.7,1125.0
52,51,Creighton,BE,15-13,+12.81,114.1,101.2,68.5,-.061,109.4,100.0,1166.0
53,52,San Francisco,WCC,21-8,+12.49,111.4,98.9,66.5,-.009,104.6,104.4,1362.0
54,53,Murray St.,OVC,24-4,+12.49,111.4,98.9,68.9,+.017,101.1,107.1,1293.0
55,54,New Mexico St.,WAC,25-4,+12.16,111.1,99.0,65.8,+.070,103.3,105.1,1308.0
56,55,Furman,SC,23-6,+12.14,108.0,95.9,66.9,+.047,105.2,106.2,1202.0
57,56,Alabama,SEC,17-11,+12.07,109.5,97.4,68.9,+.056,109.0,99.5,1104.0
58,57,Butler,BE,15-13,+12.06,111.7,99.7,65.8,-.052,108.2,100.5,1139.0
59,58,Toledo,MAC,22-6,+12.00,108.9,96.9,68.1,+.059,104.6,103.6,1405.0
60,59,Dayton,A10,19-9,+11.64,112.4,100.7,64.9,-.014,104.1,102.5,1173.0
61,60,Oregon,P12,16-12,+11.17,107.0,95.8,64.4,-.068,106.8,102.8,1332.0
62,61,Seton Hall,BE,16-11,+11.04,108.7,97.6,69.5,+.025,108.3,99.8,1371.0
63,62,Arkansas,SEC,14-14,+10.92,108.4,97.5,71.0,-.057,107.8,99.5,1116.0
64,63,St. John's,BE,20-9,+10.78,109.6,98.8,71.0,+.063,106.3,101.3,1385.0
65,64,East Tennessee St.,SC,22-8,+10.76,109.6,98.8,66.7,+.016,105.5,105.7,1190.0
66,65,Illinois,B10,10-18,+10.57,108.6,98.0,71.2,-.093,110.2,96.8,1228.0
67,66,Arizona St.,P12,19-9,+10.35,108.4,98.0,71.1,+.043,106.9,102.4,1113.0
68,67,Liberty,ASun,24-6,+10.19,110.3,100.1,62.6,-.011,100.7,105.7,1251.0
69,68,Fresno St.,MWC,20-8,+9.71,107.7,98.0,67.6,-.049,103.6,104.9,1201.0
70,69,Miami FL,ACC,12-15,+9.70,109.4,99.7,66.7,-.105,107.2,99.8,1274.0
71,70,Memphis,Amer,18-11,+9.34,109.9,100.5,74.8,-.015,104.8,101.8,1272.0
72,71,Xavier,BE,16-13,+9.34,110.7,101.3,65.1,+.018,108.3,100.8,1462.0
73,72,Temple,Amer,20-8,+9.18,108.1,98.9,68.9,+.070,105.8,101.9,1396.0
74,73,Colorado,P12,16-11,+9.17,106.8,97.6,67.9,-.052,105.4,103.0,1160.0
75,74,Arizona,P12,17-12,+9.12,106.1,97.0,66.5,-.007,107.6,102.4,1112.0
76,75,Yale,Ivy,18-5,+9.01,108.8,99.8,71.1,+.082,103.4,104.6,1463.0
77,76,Northwestern,B10,12-16,+8.91,102.5,93.6,66.2,-.093,107.5,98.3,1321.0
78,77,BYU,WCC,18-12,+8.71,112.3,103.6,70.5,+.023,106.3,102.8,1140.0
79,78,Grand Canyon,WAC,17-10,+8.64,108.5,99.9,66.7,-.067,103.2,105.1,1213.0
80,79,Oregon St.,P12,17-10,+8.63,110.3,101.7,66.0,-.030,105.0,102.4,1333.0
81,80,Georgetown,BE,17-11,+8.57,110.4,101.9,72.4,+.001,107.3,102.3,1207.0
84,81,Rutgers,B10,13-14,+8.57,104.7,96.2,67.2,+.003,108.7,98.3,1353.0
85,82,Vermont,AE,22-6,+8.33,108.3,100.0,65.9,+.060,101.2,104.6,1436.0
86,83,Texas A&M;,SEC,12-15,+8.33,107.0,98.7,68.0,-.037,108.8,99.3,1401.0
87,84,Davidson,A10,20-8,+8.19,108.2,100.0,64.7,+.038,104.6,103.5,1172.0
88,85,South Carolina,SEC,14-14,+8.05,107.5,99.5,71.1,+.043,109.1,98.4,1376.0
89,86,South Dakota St.,Sum,23-7,+8.02,112.4,104.4,70.8,-.006,102.5,107.8,1355.0
90,87,Providence,BE,16-13,+7.98,103.9,95.9,67.4,+.006,108.0,101.9,1344.0
91,88,Notre Dame,ACC,13-15,+7.96,108.3,100.3,65.4,-.048,107.3,99.9,1323.0
92,89,USC,P12,15-14,+7.79,108.2,100.4,69.6,-.080,104.9,102.2,1425.0
93,90,Hofstra,CAA,24-6,+7.40,116.2,108.8,67.4,+.031,101.3,107.3,1220.0
94,91,UC Irvine,BW,24-5,+7.33,104.3,97.0,65.0,+.119,102.8,104.8,1414.0
95,92,Utah Valley,WAC,20-8,+7.29,109.4,102.1,68.8,+.037,103.8,104.8,1430.0
96,93,Pittsburgh,ACC,12-16,+7.28,104.5,97.2,67.5,-.129,106.8,100.5,1338.0
97,94,Connecticut,Amer,13-15,+7.23,107.7,100.5,69.3,-.128,105.2,102.0,1163.0
98,95,Missouri,SEC,12-15,+7.21,105.6,98.4,64.6,-.002,109.2,99.2,1281.0
99,96,Georgia Southern,SB,19-10,+7.19,108.7,101.6,73.7,+.007,105.4,103.5,1204.0
100,97,Akron,MAC,15-13,+7.17,100.2,93.0,65.8,-.133,105.3,103.8,1103.0
101,98,UCLA,P12,16-13,+7.16,108.3,101.2,72.4,+.010,107.4,102.5,1417.0
102,99,Boston College,ACC,14-13,+6.83,107.8,101.0,67.8,+.033,106.7,100.3,1130.0
103,100,Northeastern,CAA,19-10,+6.81,110.1,103.3,66.5,+.016,105.5,106.3,1318.0
104,101,Bowling Green,MAC,19-9,+6.73,107.5,100.8,70.2,+.016,104.4,104.5,1132.0
105,102,Old Dominion,CUSA,23-6,+6.71,103.7,97.0,64.4,+.030,101.1,104.3,1330.0
106,103,UNC Greensboro,SC,25-5,+6.69,106.4,99.7,67.7,+.189,104.5,105.8,1422.0
107,104,Stanford,P12,15-13,+6.63,105.2,98.5,69.6,+.014,106.9,101.7,1390.0
108,105,San Diego,WCC,18-12,+6.53,106.2,99.6,66.9,+.017,105.8,102.6,1360.0
109,106,Texas St.,SB,23-6,+6.39,102.4,96.1,64.8,+.030,103.1,106.0,1402.0
110,107,Northern Kentucky,Horz,22-8,+6.39,109.3,102.9,67.5,-.036,102.5,106.9,1297.0
111,108,Oklahoma St.,B12,10-18,+6.24,108.5,102.3,65.5,-.016,109.7,96.8,1329.0
112,109,South Florida,Amer,18-10,+5.99,101.9,95.9,67.4,-.024,103.4,104.1,1378.0
113,110,Wichita St.,Amer,14-13,+5.87,105.4,99.5,67.7,+.019,106.0,100.5,1455.0
114,111,Georgia,SEC,10-18,+5.61,108.8,103.2,68.6,-.095,108.6,99.9,1208.0
115,112,Utah,P12,15-12,+5.44,114.0,108.6,66.7,+.034,105.9,101.1,1428.0
116,113,Central Michigan,MAC,20-8,+5.41,109.2,103.8,71.2,+.048,102.8,103.1,1141.0
117,114,Harvard,Ivy,14-9,+5.26,104.8,99.6,67.7,+.029,105.1,102.7,1217.0
118,115,Georgia Tech,ACC,12-17,+5.26,99.5,94.2,67.4,-.046,107.6,98.7,1210.0
119,116,Radford,BSth,20-9,+5.14,108.6,103.5,65.0,-.003,103.8,104.6,1347.0
120,117,Charleston,CAA,22-8,+5.04,109.4,104.3,65.6,+.031,104.4,107.4,1158.0
121,118,SMU,Amer,13-14,+4.89,111.4,106.5,64.3,-.076,104.0,102.4,1374.0
122,119,West Virginia,B12,11-17,+4.89,106.6,101.7,69.8,+.001,108.3,97.7,1452.0
123,120,DePaul,BE,13-13,+4.81,108.8,104.0,69.2,-.027,106.4,101.4,1177.0
126,121,Southern Miss,CUSA,17-10,+4.74,105.6,100.9,64.9,-.002,102.8,103.3,1379.0
127,122,Jacksonville St.,OVC,22-8,+4.57,103.2,98.6,67.4,+.018,101.5,105.9,1240.0
128,123,Ball St.,MAC,14-14,+4.52,103.5,99.0,70.5,-.086,104.9,102.6,1123.0
129,124,Western Kentucky,CUSA,17-12,+4.46,104.3,99.8,67.8,+.015,104.2,102.6,1443.0
130,125,Wright St.,Horz,18-12,+4.30,106.8,102.5,65.4,-.047,104.8,106.6,1460.0
131,126,St. Bonaventure,A10,14-14,+4.19,101.0,96.8,64.7,-.067,103.4,103.6,1382.0
132,127,Tulsa,Amer,17-12,+4.16,104.5,100.4,69.0,+.064,105.0,101.9,1409.0
133,128,Miami OH,MAC,15-13,+4.02,106.7,102.7,65.8,-.009,105.5,102.3,1275.0
134,129,Colgate,Pat,20-10,+3.99,109.4,105.4,66.2,+.007,101.8,105.0,1159.0
135,130,Austin Peay,OVC,21-9,+3.90,109.3,105.4,69.1,-.012,102.1,107.0,1122.0
136,131,Loyola Chicago,MVC,18-12,+3.86,103.3,99.5,62.4,-.004,102.6,103.8,1260.0
137,132,San Diego St.,MWC,18-10,+3.84,104.9,101.1,66.3,+.075,104.5,104.1,1361.0
138,133,Georgia St.,SB,20-9,+3.83,107.6,103.8,69.8,+.122,105.2,104.2,1209.0
139,134,Vanderbilt,SEC,9-19,+3.72,103.4,99.6,67.9,-.120,108.7,99.5,1435.0
140,135,Montana,BSky,20-7,+3.72,108.0,104.2,67.1,+.047,103.0,108.2,1285.0
141,136,Saint Louis,A10,17-11,+3.72,100.2,96.5,66.4,+.029,103.7,103.8,1387.0
142,137,Drake,MVC,22-8,+3.34,106.7,103.3,69.4,+.119,102.4,103.5,1179.0
143,138,Penn,Ivy,16-10,+3.34,105.2,101.9,67.7,+.030,103.1,103.0,1335.0
144,139,Louisiana Tech,CUSA,18-11,+2.95,104.0,101.1,65.9,-.050,101.8,104.4,1256.0
145,140,Loyola Marymount,WCC,19-10,+2.86,101.6,98.8,63.2,+.075,104.3,104.6,1258.0
146,141,UTSA,CUSA,15-13,+2.72,105.9,103.2,72.3,-.052,102.4,101.9,1427.0
147,142,Northern Illinois,MAC,13-15,+2.41,107.3,104.9,65.8,-.099,104.5,102.9,1296.0
148,143,Kent St.,MAC,20-8,+2.36,109.0,106.6,67.3,+.163,103.9,103.1,1245.0
149,144,George Mason,A10,16-12,+2.17,104.7,102.5,68.1,-.001,102.3,104.0,1206.0
150,145,Louisiana Monroe,SB,15-12,+2.01,111.8,109.8,66.5,-.028,102.7,104.4,1419.0
151,146,Boise St.,MWC,11-17,+1.91,105.8,103.9,66.2,-.183,103.3,103.2,1129.0
152,147,Bucknell,Pat,18-11,+1.89,105.3,103.4,70.5,+.044,103.3,105.5,1137.0
153,148,Brown,Ivy,17-9,+1.86,99.3,97.5,70.6,+.036,102.7,104.8,1135.0
154,149,Samford,SC,16-14,+1.86,105.8,103.9,69.4,-.077,103.9,106.2,1359.0
155,150,North Texas,CUSA,20-9,+1.85,100.3,98.5,65.6,+.006,100.4,104.3,1317.0
156,151,Southern Illinois,MVC,16-14,+1.82,104.5,102.7,65.6,-.004,103.1,103.5,1356.0
157,152,Lehigh,Pat,19-9,+1.29,110.0,108.7,71.4,+.070,101.8,105.8,1250.0
158,153,Florida Atlantic,CUSA,17-12,+1.18,99.6,98.4,67.9,-.013,102.6,103.7,1194.0
159,154,Coastal Carolina,SB,13-14,+0.91,105.0,104.1,69.0,-.105,104.3,104.9,1157.0
160,155,Rhode Island,A10,13-14,+0.75,101.2,100.4,67.9,-.028,102.6,102.2,1348.0
161,156,Eastern Michigan,MAC,13-15,+0.68,103.5,102.8,63.3,-.025,107.2,101.6,1185.0
162,157,Abilene Christian,Slnd,22-6,+0.61,103.8,103.2,66.0,+.093,99.5,107.4,1101.0
163,158,Pepperdine,WCC,13-16,+0.39,105.8,105.4,70.4,-.081,104.0,104.1,1337.0
164,159,Sam Houston St.,Slnd,20-9,+0.30,103.8,103.5,66.9,+.059,101.1,105.8,1358.0
165,160,UAB,CUSA,17-12,+0.25,105.1,104.8,65.1,+.002,101.6,103.9,1412.0
168,161,Nebraska Omaha,Sum,18-10,+0.23,110.8,110.5,68.4,+.095,103.7,106.5,1303.0
169,162,Princeton,Ivy,15-8,+0.22,99.4,99.1,67.1,+.143,103.6,104.2,1343.0
170,163,UT Arlington,SB,14-15,+0.15,99.9,99.7,66.1,+.032,104.9,103.2,1426.0
171,164,UC Santa Barbara,BW,19-9,+0.04,105.8,105.8,64.4,+.019,100.9,107.4,1364.0
172,165,Duquesne,A10,18-10,-0.05,103.3,103.4,69.3,+.074,101.2,104.1,1182.0
173,166,Stony Brook,AE,23-6,-0.11,99.9,100.1,69.1,+.098,99.3,106.5,1392.0
174,167,Colorado St.,MWC,12-16,-0.17,108.6,108.7,67.5,-.081,103.8,103.8,1161.0
175,168,UNLV,MWC,15-13,-0.17,106.4,106.6,68.0,+.001,102.6,104.5,1424.0
176,169,Missouri St.,MVC,16-14,-0.23,103.0,103.2,65.8,-.001,102.4,103.9,1283.0
177,170,Northern Colorado,BSky,19-9,-0.45,103.8,104.3,66.6,+.058,101.4,108.1,1294.0
178,171,Bradley,MVC,17-13,-0.57,100.5,101.1,65.4,+.007,102.0,104.6,1133.0
179,172,Northern Iowa,MVC,14-16,-0.58,102.5,103.1,64.5,-.015,103.2,102.3,1320.0
180,173,Winthrop,BSth,18-11,-0.60,106.8,107.4,72.9,+.019,102.9,105.8,1457.0
181,174,Louisiana,SB,17-11,-0.75,106.6,107.4,72.5,+.094,104.3,104.8,1418.0
182,175,UT Rio Grande Valley,WAC,17-14,-0.80,97.4,98.2,70.6,+.034,102.7,103.4,1410.0
183,176,Hartford,AE,16-13,-0.91,108.3,109.2,67.2,-.006,101.8,105.7,1216.0
184,177,NJIT,ASun,20-10,-1.09,101.0,102.1,66.8,+.086,100.7,105.2,1312.0
185,178,Wake Forest,ACC,11-16,-1.29,104.9,106.2,67.3,+.074,107.6,100.2,1448.0
186,179,Charleston Southern,BSth,14-14,-1.29,102.4,103.7,69.6,-.116,102.6,106.1,1149.0
187,180,North Florida,ASun,15-16,-1.42,103.3,104.7,72.0,+.015,103.5,101.8,1316.0
188,181,Cal St. Fullerton,BW,14-14,-1.47,99.1,100.6,70.8,-.012,103.7,104.2,1168.0
189,182,Mercer,SC,11-18,-1.54,104.1,105.7,66.5,-.124,105.9,104.5,1273.0
190,183,Seattle,WAC,16-13,-1.67,100.2,101.8,67.3,-.045,102.0,106.9,1370.0
191,184,Campbell,BSth,18-11,-1.72,106.9,108.6,66.0,+.014,102.7,107.0,1144.0
192,185,Santa Clara,WCC,15-14,-1.74,101.6,103.3,66.8,+.062,104.4,104.6,1365.0
